TestNo,MutantNo
1,1
1,2
1,47
1,51
1,98
1,128
2,1
2,2
2,46
2,47
2,51
2,98
3,1
3,2
3,28
3,37
3,47
3,51
3,98
4,1
4,2
4,46
4,47
4,51
4,98
5,1
5,2
5,37
5,47
5,51
5,98
6,1
6,2
6,25
6,47
6,51
6,98
7,1
7,2
7,35
7,37
7,41
7,47
7,51
7,98
8,1
8,2
8,37
8,47
8,51
8,98
9,1
9,2
9,47
9,51
9,98
10,1
10,2
10,15
10,47
10,51
10,98
11,1
11,2
11,33
11,47
11,51
11,98
12,1
12,2
12,13
12,47
12,51
12,98
13,1
13,2
13,37
13,47
13,51
13,98
14,1
14,2
14,19
14,47
14,51
14,98
15,1
15,2
15,37
15,40
15,47
15,51
15,98
16,1
16,2
16,30
16,37
16,47
16,51
16,98
17,1
17,2
17,46
17,47
17,51
17,98
18,1
18,2
18,46
18,47
18,51
18,98
19,1
19,2
19,46
19,47
19,51
19,98
20,1
20,2
20,36
20,37
20,47
20,51
20,98
21,1
21,2
21,17
21,18
21,20
21,21
21,37
21,47
21,51
21,98
23,50
23,73
23,75
23,89
23,98
23,107
24,50
24,53
24,54
24,55
24,56
24,57
24,61
24,62
24,64
24,65
24,66
24,67
24,68
24,69
24,70
24,71
24,72
24,73
24,75
24,80
24,81
24,82
24,84
24,85
24,88
24,89
24,90
24,93
24,94
24,95
24,97
24,98
24,100
24,104
24,106
24,107
24,112
24,113
24,115
24,116
24,119
24,120
24,121
24,122
24,123
24,124
24,125
24,126
25,50
25,53
25,54
25,57
25,61
25,62
25,64
25,65
25,66
25,67
25,68
25,69
25,70
25,71
25,72
25,73
25,75
25,80
25,81
25,82
25,84
25,85
25,87
25,88
25,89
25,90
25,98
25,106
25,107
25,112
25,113
26,50
26,73
26,75
26,84
26,89
26,98
26,107
27,50
27,53
27,55
27,57
27,59
27,61
27,62
27,64
27,65
27,66
27,67
27,68
27,69
27,70
27,71
27,72
27,73
27,75
27,80
27,81
27,82
27,85
27,88
27,89
27,90
27,91
27,93
27,94
27,95
27,97
27,98
27,100
27,104
27,106
27,107
27,112
27,113
27,115
27,116
27,119
27,120
27,121
27,122
27,123
27,124
27,125
27,126
28,50
28,53
28,57
28,59
28,61
28,63
28,65
28,73
28,75
28,80
28,81
28,82
28,85
28,88
28,90
28,106
28,107
28,112
28,113
29,50
29,53
29,54
29,55
29,56
29,57
29,61
29,62
29,64
29,65
29,66
29,67
29,68
29,69
29,70
29,71
29,72
29,73
29,75
29,80
29,81
29,82
29,84
29,85
29,88
29,89
29,90
29,91
29,93
29,94
29,95
29,97
29,98
29,100
29,104
29,106
29,107
29,112
29,113
29,115
29,116
29,119
29,120
29,121
29,122
29,123
29,124
29,125
29,126
30,47
30,51
30,98
32,50
32,53
32,57
32,58
32,59
32,61
32,62
32,64
32,65
32,66
32,67
32,68
32,69
32,70
32,71
32,72
32,73
32,75
32,80
32,81
32,82
32,85
32,88
32,89
32,90
32,98
32,101
32,106
32,107
32,112
32,113
32,120
32,122
32,123
32,125
33,131
33,132
33,134
33,135
33,136
33,137
33,138
34,1
34,2
34,37
34,47
34,51
34,98
35,1
35,2
35,37
35,47
35,51
35,98
36,1
36,2
36,27
36,47
36,51
36,98
37,1
37,2
37,46
37,47
37,51
37,98
38,1
38,2
38,37
38,47
38,51
38,98
39,1
39,2
39,46
39,47
39,51
39,98
40,1
40,2
40,29
40,47
40,51
40,98
41,1
41,2
41,32
41,37
41,47
41,51
41,98
42,1
42,2
42,34
42,37
42,47
42,51
42,98
43,1
43,2
43,46
43,47
43,51
43,98
44,1
44,2
44,37
44,47
44,51
44,98
45,1
45,2
45,16
45,37
45,47
45,51
45,98
46,1
46,2
46,46
46,47
46,51
46,98
47,1
47,2
47,46
47,47
47,51
47,98
48,1
48,2
48,37
48,47
48,51
48,98
49,1
49,2
49,37
49,47
49,51
49,98
50,1
50,2
50,46
50,47
50,51
50,98
51,1
51,2
51,26
51,37
51,47
51,51
51,98
52,1
52,2
52,46
52,47
52,51
52,98
53,1
53,2
53,31
53,47
53,51
53,98
54,1
54,2
54,35
54,47
54,51
54,98
55,1
55,2
55,46
55,47
55,51
55,98
56,1
56,2
56,46
56,47
56,51
56,98
57,1
57,2
57,35
57,47
57,51
57,98
58,1
58,2
58,14
58,37
58,47
58,51
58,98
59,1
59,2
59,46
59,47
59,51
59,98
60,1
60,2
60,46
60,47
60,51
60,98
61,1
61,2
61,46
61,47
61,51
61,98
62,1
62,2
62,46
62,47
62,51
62,98
63,47
63,51
63,98
63,128
64,5
64,7
64,8
64,12
64,37
64,39
64,49
64,52
64,74
64,76
64,77
64,78
64,98
64,106
64,128
65,50
65,53
65,54
65,57
65,61
65,62
65,64
65,65
65,66
65,67
65,68
65,69
65,70
65,71
65,72
65,73
65,75
65,80
65,81
65,82
65,84
65,85
65,88
65,89
65,90
65,98
65,106
65,107
65,112
65,113
67,50
67,53
67,54
67,55
67,56
67,57
67,61
67,62
67,64
67,65
67,66
67,67
67,68
67,69
67,70
67,71
67,72
67,73
67,75
67,80
67,81
67,82
67,84
67,85
67,88
67,89
67,90
67,93
67,94
67,95
67,96
67,97
67,98
67,100
67,101
67,102
67,103
67,104
67,105
67,106
67,107
67,112
67,113
67,115
67,116
67,119
67,120
67,121
67,122
67,123
67,124
67,125
67,126
68,50
68,53
68,55
68,57
68,61
68,62
68,64
68,65
68,66
68,67
68,68
68,69
68,70
68,71
68,72
68,73
68,75
68,80
68,81
68,82
68,85
68,88
68,89
68,90
68,93
68,94
68,95
68,96
68,97
68,98
68,100
68,101
68,103
68,104
68,105
68,106
68,107
68,112
68,113
68,115
68,116
68,119
68,120
68,121
68,122
68,123
68,124
68,125
68,126
69,53
69,61
69,62
69,64
69,65
69,66
69,67
69,68
69,69
69,70
69,71
69,72
69,80
69,81
69,82
69,84
69,85
69,88
69,89
69,90
69,98
69,106
69,112
69,113
70,50
70,57
70,62
70,64
70,65
70,66
70,67
70,68
70,69
70,70
70,71
70,73
70,75
70,89
70,98
70,107
71,53
71,61
71,62
71,64
71,65
71,66
71,67
71,68
71,69
71,70
71,71
71,72
71,80
71,81
71,82
71,84
71,85
71,88
71,89
71,90
71,98
71,106
71,112
71,113
72,127
73,131
73,132
73,134
73,135
73,136
73,137
73,138
74,131
74,132
74,134
74,135
74,136
74,137
74,138
75,1
75,2
75,47
75,51
75,98
75,131
75,132
75,134
75,135
75,136
75,137
75,138
76,1
76,2
76,11
76,37
76,39
76,41
76,43
76,44
76,47
76,51
76,98
76,128
77,47
78,131
78,132
78,134
78,135
78,136
78,137
78,138
79,49
79,52
79,74
79,76
79,77
79,78
79,98
79,106
79,128
79,131
79,132
79,134
79,135
79,136
79,137
79,138
80,50
80,53
80,54
80,56
80,57
80,61
80,62
80,64
80,65
80,66
80,67
80,68
80,69
80,70
80,71
80,72
80,73
80,75
80,80
80,81
80,82
80,84
80,85
80,88
80,89
80,90
80,98
80,106
80,107
80,112
80,113
81,1
81,2
81,47
81,51
81,98
81,128
82,9
82,12
82,37
82,39
82,57
82,61
82,62
82,64
82,65
82,66
82,67
82,68
82,69
82,70
82,71
82,72
82,80
82,81
82,82
82,85
82,88
82,90
82,98
82,106
82,112
82,113
82,128
82,131
82,132
82,134
82,135
82,136
82,137
82,138
83,1
83,2
83,22
83,23
83,24
83,37
83,47
83,51
83,98
84,6
84,7
84,8
84,12
84,37
84,39
84,53
84,54
84,57
84,60
84,61
84,62
84,64
84,65
84,66
84,67
84,68
84,69
84,70
84,71
84,72
84,80
84,81
84,82
84,84
84,85
84,88
84,89
84,90
84,98
84,106
84,112
84,113
84,128
