CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
722,1,1,6,29,29,6,1,4,1,132,29
1345,2,1,1,30,30,7,1,9,2,131,59
1985,3,1,2,31,31,9,1,15,3,129,90
2598,4,1,0,30,30,9,1,20,4,129,120
3174,5,1,0,31,31,9,2,24,5,129,151
3732,6,1,1,30,30,10,2,29,6,128,181
4285,7,1,2,31,31,12,4,34,7,126,212
4834,8,1,0,31,31,12,5,38,8,126,243
5333,9,1,0,29,29,12,5,42,9,126,272
5848,10,1,1,30,30,13,5,47,10,125,302
6375,11,1,1,30,30,14,5,52,11,124,332
6888,12,1,1,30,30,15,6,56,12,123,362
7396,13,1,0,31,31,15,7,60,13,123,393
7895,14,1,1,30,30,16,7,65,14,122,423
8407,15,1,1,31,31,17,7,71,15,121,454
8920,16,1,1,31,31,18,7,77,16,120,485
9432,17,1,0,30,30,18,7,82,17,120,515
9927,18,1,0,30,30,18,8,86,18,120,545
10417,19,1,0,30,30,18,8,91,19,120,575
10916,20,1,1,31,31,19,8,97,20,119,606
11464,21,1,4,35,35,23,9,105,21,115,641
11468,22,1,0,1,1,23,9,105,21,115,642
11764,23,1,5,35,35,28,13,106,22,110,677
12302,24,1,42,74,74,70,49,117,23,68,751
12735,25,1,1,58,58,71,74,122,24,67,809
13033,26,1,0,36,36,71,78,124,25,67,845
13552,27,1,2,75,75,73,115,133,26,65,920
13803,28,1,1,46,46,74,130,137,26,64,966
14326,29,1,0,76,76,74,169,146,27,64,1042
14490,30,1,0,14,14,74,169,148,27,64,1056
14496,31,1,0,1,1,74,169,148,28,64,1057
15004,32,1,2,72,72,76,194,157,29,62,1129
15140,33,1,7,11,11,83,197,160,30,55,1140
15665,34,2,0,31,31,83,198,164,31,55,1171
16189,35,2,0,31,31,83,199,168,32,55,1202
16695,36,2,1,30,30,84,199,173,33,54,1232
17190,37,2,0,30,30,84,199,178,34,54,1262
17686,38,2,0,31,31,84,200,182,35,54,1293
18188,39,2,0,30,30,84,200,187,36,54,1323
18681,40,2,1,30,30,85,200,192,37,53,1353
19196,41,2,1,31,31,86,200,198,38,52,1384
19706,42,2,1,31,31,87,200,204,39,51,1415
20210,43,2,0,30,30,87,201,208,40,51,1445
20726,44,2,0,31,31,87,202,212,41,51,1476
21232,45,2,1,31,31,88,202,218,42,50,1507
21786,46,2,0,30,30,88,202,223,43,50,1537
22290,47,2,0,30,30,88,202,228,44,50,1567
22796,48,2,0,31,31,88,203,232,45,50,1598
23286,49,2,0,29,29,88,204,236,46,50,1627
23803,50,2,0,30,30,88,204,241,47,50,1657
24321,51,2,1,31,31,89,204,247,48,49,1688
24803,52,2,0,30,30,89,204,252,49,49,1718
25289,53,2,1,30,30,90,204,257,50,48,1748
25804,54,2,0,30,30,90,205,261,51,48,1778
26311,55,2,0,30,30,90,205,266,52,48,1808
26834,56,2,0,30,30,90,205,271,53,48,1838
27314,57,2,0,30,30,90,206,275,54,48,1868
27857,58,2,1,31,31,91,206,281,55,47,1899
28364,59,2,0,30,30,91,206,286,56,47,1929
28888,60,2,0,30,30,91,206,291,57,47,1959
29383,61,2,0,30,30,91,206,296,58,47,1989
29902,62,2,0,30,30,91,206,301,59,47,2019
30249,63,2,0,22,22,91,207,303,60,47,2041
30853,64,2,11,39,39,102,208,316,61,36,2080
31333,65,2,0,58,58,102,232,321,62,36,2138
31338,66,2,0,1,1,102,232,321,62,36,2139
31945,67,2,4,74,74,106,275,330,63,32,2213
32531,68,2,0,73,73,106,313,340,64,32,2286
33014,69,2,0,58,58,106,332,344,65,32,2344
33504,70,2,0,57,57,106,343,348,66,32,2401
33967,71,2,0,58,58,106,362,352,67,32,2459
33971,72,2,1,1,1,107,362,353,67,31,2460
34106,73,2,0,10,10,107,365,356,68,31,2470
34244,74,2,0,11,11,107,368,359,69,31,2481
34926,75,2,0,39,39,107,371,366,71,31,2520
35411,76,2,3,29,29,110,378,370,72,28,2549
35415,77,3,0,1,1,110,378,371,72,28,2550
35554,78,3,0,10,10,110,381,374,73,28,2560
35996,79,3,0,38,38,110,392,377,75,28,2598
36496,80,5,0,58,58,110,417,382,76,28,2656
36984,81,14,0,29,29,110,418,386,77,28,2685
38238,82,17,1,76,76,111,426,410,79,27,2761
38806,83,18,3,33,33,114,426,418,80,24,2794
39997,84,21,2,71,71,116,433,444,81,22,2865
