TestNo,TestName
1,org.trendafilov.confucius.ConfigurationTest[sanityCheck]
2,org.trendafilov.confucius.ConfigurationTest[testMissingShortListKey]
3,org.trendafilov.confucius.ConfigurationTest[testFloatList]
4,org.trendafilov.confucius.ConfigurationTest[testMissingBooleanListKey]
5,org.trendafilov.confucius.ConfigurationTest[testStringSetAndGet]
6,org.trendafilov.confucius.ConfigurationTest[testDoubleDefaultReturn]
7,org.trendafilov.confucius.ConfigurationTest[testClearProperty]
8,org.trendafilov.confucius.ConfigurationTest[testLongSetAndGet]
9,org.trendafilov.confucius.ConfigurationTest[testGetProperties]
10,org.trendafilov.confucius.ConfigurationTest[testByteDefaultReturn]
11,org.trendafilov.confucius.ConfigurationTest[testShortDefaultReturn]
12,org.trendafilov.confucius.ConfigurationTest[testBooleanDefaultReturn]
13,org.trendafilov.confucius.ConfigurationTest[testFloatSetAndGet]
14,org.trendafilov.confucius.ConfigurationTest[testCharDefaultReturn]
15,org.trendafilov.confucius.ConfigurationTest[testSetProperties]
16,org.trendafilov.confucius.ConfigurationTest[testIntList]
17,org.trendafilov.confucius.ConfigurationTest[testMissingCharListKey]
18,org.trendafilov.confucius.ConfigurationTest[testMissingBooleanValueKey]
19,org.trendafilov.confucius.ConfigurationTest[testMissingDoubleValueKey]
20,org.trendafilov.confucius.ConfigurationTest[testStringList]
21,org.trendafilov.confucius.ConfigurationTest[testCharSetAndGet]
22,org.trendafilov.confucius.core.FileConfigurationDataProviderTest[testReturnLines]
23,org.trendafilov.confucius.core.ParserTest[testValidConfigFile]
24,org.trendafilov.confucius.core.ParserTest[testSubstitutionWithOverride]
25,org.trendafilov.confucius.core.ParserTest[testMultiContextRead]
26,org.trendafilov.confucius.core.ParserTest[testAllEmptyContexts]
27,org.trendafilov.confucius.core.ParserTest[testSubstitutionSameContext]
28,org.trendafilov.confucius.core.ParserTest[testUnparsableLine]
29,org.trendafilov.confucius.core.ParserTest[testSubstitutionAcrossContexts]
30,org.trendafilov.confucius.core.ParserTest[testNullConfig]
31,org.trendafilov.confucius.core.ParserTest[testMissingConfigFileWithContext]
32,org.trendafilov.confucius.core.ParserTest[testSubstitutionCircular]
33,org.trendafilov.confucius.core.StreamConfigurationDataProviderTest[testResettingStreamAfterGetAllLines]
34,org.trendafilov.confucius.ConfigurationTest[testBooleanSetAndGet]
35,org.trendafilov.confucius.ConfigurationTest[testIntSetAndGet]
36,org.trendafilov.confucius.ConfigurationTest[testFloatDefaultReturn]
37,org.trendafilov.confucius.ConfigurationTest[testMissingIntValueKey]
38,org.trendafilov.confucius.ConfigurationTest[testDoubleSetAndGet]
39,org.trendafilov.confucius.ConfigurationTest[testMissingFloatValueKey]
40,org.trendafilov.confucius.ConfigurationTest[testIntDefaultReturn]
41,org.trendafilov.confucius.ConfigurationTest[testLongList]
42,org.trendafilov.confucius.ConfigurationTest[testShortList]
43,org.trendafilov.confucius.ConfigurationTest[testLongStringValueKey]
44,org.trendafilov.confucius.ConfigurationTest[testByteSetAndGet]
45,org.trendafilov.confucius.ConfigurationTest[testByteList]
46,org.trendafilov.confucius.ConfigurationTest[testMissingByteListKey]
47,org.trendafilov.confucius.ConfigurationTest[testMissingFloatListKey]
48,org.trendafilov.confucius.ConfigurationTest[testShortSetAndGet]
49,org.trendafilov.confucius.ConfigurationTest[testPropertySetAndGet]
50,org.trendafilov.confucius.ConfigurationTest[testMissingCharValueKey]
51,org.trendafilov.confucius.ConfigurationTest[testDoubleList]
52,org.trendafilov.confucius.ConfigurationTest[testMissingIntListKey]
53,org.trendafilov.confucius.ConfigurationTest[testLongDefaultReturn]
