TestNo,MutantNo
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,40
1,41
1,46
1,47
1,175
1,177
1,178
1,179
1,180
1,181
1,182
1,183
1,184
1,185
1,189
1,190
1,191
1,194
1,195
1,196
1,197
1,202
1,203
1,225
1,226
1,336
1,340
1,343
1,344
1,345
1,346
1,347
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,40
2,41
2,46
2,47
2,175
2,177
2,178
2,179
2,180
2,181
2,182
2,183
2,184
2,185
2,189
2,190
2,191
2,194
2,195
2,196
2,197
2,202
2,203
2,225
2,226
2,336
2,340
2,343
2,344
2,345
2,346
2,347
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
3,40
3,41
3,46
3,47
3,175
3,177
3,178
3,179
3,180
3,181
3,182
3,183
3,184
3,185
3,189
3,190
3,191
3,194
3,195
3,196
3,197
3,202
3,203
3,225
3,226
3,227
3,228
3,229
3,238
3,239
3,240
3,241
3,242
3,243
3,245
3,246
3,248
3,249
3,250
3,251
3,252
3,253
3,254
3,255
3,256
3,257
3,260
3,261
3,262
3,263
3,264
3,265
3,266
3,267
3,268
3,269
3,270
3,271
3,272
3,273
3,274
3,275
3,276
3,277
3,279
3,280
3,281
3,282
3,283
3,284
3,285
3,288
3,289
3,290
3,291
3,292
3,293
3,294
3,295
3,297
3,298
3,299
3,303
3,304
3,305
3,306
3,336
3,340
3,341
3,343
3,344
3,345
3,346
3,347
3,352
3,354
3,355
3,356
3,357
3,358
3,359
3,360
3,361
3,362
3,363
3,364
3,365
3,366
3,367
3,369
3,370
3,371
3,372
3,376
3,377
3,378
3,379
3,380
3,384
3,386
3,390
3,549
3,550
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,40
4,41
4,46
4,47
4,175
4,177
4,178
4,179
4,180
4,181
4,182
4,183
4,184
4,185
4,189
4,190
4,191
4,194
4,195
4,196
4,197
4,202
4,203
4,225
4,226
4,227
4,228
4,229
4,238
4,239
4,240
4,241
4,242
4,243
4,245
4,246
4,248
4,249
4,250
4,251
4,252
4,253
4,254
4,255
4,256
4,257
4,260
4,261
4,262
4,263
4,264
4,265
4,266
4,267
4,268
4,269
4,270
4,271
4,272
4,273
4,274
4,275
4,276
4,277
4,279
4,280
4,281
4,282
4,283
4,284
4,285
4,288
4,289
4,290
4,291
4,292
4,293
4,294
4,295
4,297
4,298
4,299
4,303
4,304
4,305
4,306
4,307
4,308
4,309
4,310
4,311
4,312
4,313
4,314
4,316
4,317
4,318
4,319
4,320
4,321
4,322
4,323
4,324
4,325
4,326
4,327
4,328
4,329
4,330
4,331
4,332
4,334
4,336
4,340
4,343
4,344
4,345
4,346
4,347
4,354
4,355
4,356
4,357
4,358
4,359
4,360
4,361
4,362
4,363
4,364
4,365
4,366
4,367
4,369
4,370
4,371
4,372
4,376
4,377
4,378
4,384
4,386
4,390
4,549
4,550
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,23
5,24
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,40
5,41
5,42
5,43
5,46
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
5,63
5,64
5,65
5,66
5,67
5,68
5,69
5,70
5,71
5,72
5,73
5,75
5,76
5,77
5,78
5,79
5,80
5,81
5,82
5,83
5,84
5,85
5,86
5,87
5,88
5,89
5,90
5,91
5,92
5,93
5,94
5,95
5,96
5,97
5,98
5,99
5,101
5,102
5,103
5,104
5,105
5,106
5,107
5,108
5,109
5,110
5,111
5,112
5,113
5,114
5,115
5,116
5,117
5,118
5,119
5,120
5,121
5,122
5,123
5,124
5,125
5,126
5,127
5,128
5,129
5,130
5,131
5,132
5,133
5,134
5,135
5,136
5,137
5,138
5,139
5,140
5,141
5,142
5,159
5,160
5,161
5,162
5,163
5,164
5,165
5,166
5,175
5,177
5,178
5,179
5,180
5,181
5,182
5,183
5,184
5,185
5,189
5,190
5,191
5,194
5,195
5,196
5,197
5,198
5,199
5,200
5,201
5,202
5,203
5,205
5,206
5,207
5,208
5,209
5,210
5,211
5,212
5,220
5,221
5,222
5,223
5,225
5,226
5,227
5,228
5,229
5,238
5,239
5,240
5,241
5,242
5,243
5,245
5,246
5,248
5,249
5,250
5,251
5,252
5,253
5,254
5,255
5,256
5,257
5,260
5,261
5,262
5,263
5,264
5,265
5,266
5,267
5,268
5,269
5,270
5,271
5,272
5,273
5,274
5,275
5,276
5,277
5,279
5,280
5,281
5,282
5,283
5,284
5,285
5,288
5,289
5,290
5,291
5,292
5,293
5,294
5,295
5,297
5,298
5,299
5,303
5,304
5,305
5,306
5,336
5,340
5,341
5,343
5,344
5,345
5,346
5,347
5,351
5,354
5,355
5,356
5,357
5,358
5,359
5,360
5,361
5,362
5,363
5,364
5,365
5,366
5,367
5,369
5,370
5,371
5,372
5,376
5,377
5,378
5,384
5,386
5,390
5,391
5,392
5,393
5,394
5,395
5,396
5,397
5,398
5,399
5,400
5,401
5,402
5,403
5,404
5,405
5,406
5,407
5,408
5,409
5,410
5,411
5,412
5,413
5,414
5,415
5,416
5,417
5,418
5,419
5,420
5,421
5,422
5,423
5,424
5,425
5,426
5,427
5,428
5,429
5,430
5,431
5,432
5,433
5,434
5,435
5,436
5,437
5,438
5,439
5,440
5,447
5,448
5,449
5,450
5,451
5,452
5,453
5,454
5,455
5,456
5,521
5,522
5,523
5,524
5,525
5,526
5,527
5,528
5,529
5,530
5,531
5,532
5,533
5,534
5,535
5,536
5,537
5,538
5,539
5,540
5,541
5,542
5,543
5,544
5,549
5,550
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,40
6,41
6,46
6,47
6,175
6,177
6,178
6,179
6,180
6,181
6,182
6,183
6,184
6,185
6,189
6,190
6,191
6,194
6,195
6,196
6,197
6,198
6,199
6,200
6,201
6,202
6,203
6,205
6,206
6,207
6,225
6,226
6,227
6,228
6,229
6,238
6,239
6,240
6,241
6,242
6,243
6,245
6,246
6,248
6,249
6,250
6,251
6,252
6,253
6,254
6,255
6,256
6,257
6,258
6,260
6,261
6,262
6,263
6,264
6,265
6,266
6,267
6,268
6,269
6,270
6,271
6,272
6,273
6,274
6,275
6,276
6,277
6,278
6,279
6,280
6,281
6,282
6,283
6,284
6,285
6,286
6,287
6,288
6,289
6,290
6,291
6,292
6,293
6,294
6,295
6,297
6,298
6,299
6,303
6,304
6,305
6,306
6,336
6,340
6,341
6,343
6,344
6,345
6,346
6,347
6,354
6,355
6,356
6,357
6,358
6,359
6,360
6,361
6,362
6,363
6,364
6,365
6,366
6,367
6,369
6,370
6,371
6,372
6,376
6,377
6,378
6,379
6,380
6,384
6,386
6,390
6,549
6,550
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,40
7,41
7,46
7,47
7,175
7,177
7,178
7,179
7,180
7,181
7,182
7,183
7,184
7,185
7,189
7,190
7,191
7,194
7,195
7,196
7,197
7,198
7,199
7,200
7,201
7,202
7,203
7,225
7,226
7,227
7,228
7,229
7,238
7,239
7,240
7,241
7,242
7,243
7,245
7,246
7,248
7,249
7,250
7,251
7,252
7,260
7,261
7,262
7,263
7,264
7,265
7,266
7,278
7,279
7,280
7,281
7,286
7,287
7,288
7,289
7,290
7,291
7,292
7,293
7,294
7,295
7,297
7,298
7,299
7,303
7,304
7,305
7,306
7,336
7,340
7,343
7,344
7,345
7,346
7,347
7,379
7,380
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,40
8,41
8,46
8,47
8,175
8,177
8,178
8,179
8,180
8,181
8,182
8,183
8,184
8,185
8,189
8,190
8,191
8,194
8,195
8,196
8,197
8,202
8,203
8,340
8,343
8,344
8,345
8,346
8,347
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,40
9,41
9,46
9,47
9,175
9,177
9,178
9,179
9,180
9,181
9,182
9,183
9,184
9,185
9,189
9,190
9,191
9,194
9,195
9,196
9,197
9,198
9,199
9,200
9,201
9,202
9,203
9,225
9,226
9,227
9,228
9,229
9,238
9,239
9,240
9,241
9,242
9,243
9,245
9,246
9,248
9,249
9,250
9,251
9,252
9,260
9,261
9,262
9,263
9,264
9,265
9,266
9,278
9,279
9,280
9,281
9,286
9,287
9,288
9,289
9,290
9,291
9,292
9,293
9,294
9,295
9,297
9,298
9,299
9,303
9,304
9,305
9,306
9,336
9,340
9,341
9,342
9,343
9,344
9,345
9,346
9,347
9,379
9,380
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,14
10,15
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,40
10,41
10,46
10,47
10,175
10,177
10,178
10,179
10,180
10,181
10,182
10,183
10,184
10,185
10,189
10,190
10,191
10,194
10,195
10,196
10,197
10,202
10,203
10,340
10,343
10,344
10,345
10,346
10,347
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
11,12
11,13
11,14
11,15
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,40
11,41
11,46
11,47
11,175
11,177
11,178
11,179
11,180
11,181
11,182
11,183
11,184
11,185
11,189
11,190
11,191
11,194
11,195
11,196
11,197
11,202
11,203
11,205
11,206
11,207
11,208
11,209
11,210
11,211
11,212
11,220
11,221
11,222
11,223
11,225
11,226
11,227
11,228
11,229
11,238
11,239
11,240
11,241
11,242
11,243
11,245
11,246
11,248
11,249
11,250
11,251
11,252
11,253
11,254
11,255
11,256
11,257
11,260
11,261
11,262
11,263
11,264
11,265
11,266
11,267
11,268
11,269
11,270
11,271
11,272
11,273
11,274
11,275
11,276
11,277
11,279
11,280
11,281
11,282
11,283
11,284
11,285
11,288
11,289
11,290
11,291
11,292
11,293
11,294
11,295
11,297
11,298
11,299
11,303
11,304
11,305
11,306
11,336
11,340
11,341
11,343
11,344
11,345
11,346
11,347
11,351
11,354
11,355
11,356
11,357
11,358
11,359
11,360
11,361
11,362
11,363
11,364
11,365
11,366
11,367
11,368
11,369
11,370
11,371
11,372
11,376
11,377
11,378
11,384
11,386
11,390
11,535
11,536
11,537
11,538
11,539
11,540
11,541
11,542
11,543
11,544
11,549
11,550
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
12,11
12,12
12,13
12,14
12,15
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,40
12,41
12,46
12,47
12,175
12,177
12,178
12,179
12,180
12,181
12,182
12,183
12,184
12,185
12,189
12,190
12,191
12,194
12,195
12,196
12,197
12,202
12,203
12,205
12,206
12,207
12,208
12,209
12,210
12,211
12,212
12,220
12,221
12,222
12,223
12,225
12,226
12,227
12,228
12,229
12,238
12,239
12,240
12,241
12,242
12,243
12,245
12,246
12,248
12,249
12,250
12,251
12,252
12,253
12,254
12,255
12,256
12,257
12,260
12,261
12,262
12,263
12,264
12,265
12,266
12,267
12,268
12,269
12,270
12,271
12,272
12,273
12,274
12,275
12,276
12,277
12,279
12,280
12,281
12,282
12,283
12,284
12,285
12,288
12,289
12,290
12,291
12,292
12,293
12,294
12,295
12,297
12,298
12,299
12,303
12,304
12,305
12,306
12,336
12,340
12,341
12,343
12,344
12,345
12,346
12,347
12,351
12,354
12,355
12,356
12,357
12,358
12,359
12,360
12,361
12,362
12,363
12,364
12,365
12,366
12,367
12,369
12,370
12,371
12,372
12,376
12,377
12,378
12,384
12,386
12,390
12,549
12,550
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,14
13,15
13,23
13,24
13,25
13,26
13,27
13,28
