MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,LIVE
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,LIVE
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,LIVE
15,FAIL
16,LIVE
17,LIVE
18,FAIL
19,LIVE
20,FAIL
21,LIVE
22,LIVE
23,LIVE
24,FAIL
25,FAIL
26,LIVE
27,FAIL
28,LIVE
29,FAIL
30,FAIL
31,LIVE
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,LIVE
39,FAIL
40,FAIL
41,LIVE
42,FAIL
43,FAIL
44,LIVE
45,FAIL
46,LIVE
47,FAIL
48,LIVE
49,FAIL
50,LIVE
51,FAIL
52,LIVE
53,FAIL
54,FAIL
55,FAIL
56,LIVE
57,FAIL
58,FAIL
59,FAIL
60,LIVE
61,FAIL
62,FAIL
63,FAIL
64,LIVE
65,LIVE
66,FAIL
67,FAIL
68,FAIL
69,LIVE
70,LIVE
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,LIVE
76,LIVE
77,LIVE
78,LIVE
79,LIVE
80,FAIL
81,LIVE
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,LIVE
91,FAIL
92,FAIL
93,LIVE
94,LIVE
95,LIVE
96,FAIL
97,LIVE
98,LIVE
99,LIVE
101,FAIL
102,FAIL
103,LIVE
104,LIVE
105,FAIL
106,LIVE
107,LIVE
108,LIVE
109,LIVE
110,FAIL
111,LIVE
112,FAIL
113,LIVE
114,LIVE
115,FAIL
116,FAIL
117,LIVE
118,LIVE
119,FAIL
120,FAIL
121,FAIL
122,FAIL
123,FAIL
124,FAIL
125,FAIL
126,FAIL
127,FAIL
128,FAIL
129,LIVE
130,FAIL
131,FAIL
132,LIVE
133,LIVE
134,FAIL
135,LIVE
136,FAIL
137,LIVE
138,FAIL
139,FAIL
140,FAIL
141,LIVE
142,FAIL
143,FAIL
144,FAIL
145,LIVE
146,LIVE
147,FAIL
148,LIVE
149,LIVE
150,FAIL
151,LIVE
152,FAIL
153,LIVE
154,LIVE
155,FAIL
156,FAIL
157,LIVE
158,LIVE
159,LIVE
160,FAIL
161,FAIL
162,FAIL
163,LIVE
164,FAIL
165,FAIL
166,FAIL
175,FAIL
176,LIVE
177,FAIL
178,FAIL
179,FAIL
180,FAIL
181,FAIL
