TestNo,MutantNo
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,17
1,18
1,19
1,20
1,21
1,22
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,40
1,41
1,42
1,43
1,44
1,48
1,49
1,50
1,51
1,55
1,56
1,57
1,63
1,66
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,121
1,122
1,123
1,124
1,125
1,126
1,128
1,142
1,148
1,149
1,150
1,151
1,154
1,155
1,156
1,157
1,158
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,221
1,222
1,223
1,224
1,225
1,226
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,10
2,11
2,12
2,13
2,17
2,18
2,20
2,22
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,40
2,41
2,42
2,43
2,44
2,48
2,49
2,50
2,51
2,55
2,56
2,57
2,63
2,66
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,81
2,82
2,83
2,84
2,85
2,86
2,87
2,88
2,89
2,90
2,91
2,92
2,93
2,95
2,121
2,122
2,123
2,124
2,125
2,126
2,128
2,129
2,130
2,131
2,132
2,133
2,142
2,143
2,144
2,145
2,146
2,147
2,148
2,149
2,150
2,151
2,154
2,155
2,156
2,157
2,158
2,209
2,210
2,211
2,212
2,213
2,214
2,215
2,216
2,217
2,218
2,219
2,220
2,221
2,222
2,223
2,224
2,225
2,226
2,227
2,228
2,229
2,230
2,231
2,232
2,235
2,236
2,237
2,238
2,239
2,240
2,241
2,242
2,252
2,253
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,10
3,11
3,12
3,13
3,17
3,18
3,20
3,22
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
3,40
3,41
3,42
3,43
3,44
3,48
3,49
3,50
3,51
3,55
3,56
3,57
3,63
3,66
3,68
3,69
3,70
3,71
3,72
3,73
3,74
3,81
3,82
3,83
3,84
3,85
3,86
3,87
3,88
3,89
3,90
3,91
3,92
3,93
3,95
3,121
3,122
3,123
3,124
3,125
3,126
3,128
3,129
3,130
3,131
3,132
3,133
3,142
3,143
3,144
3,145
3,146
3,147
3,148
3,149
3,150
3,151
3,154
3,155
3,156
3,157
3,158
3,209
3,210
3,211
3,212
3,213
3,214
3,215
3,216
3,217
3,218
3,219
3,220
3,221
3,222
3,223
3,224
3,225
3,226
3,227
3,228
3,229
3,230
3,231
3,232
3,235
3,236
3,237
3,238
3,239
3,240
3,241
3,242
3,252
3,253
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,10
4,11
4,12
4,13
4,17
4,18
4,20
4,22
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,40
4,41
4,42
4,43
4,44
4,48
4,49
4,50
4,51
4,55
4,56
4,57
4,63
4,66
4,68
4,69
4,70
4,71
4,72
4,73
4,74
4,81
4,82
4,83
4,84
4,85
4,86
4,87
4,88
4,89
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
4,100
4,101
4,102
4,121
4,122
4,123
4,124
4,125
4,126
4,128
4,129
4,130
4,131
4,132
4,133
4,142
4,143
4,144
4,145
4,146
4,147
4,148
4,149
4,150
4,151
4,154
4,155
4,156
4,157
4,158
4,209
4,210
4,211
4,212
4,213
4,214
4,215
4,216
4,217
4,218
4,219
4,220
4,221
4,222
4,223
4,224
4,225
4,226
4,227
4,228
4,229
4,230
4,231
4,232
4,235
4,236
4,237
4,238
4,239
4,240
4,241
4,242
4,252
4,253
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,10
5,11
5,12
5,13
5,17
5,18
5,20
5,22
5,24
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,35
5,36
5,37
5,38
5,40
5,41
5,42
5,43
5,44
5,48
5,49
5,50
5,51
5,55
5,56
5,57
5,63
5,66
5,68
5,69
5,70
5,71
5,72
5,73
5,74
5,81
5,82
5,83
5,84
5,85
5,86
5,87
5,88
5,89
5,90
5,91
5,92
5,93
5,94
5,95
5,96
5,97
5,98
5,99
5,100
5,101
5,102
5,121
5,122
5,123
5,124
5,125
5,126
5,128
5,129
5,130
5,131
5,132
5,133
5,142
5,143
5,144
5,145
5,146
5,147
5,148
5,149
5,150
5,151
5,154
5,155
5,156
5,157
5,158
5,209
5,210
5,211
5,212
5,213
5,214
5,215
5,216
5,217
5,218
5,219
5,220
5,221
5,222
5,223
5,224
5,225
5,226
5,227
5,228
5,229
5,230
5,231
5,232
5,235
5,236
5,237
5,238
5,239
5,240
5,241
5,242
5,252
5,253
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,17
6,18
6,19
6,20
6,21
6,22
6,24
6,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,38
6,40
6,41
6,42
6,43
6,44
6,48
6,49
6,50
6,51
6,55
6,56
6,57
6,63
6,66
6,68
6,69
6,70
6,71
6,72
6,73
6,74
6,81
6,82
6,83
6,84
6,85
6,86
6,87
6,88
6,89
6,90
6,91
6,92
6,93
6,95
6,121
6,122
6,123
6,124
6,125
6,126
6,128
6,142
6,148
6,149
6,150
6,151
6,154
6,155
6,156
6,157
6,158
6,209
6,210
6,211
6,212
6,213
6,214
6,215
6,216
6,217
6,218
6,219
6,220
6,221
6,222
6,223
6,224
6,225
6,226
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,17
7,18
7,19
7,20
7,21
7,22
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,36
7,37
7,38
7,40
7,41
7,42
7,43
7,44
7,48
7,49
7,50
7,51
7,55
7,56
7,57
7,63
7,66
7,68
7,69
7,70
7,71
7,72
7,73
7,74
7,81
7,82
7,83
7,84
7,85
7,86
7,87
7,88
7,89
7,90
7,91
7,92
7,93
7,95
7,121
7,122
7,123
7,124
7,125
7,126
7,128
7,142
7,148
7,149
7,150
7,151
7,154
7,155
7,156
7,157
7,158
7,209
7,210
7,211
7,212
7,213
7,214
7,215
7,216
7,217
7,218
7,219
7,220
7,221
7,222
7,223
7,224
7,225
7,226
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,17
8,18
8,19
8,20
8,21
8,22
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,40
8,41
8,42
8,43
8,44
8,48
8,49
8,50
8,51
8,55
8,56
8,57
8,63
8,66
8,68
8,69
8,70
8,71
8,72
8,73
8,74
8,81
8,82
8,83
8,84
8,85
8,86
8,87
8,88
8,89
8,90
8,91
8,92
8,93
8,94
8,95
8,96
8,97
8,98
8,99
8,100
8,101
8,102
8,121
8,122
8,123
8,124
8,125
8,126
8,128
8,142
8,148
8,149
8,150
8,151
8,154
8,155
8,156
8,157
8,158
8,209
8,210
8,211
8,212
8,213
8,214
8,215
8,216
8,217
8,218
8,219
8,220
8,221
8,222
8,223
8,224
8,225
8,226
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,17
9,18
9,19
9,20
9,21
9,22
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,40
9,41
9,42
9,43
9,44
9,48
9,49
9,50
9,51
9,55
9,56
9,57
9,63
9,66
9,68
9,69
9,70
9,71
9,72
9,73
9,74
9,81
9,82
9,83
9,84
9,85
9,86
9,87
9,88
9,89
9,90
9,91
9,92
9,93
9,95
9,103
9,104
9,105
9,106
9,107
9,108
9,109
9,110
9,111
9,112
9,113
9,114
9,115
9,116
9,117
9,118
9,119
9,120
9,121
9,122
9,123
9,124
9,125
9,126
9,128
9,142
9,148
9,149
9,150
9,151
9,154
9,155
9,156
9,157
9,158
9,209
9,210
9,211
9,212
9,213
9,214
9,215
9,216
9,217
9,218
9,219
9,220
9,221
9,222
9,223
9,224
9,225
9,226
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
10,13
10,17
10,18
10,19
10,20
10,21
10,22
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,40
10,41
10,42
10,43
10,44
10,48
10,49
10,50
10,51
10,55
10,56
10,57
10,63
10,66
10,68
10,69
10,70
10,71
10,72
10,73
10,74
10,81
10,82
10,83
10,84
10,85
10,86
10,87
10,88
10,89
10,90
10,91
10,92
10,93
10,95
10,121
10,122
10,123
10,124
10,125
10,126
10,128
10,129
10,130
10,131
10,132
10,133
10,142
10,143
10,144
10,145
10,146
10,147
10,148
10,149
10,150
10,151
10,152
10,153
10,154
10,155
10,156
10,157
10,158
10,170
10,171
10,172
10,173
10,174
10,175
10,176
10,177
10,178
10,179
10,180
10,181
10,182
10,183
10,189
10,190
10,191
10,192
10,193
10,194
10,195
10,196
10,197
10,198
10,199
10,200
10,201
10,202
10,203
10,204
10,205
10,206
10,207
10,208
10,209
10,210
10,211
10,212
10,213
10,214
10,215
10,216
10,217
10,218
10,219
10,220
10,221
10,222
10,223
10,224
10,225
10,226
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
11,12
11,13
11,17
11,18
11,19
11,20
11,21
11,22
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,40
11,41
11,42
11,43
11,44
11,48
11,49
11,50
11,51
11,55
11,56
11,57
11,63
11,66
11,68
11,69
11,70
11,71
11,72
11,73
11,74
11,81
11,82
11,83
11,84
11,85
11,86
11,87
11,88
11,89
11,90
11,91
11,92
11,93
11,95
11,121
11,122
11,123
11,124
11,125
11,126
11,128
11,129
11,130
11,131
11,132
11,133
11,142
11,143
11,144
11,145
11,146
11,147
11,148
11,149
11,150
11,151
11,154
11,155
11,156
11,157
11,158
11,209
11,210
11,211
11,212
11,213
11,214
11,215
11,216
11,217
11,218
11,219
11,220
11,221
11,222
11,223
11,224
11,225
11,226
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,10
12,11
12,12
12,13
12,17
12,18
12,20
12,22
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,40
12,41
12,42
12,43
12,44
12,48
12,49
12,50
12,51
12,55
12,56
12,57
12,63
12,66
12,68
12,69
12,70
12,71
12,72
12,73
12,74
12,81
12,82
12,83
12,84
12,85
12,86
12,87
12,88
12,89
12,90
12,91
12,92
12,93
12,94
12,95
12,96
12,97
12,98
12,99
12,100
12,101
12,102
12,121
12,122
12,123
12,124
12,125
12,126
12,128
12,129
12,130
12,131
12,132
12,133
12,142
12,143
12,144
12,145
12,146
12,147
12,148
12,149
12,150
12,151
12,154
12,155
12,156
12,157
12,158
12,209
12,210
12,211
12,212
12,213
12,214
12,215
12,216
12,217
12,218
12,219
12,220
12,221
12,222
12,223
12,224
12,225
12,226
12,227
12,228
12,229
12,230
12,231
12,232
12,235
12,236
12,237
12,238
12,239
12,240
12,241
12,242
12,252
12,253
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,17
13,18
13,19
13,20
13,21
13,22
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,40
13,41
13,42
13,43
13,44
13,48
13,49
13,50
13,51
13,55
13,56
13,57
13,63
13,66
13,68
13,69
13,70
13,71
13,72
13,73
13,74
13,81
13,82
13,83
13,84
13,85
13,86
13,87
13,88
13,89
13,90
13,91
13,92
13,93
13,94
13,95
13,96
13,97
13,98
13,99
13,100
13,101
13,102
13,121
13,122
13,123
13,124
13,125
13,126
13,128
13,142
13,148
13,149
13,150
13,151
13,154
13,155
13,156
13,157
13,158
13,209
13,210
13,211
13,212
13,213
13,214
13,215
13,216
13,217
13,218
13,219
13,220
13,221
13,222
13,223
13,224
13,225
13,226
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,12
14,13
14,17
14,18
14,19
14,20
14,21
14,22
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,38
14,40
14,41
14,42
14,43
14,44
14,48
14,49
14,50
14,51
14,55
14,56
14,57
