TestNo,MutantNo
1,10
1,11
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,21
1,22
1,23
1,24
1,26
1,27
1,28
1,29
1,30
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,42
1,43
1,44
1,45
1,46
1,47
1,49
2,10
2,12
2,13
2,15
2,18
2,24
2,26
2,27
2,28
2,29
2,32
2,34
2,37
2,40
2,43
2,45
2,46
2,47
2,49
4,10
4,11
4,13
4,14
4,15
4,16
4,18
4,21
4,24
4,53
4,55
4,56
4,58
4,59
4,60
4,61
4,62
4,63
5,10
5,13
5,18
5,64
5,65
8,245
8,246
8,247
8,248
8,249
8,250
8,251
8,252
8,254
8,255
8,256
8,257
8,258
8,259
8,260
8,261
8,262
8,263
8,264
9,242
9,243
9,244
10,245
10,246
10,247
10,248
10,249
10,250
10,251
10,252
10,254
10,255
10,256
10,257
10,258
10,259
10,260
10,261
10,262
10,263
10,264
10,265
11,269
12,10
12,11
12,13
12,14
12,15
12,16
12,18
12,21
12,24
