TestNo,MutantNo
1,159
1,230
1,232
1,238
1,239
1,241
1,242
1,246
1,247
1,263
2,150
2,151
2,152
4,151
5,159
5,230
5,232
5,238
5,239
5,241
5,242
5,246
5,247
5,263
6,159
6,230
6,232
6,238
6,239
6,241
6,242
6,246
6,247
6,263
7,159
7,230
7,232
7,238
7,239
7,241
7,242
7,246
7,247
8,159
8,230
8,232
8,238
8,239
8,241
8,242
8,246
8,247
8,263
9,159
9,230
9,232
9,238
9,239
9,241
9,242
9,246
9,247
9,263
10,18
10,38
10,39
10,40
10,44
10,57
10,58
10,59
10,63
10,67
10,70
10,95
10,97
10,107
10,108
10,109
10,110
10,114
10,118
10,119
10,120
10,121
10,123
10,124
10,125
10,127
10,129
10,146
10,149
10,150
10,151
10,152
10,159
10,167
10,169
10,190
10,191
10,195
10,198
10,200
10,201
10,202
10,204
10,205
10,206
10,207
10,208
10,209
10,210
10,211
10,212
10,213
10,214
10,216
10,219
10,221
10,222
10,223
10,224
10,228
10,229
10,230
10,232
10,233
10,235
10,238
10,239
10,241
10,242
10,243
10,244
10,246
10,247
10,261
10,263
10,273
10,274
10,282
10,290
10,291
10,293
10,294
10,297
10,298
10,299
10,301
10,306
10,307
10,308
10,309
10,310
10,312
10,319
10,328
10,496
10,502
10,503
11,18
11,38
11,39
11,40
11,44
11,56
11,57
11,58
11,67
11,70
11,95
11,97
11,107
11,108
11,109
11,110
11,114
11,118
11,119
11,120
11,121
11,123
11,124
11,125
11,127
11,129
11,146
11,149
11,150
11,151
11,152
11,159
11,167
11,169
11,190
11,191
11,195
11,198
11,200
11,201
11,202
11,204
11,205
11,206
11,207
11,208
11,209
11,210
11,211
11,212
11,213
11,214
11,216
11,219
11,221
11,222
11,223
11,224
11,228
11,229
11,230
11,232
11,233
11,235
11,238
11,239
11,241
11,242
11,243
11,244
11,246
11,247
11,261
11,273
11,274
11,290
11,291
11,293
11,294
11,297
11,298
11,299
11,301
11,306
11,307
11,308
11,309
11,310
11,312
11,319
11,328
11,496
11,502
11,503
12,159
12,230
12,232
12,238
12,239
12,241
12,242
12,246
12,247
12,263
13,159
13,162
13,230
13,232
13,238
13,239
13,241
13,242
13,246
13,247
13,263
14,159
14,230
14,232
14,238
14,239
14,241
14,242
14,246
14,247
14,263
15,200
15,201
15,202
15,204
15,205
15,206
15,207
15,208
15,209
15,210
15,211
15,212
15,213
15,214
15,216
15,219
15,221
15,222
15,223
15,224
15,228
15,229
15,230
15,232
15,233
15,235
15,238
15,239
15,241
15,242
15,243
15,244
15,246
15,247
15,261
15,263
15,264
15,266
15,273
15,274
15,220
15,290
15,291
15,293
15,294
15,297
15,298
15,299
16,159
16,228
16,230
16,232
16,238
16,239
16,241
16,242
16,246
16,247
17,159
17,228
17,230
17,232
17,238
17,239
17,241
17,242
17,246
17,247
18,228
18,229
18,230
18,232
18,233
18,235
18,238
18,239
18,241
18,242
18,243
18,244
18,245
18,246
18,247
18,261
18,263
18,264
18,266
18,273
18,274
18,275
18,291
18,293
18,294
18,297
18,298
19,159
19,230
19,232
19,238
19,239
19,241
19,242
19,246
19,247
20,159
20,230
20,232
20,238
20,239
20,241
20,242
20,246
20,247
20,263
21,39
21,40
21,44
21,76
21,110
21,141
21,239
21,241
21,261
22,159
22,230
22,232
22,238
22,239
22,241
22,242
22,246
22,247
23,39
23,40
23,44
23,159
23,230
23,232
23,238
23,239
23,241
23,242
23,246
23,247
24,39
24,40
24,44
24,159
24,230
24,232
24,238
24,239
24,241
24,242
24,246
24,247
24,263
25,39
25,40
25,44
25,159
25,230
25,232
25,238
25,239
25,241
25,242
25,246
25,247
25,263
26,159
26,230
26,232
26,238
26,239
26,241
26,242
26,246
26,247
26,263
27,159
27,230
27,232
27,238
27,239
27,241
27,242
27,246
27,247
28,159
28,230
28,232
28,238
28,239
28,241
28,242
28,246
28,247
29,159
29,230
29,232
29,238
29,239
29,241
29,242
29,246
29,247
30,26
30,38
30,39
30,40
30,44
30,57
30,58
30,67
30,76
30,77
30,85
30,109
30,110
30,114
30,118
30,119
30,120
30,121
30,123
30,124
30,125
30,127
30,129
30,141
30,142
30,143
30,159
30,167
30,169
30,190
30,191
30,195
30,198
30,200
30,201
30,202
30,204
30,205
30,206
30,207
30,208
30,209
30,210
30,211
30,212
30,213
30,214
30,216
30,219
