TestNo,MutantNo
3,298
3,391
3,394
3,395
3,396
3,397
3,398
3,465
3,470
3,471
3,476
3,477
3,478
3,479
3,480
3,579
3,599
4,298
4,308
4,321
4,333
4,338
4,340
4,341
4,349
4,350
4,352
4,353
4,383
4,385
4,458
4,465
4,470
4,471
4,477
4,478
4,479
4,480
4,579
4,623
5,298
5,399
5,402
5,403
5,405
5,406
5,465
5,470
5,471
5,476
5,477
5,478
5,479
5,480
5,579
5,599
6,298
6,308
6,321
6,333
6,338
6,340
6,341
6,344
6,345
6,346
6,347
6,383
6,385
6,457
6,465
6,470
6,471
6,477
6,478
6,479
6,480
6,579
6,623
7,298
7,308
7,321
7,328
7,330
7,333
7,334
7,337
7,338
7,340
7,341
7,349
7,350
7,351
7,352
7,353
7,383
7,385
7,387
7,389
7,455
7,465
7,470
7,471
7,477
7,478
7,479
7,480
7,577
7,579
7,599
7,623
8,298
8,391
8,394
8,395
8,396
8,397
8,398
8,465
8,470
8,471
8,476
8,477
8,478
8,479
8,480
8,579
8,599
9,298
9,308
9,314
9,324
9,333
9,338
9,340
9,341
9,349
9,350
9,352
9,353
9,465
9,470
9,471
9,477
9,478
9,479
9,480
9,579
9,623
10,292
10,293
10,306
11,298
11,399
11,402
11,403
11,405
11,406
11,465
11,470
11,471
11,476
11,477
11,478
11,479
11,480
11,579
11,599
14,565
15,565
15,576
15,577
15,578
15,579
15,580
15,581
15,582
15,583
15,584
15,585
15,587
15,596
15,599
15,608
15,609
15,610
15,613
15,614
15,620
15,621
15,622
15,623
15,626
15,633
15,644
15,645
15,646
15,651
15,652
15,653
15,654
15,655
15,656
15,657
16,465
16,470
16,471
16,477
16,478
16,479
16,480
16,566
16,576
16,577
16,578
16,579
16,580
16,584
16,585
16,587
16,596
16,599
16,608
16,609
16,610
16,613
16,614
16,622
16,721
16,723
16,726
16,727
16,728
16,733
16,734
16,737
16,777
16,1018
16,1040
16,2248
17,465
17,470
17,478
18,465
18,470
18,477
18,478
18,481
19,465
19,470
19,471
19,477
19,478
19,479
19,480
19,566
19,577
19,579
19,580
19,599
19,721
19,723
19,726
19,727
19,728
19,733
19,734
19,737
19,777
19,1018
19,1040
19,1049
20,298
20,308
20,316
20,318
20,321
20,322
20,325
20,333
20,338
20,340
20,341
20,343
20,344
20,345
20,346
20,347
20,383
20,385
20,387
20,389
20,456
20,465
20,470
20,471
20,477
20,478
20,479
20,480
20,577
20,579
20,599
20,623
21,447
21,564
21,566
21,579
21,585
21,592
21,596
21,599
21,608
21,647
22,465
22,470
22,478
24,565
24,576
24,578
24,579
24,580
24,582
24,583
24,584
24,585
24,587
24,596
24,598
24,599
24,600
24,601
24,602
24,603
24,604
24,605
24,606
24,607
24,608
24,609
24,610
24,613
24,614
24,644
24,646
24,651
24,652
24,653
24,654
24,655
24,656
24,657
25,465
25,470
25,477
25,478
26,82
26,87
26,96
26,97
26,465
26,470
26,471
26,477
26,478
26,479
26,480
26,579
26,599
27,478
27,482
27,483
28,471
28,477
28,478
28,479
28,480
28,484
28,485
28,494
28,496
28,497
28,498
28,501
28,502
28,503
28,504
29,465
29,470
29,471
29,477
29,478
29,479
29,480
29,566
29,577
29,579
29,580
29,599
29,721
29,723
29,726
29,727
29,728
29,733
29,734
29,737
29,777
29,1010
29,1018
29,1019
29,1040
29,1048
29,1049
29,1050
29,1055
29,1060
30,465
30,470
30,471
30,477
30,478
30,479
30,480
30,566
30,577
30,579
30,580
30,599
30,680
30,721
30,723
30,726
30,727
30,728
30,733
30,734
30,737
30,777
30,1018
30,1040
31,39
31,54
31,465
31,470
31,471
31,477
31,478
31,479
31,480
31,506
31,508
31,509
31,511
31,520
31,523
31,566
31,577
31,579
31,580
31,599
31,662
31,664
31,666
31,682
31,686
31,690
31,694
31,698
31,700
31,703
31,706
31,707
31,710
31,713
31,716
31,717
31,720
31,721
31,723
31,726
31,727
31,728
31,733
31,734
31,737
31,777
31,1010
31,1018
31,1040
31,1048
31,1049
31,1050
32,298
32,308
32,314
32,324
32,333
32,338
32,340
32,341
32,344
32,345
32,346
32,347
32,456
32,465
32,470
32,471
32,477
32,478
32,479
32,480
32,579
32,623
33,299
33,465
33,470
33,471
33,477
33,478
33,479
33,480
33,566
33,577
33,579
33,580
33,599
33,721
33,723
33,726
33,727
33,728
33,733
33,734
33,737
33,777
33,1010
33,1018
33,1040
33,1048
33,1049
33,1050
33,1228
33,1229
33,1233
33,1238
33,1240
33,1241
33,1242
33,1243
33,1246
33,1248
34,82
34,83
34,96
34,97
34,465
34,470
34,471
34,477
34,478
34,479
34,480
34,579
34,599
35,465
35,470
35,471
35,477
35,478
35,479
35,480
35,520
35,523
35,563
35,566
35,577
35,579
35,580
35,599
35,662
35,664
35,666
35,703
35,706
35,707
35,710
35,713
35,716
35,717
35,720
35,721
35,723
35,726
35,727
35,728
35,733
35,734
35,737
35,777
35,1010
35,1018
35,1040
35,1048
35,1049
35,1050
