MutantNo,[FAIL | TIME | EXC | LIVE]
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
34,LIVE
35,LIVE
36,LIVE
37,LIVE
39,FAIL
40,LIVE
41,LIVE
42,LIVE
43,LIVE
44,LIVE
45,LIVE
46,LIVE
47,LIVE
48,LIVE
49,LIVE
50,LIVE
51,LIVE
52,LIVE
53,LIVE
54,FAIL
67,LIVE
68,LIVE
69,LIVE
70,LIVE
71,LIVE
72,LIVE
73,LIVE
74,LIVE
75,LIVE
76,LIVE
77,LIVE
78,LIVE
79,LIVE
82,FAIL
83,FAIL
84,LIVE
85,LIVE
86,LIVE
87,FAIL
88,LIVE
89,LIVE
90,LIVE
91,LIVE
92,LIVE
93,LIVE
94,LIVE
95,LIVE
96,FAIL
97,FAIL
98,LIVE
99,LIVE
100,LIVE
101,LIVE
102,LIVE
103,LIVE
104,LIVE
105,LIVE
106,LIVE
107,LIVE
108,LIVE
109,LIVE
110,LIVE
112,LIVE
113,LIVE
116,LIVE
117,LIVE
118,LIVE
119,LIVE
120,LIVE
121,LIVE
122,LIVE
288,LIVE
289,LIVE
290,LIVE
291,LIVE
292,FAIL
293,FAIL
294,LIVE
295,LIVE
296,LIVE
297,LIVE
298,FAIL
299,FAIL
300,LIVE
301,LIVE
302,LIVE
303,LIVE
304,LIVE
305,LIVE
306,FAIL
307,LIVE
308,FAIL
310,LIVE
311,LIVE
312,LIVE
313,LIVE
314,FAIL
315,LIVE
316,FAIL
317,LIVE
318,FAIL
319,LIVE
320,LIVE
321,FAIL
322,FAIL
323,LIVE
324,FAIL
325,FAIL
326,LIVE
327,LIVE
328,FAIL
329,LIVE
330,FAIL
331,LIVE
332,LIVE
333,FAIL
334,FAIL
335,LIVE
336,LIVE
337,FAIL
338,FAIL
339,LIVE
340,FAIL
341,FAIL
342,LIVE
343,FAIL
344,FAIL
345,FAIL
346,FAIL
347,FAIL
348,LIVE
349,FAIL
350,FAIL
351,FAIL
352,FAIL
353,FAIL
383,FAIL
385,FAIL
387,FAIL
388,LIVE
389,FAIL
390,LIVE
391,FAIL
392,LIVE
393,LIVE
394,FAIL
395,FAIL
396,FAIL
397,FAIL
398,FAIL
399,FAIL
400,LIVE
401,LIVE
402,FAIL
403,FAIL
404,LIVE
405,FAIL
406,FAIL
445,LIVE
446,LIVE
447,FAIL
448,LIVE
449,LIVE
450,LIVE
451,LIVE
452,LIVE
453,LIVE
454,LIVE
455,FAIL
456,FAIL
457,FAIL
458,FAIL
459,LIVE
460,LIVE
461,LIVE
462,LIVE
463,LIVE
464,LIVE
465,FAIL
466,LIVE
467,LIVE
468,LIVE
469,LIVE
470,FAIL
471,FAIL
473,LIVE
476,FAIL
477,FAIL
478,FAIL
479,FAIL
480,FAIL
481,FAIL
482,FAIL
483,FAIL
484,FAIL
485,FAIL
486,LIVE
487,LIVE
488,LIVE
489,LIVE
490,LIVE
491,LIVE
492,LIVE
493,LIVE
494,FAIL
495,LIVE
496,FAIL
