CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
2024,1,1,0,33,33,0,0,0,0,499,33
3720,2,1,0,33,33,0,0,0,0,499,66
7679,3,1,17,82,82,17,7,10,0,482,148
11546,4,1,14,79,79,31,12,28,0,468,227
15597,5,1,5,82,82,36,16,40,0,463,309
19322,6,1,5,78,78,41,23,56,0,458,387
26034,7,1,9,128,128,50,35,76,0,449,515
30191,8,1,0,82,82,50,42,86,0,449,597
34179,9,1,2,76,76,52,46,103,0,447,673
36278,10,1,3,39,39,55,49,103,0,444,712
40843,11,1,0,82,82,55,53,115,0,444,794
40858,12,1,0,2,2,55,53,115,0,444,796
40874,13,1,0,2,2,55,53,115,0,444,798
40907,14,1,1,3,3,56,54,115,0,443,801
41270,15,1,30,53,53,86,84,120,0,413,854
53834,16,1,13,200,200,99,84,156,0,400,1054
54049,17,1,0,22,22,99,86,157,0,400,1076
55457,18,1,1,26,26,100,86,162,0,399,1102
67425,19,1,1,179,179,101,87,185,0,398,1281
76387,20,2,6,128,128,107,101,203,0,392,1409
81034,21,2,4,64,64,111,101,213,0,388,1473
81502,22,2,0,22,22,111,101,216,0,388,1495
81503,23,3,0,0,0,111,101,216,0,388,1495
82167,24,3,9,45,45,120,133,219,0,379,1540
83570,25,3,0,25,25,120,135,221,0,379,1565
94018,26,7,4,124,124,124,136,233,0,375,1689
95272,27,39,2,14,14,126,139,233,0,373,1703
98901,28,42,10,40,40,136,139,247,1,363,1743
114623,29,50,6,196,196,142,142,274,1,357,1939
130513,30,52,1,181,181,143,143,297,1,356,2120
178834,31,55,25,300,300,168,144,348,1,331,2420
186726,32,56,0,76,76,168,151,363,1,331,2496
200994,33,88,11,230,230,179,152,399,2,320,2726
207596,34,89,1,126,126,180,153,411,2,319,2852
229389,35,91,1,233,233,181,153,452,2,318,3085
