TestNo,TestName
1,com.jadventure.game.entities.EntityTest[testCreation]
2,com.jadventure.game.entities.EntityTest[testType]
3,com.jadventure.game.entities.EntityTest[testUnequipItem_TwoHanded]
4,com.jadventure.game.entities.EntityTest[testEquipItem_ArmourDoubleLocation]
5,com.jadventure.game.entities.EntityTest[testUnequipItem_ArmourDoubleLocation]
6,com.jadventure.game.entities.EntityTest[testEquipItem_TwoHanded]
7,com.jadventure.game.entities.EntityTest[testEquipItem_ArmourSingleLocationWithDoubleLocationEquip]
8,com.jadventure.game.entities.EntityTest[testUnequipItem_OneHand]
9,com.jadventure.game.entities.EntityTest[testEquipItem_ArmourSingleLocation]
10,com.jadventure.game.entities.EntityTest[testSetters]
11,com.jadventure.game.entities.EntityTest[testUnequipItem_ArmourSingleLocation]
12,com.jadventure.game.items.ItemTest[checkEqual]
13,com.jadventure.game.items.ItemTest[checkNotEqual]
14,com.jadventure.game.items.ItemTest[createTest]
15,com.jadventure.game.items.StorageTest[addAndRemoveWiskyAndBook]
16,com.jadventure.game.navigation.LocationTest[placeItem]
17,com.jadventure.game.repository.ItemRepositoryTest[addItem]
18,com.jadventure.game.repository.ItemRepositoryTest[retrieveItems]
19,com.jadventure.game.repository.NpcRepositoryTest[createRepo]
20,com.jadventure.game.entities.EntityTest[testEquipItem_OneHandedWithTwoHandedEquip]
21,com.jadventure.game.entities.EntityTest[testStorage]
22,com.jadventure.game.repository.ItemRepositoryTest[addItems]
23,com.jadventure.game.conversation.LineTest[createTest]
24,com.jadventure.game.items.StorageTest[addWisky]
25,com.jadventure.game.repository.ItemRepositoryTest[load]
26,com.jadventure.game.entities.PlayerTest[newRecruit]
27,com.jadventure.game.repository.ItemRepositoryTest[storeItems]
28,com.jadventure.game.repository.ItemRepositoryTest[getRandomItemTest]
29,com.jadventure.game.repository.NpcRepositoryTest[getNpc]
30,com.jadventure.game.navigation.LocationTest[newLocation]
31,com.jadventure.game.entities.PlayerTest[oldPlayer]
32,com.jadventure.game.entities.EntityTest[testEquipItem_OneHanded]
33,com.jadventure.game.conversation.ConversationManagerTest[testCreation]
34,com.jadventure.game.entities.PlayerTest[newSewerRat]
35,com.jadventure.game.repository.LocationRepositoryTest[testGetLocation]
