TestNo,TestName
1,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[atLeast1HaveSameEffectAsOneOrMore]
2,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[atLeast0HaveSameEffectAsZeroOrMore]
3,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testAnythingBut]
4,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testOneOfWithCapture]
5,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testMultiplyCapture]
6,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testTab]
7,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testAnyOf]
8,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testMaybe]
9,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testOneOf]
10,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testWord]
11,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testWithAnyCase]
12,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testGetText]
13,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testMultipleNoRange]
14,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[shouldReturnEmptyStringWhenNoGroupFound]
15,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testOrWithCapture]
16,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testEndCapture]
17,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testSomething]
18,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testSomethingBut]
19,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[zeroOreMoreSameAsAtLeast0]
20,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testEndOfLineIsFalse]
21,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testWithAnyCaseIsFalse]
22,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testOrWithClosedCapture]
23,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testMultipleFrom]
24,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[multiplyWith1NumProduceSameAsCountResult]
25,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testCountWithRange]
26,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testStartCapture]
27,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testStartOfLine]
28,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[testStartOfLineFalse]
29,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[captIsSameAsCapture]
30,ru.lanwen.verbalregex.BasicFunctionalityUnitTest[shouldAddMaybeWithOneOfFromAnotherBuilder]
31,ru.lanwen.verbalregex.NegativeCasesTest[twoOpenCaptsWithOrThrowSyntaxException]
32,ru.lanwen.verbalregex.NegativeCasesTest[testRangeWithOneArg]
33,ru.lanwen.verbalregex.NegativeCasesTest[shouldExceptionWhenTryGetMoreThanCapturedGroup]
34,ru.lanwen.verbalregex.NegativeCasesTest[rangeWithThreeArgsUsesOnlyFirstTwo]
35,ru.lanwen.verbalregex.NegativeCasesTest[testEndCaptureOnEmptyRegex]
36,ru.lanwen.verbalregex.NegativeCasesTest[multiplyWithMoreThan3ParamsOnCountEqualToWithOneAndMore]
37,ru.lanwen.verbalregex.NegativeCasesTest[testRangeWithoutArgs]
38,ru.lanwen.verbalregex.PredefinedCharClassesTest[testSpace]
39,ru.lanwen.verbalregex.PredefinedCharClassesTest[testWord]
40,ru.lanwen.verbalregex.PredefinedCharClassesTest[testWordChar]
41,ru.lanwen.verbalregex.PredefinedCharClassesTest[testNonWordChar]
42,ru.lanwen.verbalregex.PredefinedCharClassesTest[testNonDigit]
43,ru.lanwen.verbalregex.PredefinedCharClassesTest[testNonSpace]
