TestNo,MutantNo
1,54
1,56
1,57
1,58
1,59
1,60
1,61
1,63
1,64
1,65
1,66
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,77
1,80
1,81
1,82
1,96
1,119
1,127
1,150
1,149
1,215
1,221
1,230
1,231
1,232
1,233
1,236
1,257
1,264
1,265
1,273
1,274
1,275
1,276
1,277
1,278
1,279
1,280
1,281
1,282
1,285
1,286
1,287
1,288
1,290
1,291
1,294
1,315
1,427
1,428
1,430
1,592
1,590
1,657
1,659
1,665
1,677
1,680
1,683
1,687
1,775
1,780
1,801
1,862
1,986
1,987
1,988
1,990
1,991
1,992
1,993
1,1010
1,1018
1,1027
1,1030
1,1032
1,1033
1,1037
1,1039
1,1043
1,1044
1,1045
1,1047
1,1048
1,1049
1,1051
1,1053
1,1054
1,1056
1,1057
1,1059
1,1060
1,1062
1,1065
1,1066
1,1067
1,1068
1,1069
1,1070
1,1071
1,1072
1,1073
1,1078
1,1079
1,1081
1,1082
1,1083
1,1084
1,1085
1,1086
1,1088
1,1089
1,1090
1,1091
1,1093
1,1092
1,1094
1,1095
1,1096
1,1097
1,1098
1,1099
1,1115
1,1116
1,1119
1,1122
1,1123
1,1134
1,1135
1,1136
1,1156
1,1159
1,1155
1,1163
1,1166
1,1168
1,1173
1,1180
1,1181
1,1184
1,1185
1,1186
1,1187
1,1188
1,1191
1,1192
1,1195
1,1196
1,1199
1,1201
1,1203
1,1204
1,1208
1,1209
1,1245
1,1246
1,1259
1,1266
1,1272
1,1275
1,1284
1,1287
1,1314
1,1315
1,1318
1,1352
1,1353
1,1356
1,1365
1,1368
1,1378
1,1379
1,1380
1,1386
1,1387
1,1388
1,1389
1,1390
1,1391
1,1392
1,1393
1,1394
1,1396
1,1398
1,1409
1,1408
1,1435
1,1436
1,1437
1,1439
1,1445
1,1447
1,1449
1,1450
1,1454
1,1456
1,1458
1,1459
1,1460
1,1461
1,1465
1,1467
1,1481
1,1482
1,1484
1,1487
1,1488
1,1497
1,1501
1,1508
1,1509
1,1513
1,1515
1,1516
1,1519
1,1522
1,1523
1,1521
1,1529
1,1532
1,1533
1,1538
1,1546
1,1568
1,1569
1,1577
1,1578
1,1579
1,1580
1,1581
1,1583
1,1585
1,1598
1,1599
1,1611
1,1617
1,1620
1,1621
1,1622
1,1623
1,1636
1,1638
1,1710
1,2036
1,2037
1,2039
1,2040
1,2042
1,2043
1,2045
1,2046
1,2048
1,2049
1,2051
1,2052
1,2054
1,2055
1,2057
1,2058
1,2060
1,2061
1,2063
1,2064
1,2066
1,2067
1,2069
1,2070
1,2072
1,2073
1,2075
1,2076
1,2078
1,2079
1,2081
1,2082
1,2084
1,2085
1,2087
1,2088
1,2090
1,2091
1,2105
1,2106
1,2115
1,2123
1,2124
1,2125
1,2126
1,2127
1,2128
1,2130
1,2131
1,2132
1,2136
1,2137
1,2138
1,2139
1,2144
1,2146
1,2153
1,2154
1,2160
1,2161
1,2237
1,2238
1,2239
1,2240
1,2241
1,2242
1,2243
1,2244
1,2245
1,2247
1,2249
1,2250
1,2251
1,2252
1,2253
1,2254
1,2255
1,2256
1,2257
1,2258
1,2260
1,2263
