TestNo,TestName
1,com.lastcalc.SequentialParserTest[ifTest]
2,com.lastcalc.SequentialParserTest[radixTest]
3,com.lastcalc.SequentialParserTest[ansTest]
4,com.lastcalc.SequentialParserTest[negativesTest]
5,com.lastcalc.SequentialParserTest[parseWithPrevAnswer]
6,com.lastcalc.SequentialParserTest[firstLineFunctionDefinition]
7,com.lastcalc.SequentialParserTest[stringFromMapTest]
8,com.lastcalc.parsers.bool.IfThenElseParserTest[ifThenElseTrueTest]
9,com.lastcalc.parsers.math.FactorialParserTest[tooBigOrSmallTest]
10,com.lastcalc.SequentialParserTest[addListsTest]
11,com.lastcalc.SequentialParserTest[powTest]
12,com.lastcalc.SequentialParserTest[mapMatchTest]
13,com.lastcalc.SequentialParserTest[precedenceTest]
14,com.lastcalc.SequentialParserTest[toLowerCaseTest]
15,com.lastcalc.parsers.UserDefinedParserParserTest[bindListTest]
16,com.lastcalc.SequentialParserTest[fibTest]
17,com.lastcalc.SequentialParserTest[negativeExpTest]
18,com.lastcalc.SequentialParserTest[backtrackTest]
19,com.lastcalc.SequentialParserTest[mathOpTest]
20,com.lastcalc.SequentialParserTest[incrementTest]
21,com.lastcalc.parsers.UserDefinedParserParserTest[bindMapTest]
22,com.lastcalc.parsers.bool.IfThenElseParserTest[ifThenTest]
23,com.lastcalc.parsers.PreParserTest[findObjectTest]
24,com.lastcalc.engines.CombinedParserPickerFactoryTest[test]
25,com.lastcalc.parsers.math.IsPrimeTest[isPrimeTest]
26,com.lastcalc.parsers.math.FactorialParserTest[successfulParseTest]
27,com.lastcalc.ParsersTest[testTokenize]
28,com.lastcalc.parsers.amounts.UnitParserTest[test]
29,com.lastcalc.parsers.math.PrimesUnderTest[primesUnderTest]
30,com.lastcalc.parsers.math.GCDLCMTest[gcdlcmTest]
31,com.lastcalc.SequentialParserTest[filterTest]
32,com.lastcalc.parsers.currency.CurrenciesTest[test]
33,com.lastcalc.servlets.WorksheetServletTest[testFunctionCreation]
34,com.lastcalc.SequentialParserTest[concatTest]
