CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
685,1,1,1,4,4,1,1,0,0,881,4
2240,2,1,3,9,9,4,4,0,0,878,13
2683,3,1,1,3,3,5,5,0,0,877,16
2956,4,1,2,16,16,7,5,2,0,875,32
3335,5,1,1,20,20,8,5,4,0,874,52
5145,6,1,2,32,32,10,5,7,0,872,84
6736,7,1,3,42,42,13,7,9,0,869,126
7850,8,1,2,31,31,15,7,12,0,867,157
8453,9,1,8,25,25,23,15,12,0,859,182
8544,10,1,2,6,6,25,17,12,0,857,188
8902,11,1,3,8,8,28,18,13,1,854,196
9701,12,1,16,38,38,44,37,13,1,838,234
9829,13,1,2,8,8,46,40,13,1,836,242
10077,14,1,1,14,14,47,40,14,1,835,256
10245,15,1,1,12,12,48,40,15,1,834,268
10561,16,1,3,15,15,51,40,19,1,831,283
10590,17,1,0,5,5,51,40,20,1,831,288
10632,18,1,1,5,5,52,41,21,1,830,293
10677,19,1,1,6,6,53,43,22,1,829,299
10706,20,1,0,5,5,53,43,23,1,829,304
10771,21,1,0,5,5,53,43,24,1,829,309
10824,22,1,0,5,5,53,44,25,1,829,314
10853,23,1,1,5,5,54,45,26,1,828,319
10894,24,1,1,6,6,55,46,27,1,827,325
10951,25,1,0,5,5,55,46,28,1,827,330
11140,26,1,1,5,5,56,47,29,2,826,335
11194,27,1,0,5,5,56,48,30,2,826,340
11265,28,1,0,5,5,56,48,31,2,826,345
11301,29,1,0,5,5,56,48,32,2,826,350
11337,30,1,0,5,5,56,49,33,2,826,355
11516,31,1,4,16,16,60,52,34,2,822,371
12003,32,1,8,33,33,68,53,43,2,814,404
12709,33,1,8,42,42,76,62,54,3,806,446
12818,34,1,0,14,14,76,62,55,3,806,460
12940,35,1,0,14,14,76,63,56,3,806,474
13046,36,1,0,14,14,76,64,57,3,806,488
13046,37,1,0,0,0,76,64,57,3,806,488
13046,38,1,0,0,0,76,64,57,3,806,488
13055,39,1,1,1,1,77,65,57,3,805,489
13056,40,1,0,0,0,77,65,57,3,805,489
13370,41,1,5,16,16,82,70,57,3,800,505
13520,42,1,2,7,7,84,72,57,3,798,512
14018,43,1,5,18,18,89,78,57,3,793,530
14050,44,1,1,1,1,90,79,57,3,792,531
14233,45,1,5,7,7,95,86,57,3,787,538
14340,46,1,2,6,6,97,87,58,3,785,544
14870,47,1,0,18,18,97,87,61,3,785,562
15971,48,1,7,18,18,104,93,61,4,778,580
16099,49,1,1,6,6,105,94,61,4,777,586
16221,50,1,1,6,6,106,95,61,4,776,592
16446,51,1,8,11,11,114,99,65,4,768,603
