TestNo,TestName
1,smartrics.rest.fitnesse.fixture.FitFormatterTest[fromRawIsSimplyABypassAsAllHandlingIsDoneByTheParse]
2,smartrics.rest.fitnesse.fixture.FitFormatterTest[greyCellAreSpansWithAnAssignedClass]
3,smartrics.rest.fitnesse.fixture.FitFormatterTest[delegatesCallToCheck]
4,smartrics.rest.fitnesse.fixture.FitFormatterTest[fullyRendersRight_noActualIfDisplayActualIsFalse]
5,smartrics.rest.fitnesse.fixture.PartsFactoryTest[cannotBuildACellFormatterForANullRunner]
6,smartrics.rest.fitnesse.fixture.PartsFactoryTest[buildsRestClientWithoutSquareBracketsInUri]
7,smartrics.rest.fitnesse.fixture.PartsFactoryTest[buildsRestClientWithDefaultURIFactory]
8,smartrics.rest.fitnesse.fixture.PartsFactoryTest[buildsRestClientWithNewURIFactory]
9,smartrics.rest.fitnesse.fixture.PartsFactoryTest[buildsRestClientWithStandardUri]
10,smartrics.rest.fitnesse.fixture.RestFixtureFitTest[mustNotifyCallerThatBaseUrlAsFixtureArgIsMandatory]
11,smartrics.rest.fitnesse.fixture.RestFixtureSlimFitTest[mustSetConfigNameToSpecifiedValueIfOptionalSecondParameterIsSpecified_SLIM]
12,smartrics.rest.fitnesse.fixture.SlimFormatterTest[shouldDisplayFailOnCheckIfExpectedAndActualMatch_whenNotDisplayingActual]
13,smartrics.rest.fitnesse.fixture.SlimFormatterTest[shouldRenderLinksAsGreyed]
14,smartrics.rest.fitnesse.fixture.SlimFormatterTest[shouldDisplayPassOnCheckIfExpectedAndActualMatch]
15,smartrics.rest.fitnesse.fixture.SlimFormatterTest[shouldDisplayNothingOnCheckIfNoExpectedIsSpecifiedAndActualIsNullOrEmpty]
16,smartrics.rest.fitnesse.fixture.SlimFormatterTest[shouldDisplayPassOnCheckIfExpectedAndActualMatch_whenDisplayingActual]
17,smartrics.rest.fitnesse.fixture.SlimFormatterTest[shouldDisplayFailOnCheckIfExpectedAndActualMatch_whenDisplayingActual]
18,smartrics.rest.fitnesse.fixture.SlimFormatterTest[shouldRenderLinksAsGreyedInAbsoluteFormat]
19,smartrics.rest.fitnesse.fixture.support.BodyTypeAdapterFactoryTest[xmlContentTypeReturnsXPathBodyTypeAdapter]
20,smartrics.rest.fitnesse.fixture.support.BodyTypeAdapterFactoryTest[nullContentTypeThrowsException]
21,smartrics.rest.fitnesse.fixture.support.BodyTypeAdapterFactoryTest[unknownContentTypeReturnsXPathBodyTypeAdapter]
22,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustClearNamedConfig]
23,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustContainAtLeastNameInStringRepresentation]
24,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustAddToDefaultNamedConfigWhenConfigNameIsNotAvailable]
25,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustGetDataParsedAsBoolean]
26,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustClearDefaultConfig]
27,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustReturnNullForRequestsOnExistentNamedConfigsWithNonExistentKey]
28,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustGetDataParsedAsLong]
29,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustReturnDefaultForRequestsOnExistentNamedConfigsWithNonExistentKey]
30,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustReturnNullForRequestsOnDefaultNamedConfigsWithNonExistentKey]
31,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustGetDataParsedAsInteger]
32,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustAddConfigDataToANamedConfig]
33,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustInitializeNameOfConfigFromCtorInput]
34,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustClearDefaultNamedConfigIfConfigNameIsNull]
35,smartrics.rest.fitnesse.fixture.support.ConfigTest[mustAddConfigDataToDefaultConfigIfConfigNameIsNull]
36,smartrics.rest.fitnesse.fixture.support.ContentTypeTest[shouldReturnCorrectTypeAndCharsetGivenApplicationTextWithCharset]
37,smartrics.rest.fitnesse.fixture.support.ContentTypeTest[shouldUseSpecifieDefaultCharsetProperty]
38,smartrics.rest.fitnesse.fixture.support.ContentTypeTest[shouldUseDefaultSystemCharsetIfCharsetNotParseableAndDefaultNotSpecifiedViaProperty]
39,smartrics.rest.fitnesse.fixture.support.ContentTypeTest[shouldReturnCorrectTypeGivenApplicationXml]
40,smartrics.rest.fitnesse.fixture.support.ContentTypeTest[shouldReturnDefaultGivenEmptyHeaders]
41,smartrics.rest.fitnesse.fixture.support.ContentTypeTest[shouldReturnCorrectTypeGivenApplicationJson]
42,smartrics.rest.fitnesse.fixture.support.ContentTypeTest[shouldReturnCorrectTypeGivenApplicationText]
43,smartrics.rest.fitnesse.fixture.support.FitCellTest[shouldBeAbleToOverrideTheContent]
44,smartrics.rest.fitnesse.fixture.support.FitCellTest[testConstruction]
45,smartrics.rest.fitnesse.fixture.support.FitCellTest[wrappedObjectIsTheStringUsedForConstruction]
46,smartrics.rest.fitnesse.fixture.support.HeadersTypeAdapterTest[shouldMatchHeadersWithRegex]
47,smartrics.rest.fitnesse.fixture.support.HeadersTypeAdapterTest[shouldNotifyClientOfBadHeaderSyntax]
48,smartrics.rest.fitnesse.fixture.support.HeadersTypeAdapterTest[actualHeadersShouldntBeASupersetOfExpectedHeaders]
49,smartrics.rest.fitnesse.fixture.support.HeadersTypeAdapterTest[shouldTransformACollectionOfHeadersIntoAHtmlString]
50,smartrics.rest.fitnesse.fixture.support.HeadersTypeAdapterTest[shouldParseHeadersInHtmlFormatWithMultipleColonsAsProperListOfHeaders]
51,smartrics.rest.fitnesse.fixture.support.HeadersTypeAdapterTest[shouldIdentifyContentObjectsWithNoBodyAsBeingEqual]
52,smartrics.rest.fitnesse.fixture.support.HttpClientBuilderTest[mustSetDefaultsForNotSuppliedConfigValues]
53,smartrics.rest.fitnesse.fixture.support.HttpClientBuilderTest[mustSetDefaultProxyPortIfNotSuppliedWithProxyHost]
54,smartrics.rest.fitnesse.fixture.support.JSONBodyTypeAdapterTest[shoudlParseStringWithXPathInHtmlIntoAProperList]
55,smartrics.rest.fitnesse.fixture.support.JSONBodyTypeAdapterTest[shouldReturnItsStringRepresentationAsPrintableHTMLEvenWhenEmpty]
56,smartrics.rest.fitnesse.fixture.support.JSONBodyTypeAdapterTest[shouldReturnItsStringRepresentationAsPrintableHTML]
57,smartrics.rest.fitnesse.fixture.support.JSONBodyTypeAdapterTest[shouldIdentifyContentObjectsWithNoBodyAsBeingEqual]
58,smartrics.rest.fitnesse.fixture.support.JSONBodyTypeAdapterTest[shoudlParseNoJsonIntoAnEmptyList]
59,smartrics.rest.fitnesse.fixture.support.JavascriptWrapperTest[shouldHandleNullReturnedByStringJsEvaluation]
60,smartrics.rest.fitnesse.fixture.support.LetBodyHandlerTest[shouldHandleExpressionsReturningNull]
61,smartrics.rest.fitnesse.fixture.support.RestDataTypeAdapterTest[mustAllowStoringOfTheInstanceOfTheCellContent]
62,smartrics.rest.fitnesse.fixture.support.RestDataTypeAdapterTest[mustAllowStoringOfErrors]
63,smartrics.rest.fitnesse.fixture.support.RestDataTypeAdapterTest[mustDisallowAddToTheErrorsList]
64,smartrics.rest.fitnesse.fixture.support.RestDataTypeAdapterTest[mustDisallowOpsOnTheErrorsList]
65,smartrics.rest.fitnesse.fixture.support.SlimCellTest[textAndBodyAreEquivalent]
66,smartrics.rest.fitnesse.fixture.support.SlimCellTest[shouldBeAbleToOverrideTheContent]
67,smartrics.rest.fitnesse.fixture.support.SlimCellTest[testConstruction]
68,smartrics.rest.fitnesse.fixture.support.SlimCellTest[testAddBodyAppendsContentToExisting]
69,smartrics.rest.fitnesse.fixture.support.SlimCellTest[wrappedObjectIsTheStringUsedForConstruction]
70,smartrics.rest.fitnesse.fixture.support.StatusCodeTypeAdapterTest[shouldNotEqualiseIfExpectedOrActualAreNull]
71,smartrics.rest.fitnesse.fixture.support.StatusCodeTypeAdapterTest[shouldParseStatusCodesAsTrimmedStrings]
72,smartrics.rest.fitnesse.fixture.support.StatusCodeTypeAdapterTest[shouldRenderCellContentAsStrings]
73,smartrics.rest.fitnesse.fixture.support.StringTypeAdapterTest[shouldConvertEmptyString]
74,smartrics.rest.fitnesse.fixture.support.StringTypeAdapterTest[shouldParseNullString]
75,smartrics.rest.fitnesse.fixture.support.StringTypeAdapterTest[shouldEqualsTwoNullStrings]
76,smartrics.rest.fitnesse.fixture.support.StringTypeAdapterTest[shouldConvertAnyString]
77,smartrics.rest.fitnesse.fixture.support.StringTypeAdapterTest[shouldParseEmptyString]
78,smartrics.rest.fitnesse.fixture.support.StringTypeAdapterTest[shouldConvertNullString]
79,smartrics.rest.fitnesse.fixture.support.StringTypeAdapterTest[shouldParseAnyString]
80,smartrics.rest.fitnesse.fixture.support.TextBodyTypeAdapterTest[shouldConvertTextToXmlUsingTextTag]
81,smartrics.rest.fitnesse.fixture.support.TextBodyTypeAdapterTest[shouldNotEqualiseIfExpectedOrActualAreNull]
82,smartrics.rest.fitnesse.fixture.support.TextBodyTypeAdapterTest[whenExpectedIsNotMatchedAnErrorShouldBeAdded]
83,smartrics.rest.fitnesse.fixture.support.TextBodyTypeAdapterTest[shouldParseTextAsTrimmedStrings]
84,smartrics.rest.fitnesse.fixture.support.TextBodyTypeAdapterTest[shouldNotEqualiseIfOneHasCRLF]
85,smartrics.rest.fitnesse.fixture.support.TextBodyTypeAdapterTest[shouldRenderCellContentAsStrings]
86,smartrics.rest.fitnesse.fixture.support.TextBodyTypeAdapterTest[shouldEqualiseIfBothHaveCRLF]
87,smartrics.rest.fitnesse.fixture.support.ToolsTest[basicChecksOnMakeCollapsableItemWhenPlain]
88,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldConvertAMapIntoAStringRepresentation]
89,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldConvertAMultilineStringIntoAMapIgnoresEmptyLines]
90,smartrics.rest.fitnesse.fixture.support.ToolsTest[mustMatchWhenRegexIsValidAndThereIsAMatch]
91,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldNotifyCallerWhenXmlCannotBeParsed]
92,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldWrapTextInHtmlAnchor]
93,smartrics.rest.fitnesse.fixture.support.ToolsTest[mustNotMatchWhenRegexIsInvalidAndNotifyError]
94,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldReadAnInputStreamToAString]
95,smartrics.rest.fitnesse.fixture.support.ToolsTest[mustNotMatchWhenRegexIsValidAndThereIsNotAMatch]
96,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldConvertAStringIntoAMap]
97,smartrics.rest.fitnesse.fixture.support.ToolsTest[basicChecksOnMakeCollapsableItemWhenHtml]
98,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldConvertAMultilineStringIntoAMap]
99,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldConvertAMultilineStringIntoAMapWhenEscapeSequenceIsNested]
100,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldThrowWhenReadingInputStreamToAStringWhenTryingToEncodeWithUnknownEncoding]
101,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldConvertAStringIntoAMapAndCleanHtmlTagsFromValues]
102,smartrics.rest.fitnesse.fixture.support.ToolsTest[codeCoversionUsesCodeHtmlTag]
103,smartrics.rest.fitnesse.fixture.support.ToolsTest[shouldWrapAStringIntoAnInputStream]
104,smartrics.rest.fitnesse.fixture.support.ToolsTest[dualityOfToAndFromHtml]
105,smartrics.rest.fitnesse.fixture.support.UrlTest[mustRejectNullPaths]
106,smartrics.rest.fitnesse.fixture.support.UrlTest[mustAcceptWellFormedUrl]
107,smartrics.rest.fitnesse.fixture.support.UrlTest[mustExtractPartsIfUrlIsCompleteWithNoPathTerminatingWithoutSlash]
108,smartrics.rest.fitnesse.fixture.support.UrlTest[tailingSlashOnAUrlIsOptional]
109,smartrics.rest.fitnesse.fixture.support.UrlTest[mustExtractPartsIfUrlIsCompleteWithNoPathTerminatingWithSlash]
110,smartrics.rest.fitnesse.fixture.support.UrlTest[mustExtractPartsIfUrlIsComplete]
111,smartrics.rest.fitnesse.fixture.support.UrlTest[mustRejectUrlsWithNoHost]
112,smartrics.rest.fitnesse.fixture.support.UrlTest[mustRejectEmptyStringUriRepresentations]
113,smartrics.rest.fitnesse.fixture.support.UrlTest[mustBuildUrlTailingPathToBaseUrl]
114,smartrics.rest.fitnesse.fixture.support.VariablesTest[variablesContainingNullAreSubWithEmptyValueSuppliedViaConfig]
115,smartrics.rest.fitnesse.fixture.support.VariablesTest[substitutingSymbolsContainingRegexSpecialCharsShouldWorkAsExpected_issue118]
116,smartrics.rest.fitnesse.fixture.support.VariablesTest[variablesContainingNullAreSubWithValueSuppliedViaConfig]
117,smartrics.rest.fitnesse.fixture.support.VariablesTest[variablesAreSubstitutedWithCurrentValueWhenLabelsAreIdentifiedWithinPercentSymbol]
118,smartrics.rest.fitnesse.fixture.support.VariablesTest[nonExistentVariablesAreNotReplaced]
119,smartrics.rest.fitnesse.fixture.support.VariablesTest[variablesAreSubstitutedMultipleTimes]
120,smartrics.rest.fitnesse.fixture.support.VariablesTest[variablesContainingNullAreSubWithStringNullByDefault]
121,smartrics.rest.fitnesse.fixture.support.XPathBodyTypeAdapterTest[shoudlParseStringWithXPathInHtmlIntoAProperList]
122,smartrics.rest.fitnesse.fixture.support.XPathBodyTypeAdapterTest[shouldReturnItsStringRepresentationAsPrintableHTMLEvenWhenEmpty]
123,smartrics.rest.fitnesse.fixture.support.XPathBodyTypeAdapterTest[shouldReturnItsStringRepresentationAsPrintableHTML]
124,smartrics.rest.fitnesse.fixture.support.XPathBodyTypeAdapterTest[shoudlParseNoXPathsIntoAnEmptyList]
125,smartrics.rest.fitnesse.fixture.support.XPathBodyTypeAdapterTest[shouldIdentifyContentObjectsWithNoBodyAsBeingEqual]
126,smartrics.rest.fitnesse.fixture.FitFormatterTest[fullyRendersWrong_noActualIfDisplayActualIsFalse_errorsDisplayedIfAny]
127,smartrics.rest.fitnesse.fixture.FitFormatterTest[fullyRendersRight_withActualIfDisplayActualIsTrue]
128,smartrics.rest.fitnesse.fixture.FitFormatterTest[delegatesCallToException]
129,smartrics.rest.fitnesse.fixture.FitFormatterTest[fullyRendersWrong_withActualIfDisplayActualIsTrue]
130,smartrics.rest.fitnesse.fixture.PartsFactoryTest[cantBuildACellFormatterForNonFitOrSlimRunner]
131,smartrics.rest.fitnesse.fixture.PartsFactoryTest[buildsASlimFormatterForSLIMRunner]
132,smartrics.rest.fitnesse.fixture.PartsFactoryTest[buildsASlimFormatterForFITRunner]
133,smartrics.rest.fitnesse.fixture.PartsFactoryTest[buildsRestRequest]
134,smartrics.rest.fitnesse.fixture.RestFixtureConfigTest[mustStoreDataInNamedConfigWhoseNameIsPassedAsFirstArgToTheFixture]
135,smartrics.rest.fitnesse.fixture.RestFixtureFitTest[mustSetConfigNameToDefaultWhenNotSpecifiedAsSecondOptionalParameter_FIT]
136,smartrics.rest.fitnesse.fixture.RestFixtureFitTest[mustSetBodyOnRequestWhenPosting]
137,smartrics.rest.fitnesse.fixture.RestFixtureTest[mustSetConfigNameToDefaultWhenNotSpecifiedAsSecondOptionalParameter_SLIM]
138,smartrics.rest.fitnesse.fixture.RestFixtureTest[mustSetConfigNameToSpecifiedValueIfOptionalSecondParameterIsSpecified_SLIM]
139,smartrics.rest.fitnesse.fixture.RestFixtureTest[constructingWithOneArgShoudlStripAnyTagAndSetTheSUTUri]
140,smartrics.rest.fitnesse.fixture.RestFixtureTest[mustReportAsExceptionWhenAttemptingToSetMissingMultipartFileName]
141,smartrics.rest.fitnesse.fixture.RestFixtureTest[constructingWithOneArgShoudlBeTheSUTUri]
142,smartrics.rest.fitnesse.fixture.RestFixtureTest[mustAllowSetOfMultipartFileParameterNameForFileUpload]
143,smartrics.rest.fitnesse.fixture.RestFixtureTest[mustReportAsRTEWhenSettingAMissingHeader]
144,smartrics.rest.fitnesse.fixture.RestFixtureTest[mustReportAsExceptionWhenSettingMissingFileName]
