CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
67,1,1,3,10,10,3,3,0,0,317,10
136,2,1,9,10,10,12,10,2,0,308,20
202,3,1,2,10,10,14,12,2,0,306,30
264,4,1,3,10,10,17,15,2,0,303,40
313,5,1,2,10,10,19,17,2,0,301,50
1217,6,1,47,83,83,66,41,25,0,254,133
1217,7,1,0,0,0,66,41,25,0,254,133
1839,8,1,39,79,79,105,56,49,0,215,212
2397,9,1,7,79,79,112,72,79,0,208,291
3005,10,1,10,80,80,122,96,111,0,198,371
3511,11,1,0,80,80,122,130,132,0,198,451
4306,12,1,15,114,114,137,161,167,0,183,565
4779,13,1,0,79,79,137,176,191,0,183,644
4780,14,2,0,0,0,137,176,191,0,183,644
4852,15,2,6,19,19,143,191,191,0,177,663
5685,16,2,19,115,115,162,234,225,0,158,778
6196,17,2,4,81,81,166,267,247,0,154,859
7119,18,2,4,103,103,170,267,271,0,150,962
7900,19,2,32,132,132,202,311,309,0,118,1094
8342,20,2,0,79,79,202,334,340,0,118,1173
8777,21,2,0,79,79,202,349,364,0,118,1252
10974,22,2,31,217,217,233,429,416,0,87,1469
11655,23,2,9,122,122,242,465,464,0,78,1591
11706,24,3,4,14,14,246,479,464,0,74,1605
11769,25,3,5,23,23,251,492,464,0,69,1628
11801,26,3,0,10,10,251,495,464,0,69,1638
11866,27,3,2,26,26,253,508,466,0,67,1664
11902,28,5,2,13,13,255,515,466,0,65,1677
14040,29,5,3,219,219,258,590,523,0,62,1896
15120,30,7,1,132,132,259,626,552,0,61,2028
15777,31,9,0,116,116,259,656,582,0,61,2144
