TestNo,TestName
1,org.ahocorasick.interval.IntervalTest[intervaloverlaps]
2,org.ahocorasick.interval.IntervalTest[size]
3,org.ahocorasick.interval.IntervalTest[intervalDoesNotOverlap]
4,org.ahocorasick.interval.IntervalTest[pointOverlaps]
5,org.ahocorasick.interval.IntervalTest[pointDoesNotOverlap]
6,org.ahocorasick.interval.IntervalTreeTest[findOverlaps]
7,org.ahocorasick.trie.EmitTest[notEquals]
8,org.ahocorasick.trie.TrieTest[keywordAndTextAreTheSame]
9,org.ahocorasick.trie.TrieTest[misleadingTest]
10,org.ahocorasick.trie.TrieTest[longAndShortOverlappingMatch]
11,org.ahocorasick.trie.TrieTest[ushersTest]
12,org.ahocorasick.trie.TrieTest[tokenizeTokensInSequence]
13,org.ahocorasick.trie.TrieTest[textIsLongerThanKeyword]
14,org.ahocorasick.interval.IntervalTest[construct]
15,org.ahocorasick.interval.IntervalableComparatorBySizeTest[sortOnSize]
16,org.ahocorasick.trie.TrieTest[tokenizeFullSentence]
17,org.ahocorasick.trie.TrieTest[caseInsensitive]
18,org.ahocorasick.trie.TrieTest[zeroLengthTestBug7InGithubReportedByXCurry]
19,org.ahocorasick.trie.TrieTest[partialMatch]
20,org.ahocorasick.trie.TrieTest[recipes]
21,org.ahocorasick.trie.TrieTest[variousKeywordsOneMatch]
22,org.ahocorasick.trie.TrieTest[startOfChurchillSpeech]
23,org.ahocorasick.trie.TrieTest[bug5InGithubReportedByXCurry]
24,org.ahocorasick.interval.IntervalableComparatorByPositionTest[sortOnPosition]
25,org.ahocorasick.interval.IntervalableComparatorBySizeTest[sortOnSizeThenPosition]
26,org.ahocorasick.trie.EmitTest[equals]
27,org.ahocorasick.trie.StateTest[constructSequenceOfCharacters]
28,org.ahocorasick.interval.IntervalTest[comparable]
29,org.ahocorasick.trie.TrieTest[nonOverlapping]
30,org.ahocorasick.interval.IntervalTreeTest[removeOverlaps]
31,org.ahocorasick.trie.TrieTest[unicodeIssueBug8ReportedByDwyerk]
