CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
6232,1,1,19,146,146,19,4,9,6,9284,146
20349,2,1,54,123,123,73,5,12,59,9230,269
52542,3,1,75,137,137,148,5,12,196,9155,406
53224,4,1,2,13,13,151,6,18,198,9152,419
53906,5,1,9,35,35,160,13,19,201,9143,454
54657,6,1,14,49,49,174,25,24,205,9129,503
55571,7,1,1,44,44,175,35,27,209,9128,547
61568,8,1,17,111,111,192,37,39,213,9111,658
68579,9,1,5,106,106,197,40,49,216,9106,764
73504,10,1,4,102,102,201,44,59,218,9102,866
85498,11,1,53,216,216,254,92,70,223,9049,1082
95306,12,1,2,169,169,256,94,82,227,9047,1251
95792,13,1,23,58,58,279,114,85,227,9024,1309
96344,14,1,23,63,63,302,131,92,227,9001,1372
97821,15,1,34,140,140,336,139,119,229,8967,1512
98726,16,1,21,111,111,357,142,141,229,8946,1623
100028,17,1,90,132,132,447,224,151,230,8856,1755
102799,18,1,99,253,253,546,315,181,235,8757,2008
103006,19,1,3,26,26,549,319,183,235,8754,2034
103506,20,1,20,62,62,569,343,186,235,8734,2096
104714,21,1,1,122,122,570,347,209,236,8733,2218
107439,22,1,65,260,260,635,391,261,241,8668,2478
108087,23,1,18,80,80,653,395,288,241,8650,2558
110079,24,1,20,147,147,673,411,288,248,8630,2705
110777,25,1,3,59,59,676,416,300,249,8627,2764
111741,26,1,36,117,117,712,437,323,249,8591,2881
111871,27,1,0,16,16,712,438,323,249,8591,2897
112278,28,1,8,50,50,720,450,325,249,8583,2947
112578,29,1,0,11,11,720,450,325,250,8583,2958
113093,30,1,16,64,64,736,470,327,250,8567,3022
113594,31,1,20,62,62,756,494,329,250,8547,3084
113998,32,1,8,50,50,764,506,332,250,8539,3134
115232,33,1,25,123,123,789,567,342,251,8514,3257
117532,34,1,30,252,252,819,632,387,252,8484,3509
118117,35,1,0,46,46,819,647,390,253,8484,3555
118696,36,1,22,72,72,841,669,396,253,8462,3627
119669,37,1,3,96,96,844,683,414,254,8459,3723
120567,38,1,3,111,111,847,689,439,254,8456,3834
121685,39,1,19,112,112,866,715,455,255,8437,3946
143956,40,1,21,357,357,887,734,480,262,8416,4303
158399,41,1,5,216,216,892,746,502,268,8411,4519
167014,42,1,4,162,162,896,752,516,272,8407,4681
183872,43,1,53,214,214,949,762,572,278,8354,4895
183977,44,1,26,41,41,975,781,579,278,8328,4936
184082,45,1,0,41,41,975,799,586,278,8328,4977
184175,46,1,1,36,36,976,799,593,278,8327,5013
184281,47,1,1,41,41,977,817,600,278,8326,5054
184402,48,1,7,47,47,984,829,608,278,8319,5101
184404,49,1,0,1,1,984,829,608,278,8319,5102
189033,50,1,7,97,97,991,832,618,280,8312,5199
223820,51,1,41,298,298,1032,852,651,289,8271,5497
247524,52,1,7,229,229,1039,858,667,295,8264,5726
271351,53,1,2,233,233,1041,859,680,301,8262,5959
303185,54,1,3,291,291,1044,876,714,309,8259,6250
316306,55,1,8,128,128,1052,883,734,313,8251,6378
322556,56,1,1,97,97,1053,885,744,318,8250,6475
344905,57,1,20,196,196,1073,898,762,325,8230,6671
353719,58,1,2,100,100,1075,899,772,327,8228,6771
375192,59,1,11,183,183,1086,925,807,333,8217,6954
382328,60,1,1572,1827,1827,2658,2381,917,339,6645,8781
387478,61,1,121,162,162,2779,2460,975,344,6524,8943
404316,62,1,136,213,213,2915,2560,1007,397,6388,9156
419261,63,1,49,76,76,2964,2560,1011,462,6339,9232
436926,64,1,9,80,80,2973,2560,1011,542,6330,9312
436926,65,1,0,0,0,2973,2560,1011,543,6330,9312
732066,66,1,298,663,663,3271,2567,1277,674,6032,9975
734224,67,1,98,154,154,3369,2614,1324,678,5934,10129
736079,68,1,1,91,91,3370,2614,1357,681,5933,10220
738411,69,1,34,189,189,3404,2656,1414,685,5899,10409
738953,70,1,7,55,55,3411,2664,1419,685,5892,10464
741527,71,1,54,141,141,3465,2671,1475,692,5838,10605
742843,72,1,54,110,110,3519,2719,1484,693,5784,10715
743350,73,1,5,54,54,3524,2723,1491,693,5779,10769
