TestNo,TestName
1,org.apache.mina.core.DefaultIoFilterChainBuilderTest[testGet]
2,org.apache.mina.core.DefaultIoFilterChainBuilderTest[testClear]
3,org.apache.mina.core.DefaultIoFilterChainBuilderTest[testToString]
4,org.apache.mina.core.DefaultIoFilterChainBuilderTest[testRemove]
5,org.apache.mina.core.FutureTest[testLateAddListener]
6,org.apache.mina.core.FutureTest[testRemoveListener1]
7,org.apache.mina.core.FutureTest[testRemoveListener2]
8,org.apache.mina.core.IoFilterChainTest[testGet]
9,org.apache.mina.core.IoFilterChainTest[testClear]
10,org.apache.mina.core.IoFilterChainTest[testAddRemove]
11,org.apache.mina.core.IoFilterChainTest[testDefault]
12,org.apache.mina.core.IoFilterChainTest[testRemove]
13,org.apache.mina.core.buffer.IoBufferTest[testPutUnsignedInt]
14,org.apache.mina.core.buffer.IoBufferTest[testGetEnumSet]
15,org.apache.mina.core.buffer.IoBufferTest[testGetPrefixedString]
16,org.apache.mina.core.buffer.IoBufferTest[testSlice]
17,org.apache.mina.core.buffer.IoBufferTest[testGetMediumInt]
18,org.apache.mina.core.buffer.IoBufferTest[testAutoShrink]
19,org.apache.mina.core.buffer.IoBufferTest[autoExpand]
20,org.apache.mina.core.buffer.IoBufferTest[testPutUnsigned]
21,org.apache.mina.core.buffer.IoBufferTest[testReadOnlyBuffer]
22,org.apache.mina.core.buffer.IoBufferTest[testPutPrefixedStringWithPrefixLength]
23,org.apache.mina.core.buffer.IoBufferTest[testAutoExpandMark]
24,org.apache.mina.core.buffer.IoBufferTest[testGetStringWithFailure]
25,org.apache.mina.core.buffer.IoBufferTest[testGetPutEnum]
26,org.apache.mina.core.buffer.IoBufferTest[testPutString]
27,org.apache.mina.core.buffer.IoBufferTest[testWrapSubArray]
28,org.apache.mina.core.buffer.IoBufferTest[testPutUnsignedShortIndex]
29,org.apache.mina.core.buffer.IoBufferTest[testWrapNioBuffer]
30,org.apache.mina.core.buffer.IoBufferTest[testPutUnsignedIntIndex]
31,org.apache.mina.core.buffer.IoBufferTest[testPutUnsignedIndex]
32,org.apache.mina.core.buffer.IoBufferTest[testPutUnsignedShort]
33,org.apache.mina.core.buffer.IoBufferTest[testPutMediumInt]
34,org.apache.mina.core.buffer.IoBufferTest[testPutPrefixedStringWithPadding]
35,org.apache.mina.core.buffer.IoBufferTest[testGetUnsigned]
36,org.apache.mina.core.buffer.IoBufferTest[testIndexOf]
37,org.apache.mina.core.buffer.IoBufferTest[testSweepWithZeros]
38,org.apache.mina.core.buffer.IoBufferTest[testDuplicate]
39,org.apache.mina.core.buffer.IoBufferTest[testSweepNonZeros]
40,org.apache.mina.filter.codec.CumulativeProtocolDecoderTest[testBufferDerivation]
41,org.apache.mina.filter.codec.CumulativeProtocolDecoderTest[testCumulation]
42,org.apache.mina.filter.codec.CumulativeProtocolDecoderTest[testRepeatitiveDecode]
43,org.apache.mina.filter.codec.DemuxingProtocolDecoderBugTest[testNonFragmentedTransport]
44,org.apache.mina.filter.firewall.SubnetIPv4Test[test16]
45,org.apache.mina.filter.firewall.SubnetIPv4Test[test24]
46,org.apache.mina.filter.firewall.SubnetIPv4Test[testToStringLiteral]
47,org.apache.mina.filter.firewall.SubnetIPv4Test[testSingleIp]
48,org.apache.mina.filter.firewall.SubnetIPv4Test[testEquals]
49,org.apache.mina.filter.firewall.SubnetIPv6Test[testIPv6]
50,org.apache.mina.filter.stream.FileRegionWriteFilterTest[testSetWriteBufferSize]
51,org.apache.mina.filter.stream.FileRegionWriteFilterTest[testWriteSeveralBuffersStream]
52,org.apache.mina.filter.stream.FileRegionWriteFilterTest[testWriteEmptyFile]
53,org.apache.mina.filter.stream.FileRegionWriteFilterTest[testWriteWhileWriteInProgress]
54,org.apache.mina.filter.stream.FileRegionWriteFilterTest[testWriteSingleBufferFile]
55,org.apache.mina.filter.stream.FileRegionWriteFilterTest[testWritesWriteRequestQueueWhenFinished]
56,org.apache.mina.filter.stream.StreamWriteFilterTest[testSetWriteBufferSize]
57,org.apache.mina.filter.stream.StreamWriteFilterTest[testWriteEmptyFile]
58,org.apache.mina.filter.stream.StreamWriteFilterTest[testWriteWhileWriteInProgress]
59,org.apache.mina.filter.stream.StreamWriteFilterTest[testWriteSingleBufferFile]
60,org.apache.mina.proxy.MD4Test[testWikipediaVectors]
61,org.apache.mina.proxy.NTLMTest[testFlags]
62,org.apache.mina.proxy.NTLMTest[testType1Message]
