TestNo,MutantNo
1,1
1,2
1,3
1,4
1,5
1,6
1,12
1,15
1,16
1,17
2,1
2,2
2,3
2,4
2,5
2,6
2,12
2,15
2,16
2,17
3,1090
3,1091
3,1092
3,1093
3,1094
3,1095
3,1096
3,1097
3,1098
3,1099
3,1100
3,1101
3,1102
3,1103
3,1108
3,1109
3,1110
3,1111
3,1112
3,1113
3,1114
3,1115
3,1116
3,1117
3,1118
3,1119
3,1120
3,1121
3,1122
3,1123
3,1124
3,1125
4,1108
4,1109
4,1110
4,1111
4,1112
5,1090
5,1091
5,1092
5,1093
5,1094
5,1095
5,1096
5,1097
5,1098
5,1099
5,1100
5,1101
5,1102
5,1103
5,1108
5,1109
5,1110
5,1111
5,1112
5,1113
5,1114
5,1115
5,1116
5,1117
5,1118
5,1119
5,1120
5,1121
5,1122
5,1123
5,1124
5,1125
6,1108
6,1109
6,1110
6,1111
6,1112
7,3274
7,3275
7,3278
7,3279
7,3280
7,3281
7,3282
7,3288
7,3289
7,3290
7,3291
7,3292
7,3293
7,3294
7,3295
7,3296
7,3297
7,3298
7,3299
7,3300
7,3301
7,3302
7,3303
7,3304
7,3305
7,3306
7,3307
8,3192
8,3193
8,3194
8,3195
8,3196
8,3197
8,3198
8,3199
8,3200
8,3201
8,3202
8,3203
8,3204
8,3205
8,3206
8,3207
8,3208
8,3209
8,3210
8,3211
8,3212
8,3213
8,3214
8,3215
8,3216
8,3217
9,1108
9,1109
9,1110
9,1111
9,1112
9,1113
9,1114
9,1115
9,1116
9,1117
9,1118
9,1119
9,1120
9,1121
9,1122
9,1123
9,1124
9,1125
10,351
10,352
10,353
10,354
10,355
10,356
10,358
10,359
10,360
10,361
10,362
10,363
10,364
10,3274
10,3275
10,3278
10,3279
10,3280
10,3281
10,3282
10,3288
10,3289
10,3290
10,3291
10,3292
10,3293
10,3294
10,3295
10,3296
10,3297
10,3298
10,3299
10,3300
10,3301
10,3302
10,3303
10,3304
10,3305
10,3306
10,3307
11,4137
11,4139
11,4140
11,4141
11,4142
11,4143
11,4144
11,4145
11,4146
11,4147
11,4148
11,4149
11,4150
11,4151
11,4152
11,4153
11,4154
11,4155
11,4156
11,4157
11,4158
11,4159
11,4160
11,4161
11,4162
11,4163
11,4164
11,4165
11,4166
11,4167
11,4168
11,4169
11,4170
11,4171
11,4172
11,4173
11,4174
11,4175
11,4176
11,4184
11,4185
11,4186
11,4187
11,4188
12,4189
12,4192
12,4193
12,4194
12,4195
12,4196
12,4197
12,4198
12,4199
12,4200
12,4201
12,4202
12,4203
12,4204
12,4205
12,4206
12,4207
12,4208
12,4209
12,4210
12,4211
12,4212
12,4213
12,4214
12,4215
12,4216
12,4217
12,4218
12,4219
12,4220
12,4221
12,4222
12,4223
12,4224
12,4225
12,4226
12,4227
12,4228
12,4229
12,4230
12,4231
12,4232
12,4233
12,4234
12,4235
12,4236
12,4237
12,4238
12,4239
12,4240
12,4241
12,4242
12,4243
12,4244
12,4245
12,4246
12,4247
12,4248
12,4249
12,4250
12,4251
12,4252
12,4253
12,4254
12,4255
12,4256
12,4257
12,4258
12,4259
12,4260
12,4261
12,4262
12,4263
12,4264
12,4265
12,4266
12,4267
12,4268
12,4269
12,4277
12,4278
12,4279
12,4280
12,4281
12,4282
12,4283
12,4284
12,4285
12,4286
12,4287
12,4288
12,4289
12,4290
12,4291
12,4292
12,4293
12,4294
12,4295
12,4296
12,4297
13,422
13,423
13,424
13,425
13,426
13,427
13,428
13,429
13,430
14,4190
14,4192
14,4193
14,4194
14,4195
14,4196
14,4197
14,4198
14,4199
14,4200
14,4201
14,4202
14,4203
14,4204
14,4205
14,4206
14,4207
14,4208
14,4209
14,4210
14,4211
14,4212
14,4213
14,4214
14,4215
14,4216
14,4217
14,4218
14,4219
14,4220
14,4221
14,4222
14,4223
14,4224
14,4225
14,4226
14,4227
14,4228
14,4229
14,4230
14,4231
14,4232
14,4233
14,4234
14,4235
14,4236
14,4237
14,4238
14,4239
14,4240
14,4241
14,4242
14,4243
14,4244
14,4245
14,4246
14,4247
14,4248
14,4249
14,4250
14,4251
14,4252
14,4253
14,4254
14,4255
14,4256
14,4257
14,4258
14,4259
14,4260
14,4261
14,4262
14,4263
14,4264
14,4265
14,4266
14,4267
14,4268
14,4269
14,4277
14,4278
14,4279
14,4280
14,4281
14,4282
14,4283
14,4284
14,4285
14,4286
14,4287
14,4288
14,4289
14,4290
14,4291
14,4292
14,4293
14,4294
14,4295
14,4296
14,4297
15,3157
15,3158
15,3159
15,3160
15,3161
15,3162
15,3163
15,3164
15,3165
15,3166
15,3167
15,3168
15,3169
15,3170
15,3171
15,3172
15,3173
15,3174
15,3175
15,3176
15,3177
15,3178
15,3179
15,3180
15,3181
15,3182
15,3183
15,3184
15,3185
15,3186
15,3187
15,3188
15,3189
15,3190
16,351
16,352
16,353
16,354
16,3274
16,3275
16,3278
16,3279
16,3280
16,3281
16,3282
16,3288
16,3289
16,3290
16,3291
16,3292
16,3293
16,3294
16,3295
16,3296
16,3297
16,3298
16,3299
16,3300
16,3301
16,3302
16,3303
16,3304
16,3305
16,3306
16,3307
17,1
17,2
17,3
17,4
17,5
17,6
17,7
17,8
17,9
17,10
17,11
17,13
17,15
17,16
17,17
17,18
17,19
17,20
17,21
17,22
17,23
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,9
18,10
18,11
18,12
18,13
18,15
18,16
18,17
18,18
18,19
18,20
18,21
18,22
18,23
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,13
19,18
19,19
19,20
19,21
19,22
19,23
20,4136
20,4139
20,4140
20,4141
20,4142
20,4143
20,4144
20,4145
20,4146
20,4147
20,4148
20,4149
20,4150
20,4151
20,4152
20,4153
20,4154
20,4155
20,4156
20,4157
20,4158
20,4159
20,4160
20,4161
20,4162
20,4163
20,4164
20,4165
20,4166
20,4167
20,4168
20,4169
20,4170
20,4171
20,4172
20,4173
20,4174
20,4175
20,4176
20,4184
20,4185
20,4186
20,4187
20,4188
21,1090
21,1091
21,1092
21,1093
21,1094
21,1095
21,1096
21,1097
21,1098
21,1099
21,1100
21,1101
21,1102
21,1103
21,1108
21,1109
21,1110
21,1111
21,1112
21,1113
21,1114
21,1115
21,1116
21,1117
21,1118
21,1119
21,1120
21,1121
21,1122
21,1123
21,1124
21,1125
22,1179
22,1180
22,1181
22,1188
22,1189
22,1190
22,1191
22,1192
22,1193
22,1194
22,1195
22,1196
22,1197
22,1198
22,1199
22,1200
22,1201
22,1202
22,1203
22,1204
22,1205
22,1206
22,1207
22,1208
22,1209
22,1210
22,1211
22,1212
22,1213
22,1214
22,1215
22,1216
22,1217
22,1218
22,1219
22,1220
22,1221
22,1222
22,1223
22,1224
22,1225
22,1226
22,1227
22,1228
22,1229
22,1230
22,1231
22,1232
22,1238
22,1239
22,1240
22,1241
22,1242
22,1251
22,1265
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
23,10
23,11
23,12
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,23
24,3274
24,3275
24,3278
24,3279
24,3280
24,3281
24,3282
24,3288
24,3289
24,3290
24,3291
24,3292
24,3293
24,3294
24,3295
24,3296
24,3297
24,3298
24,3299
24,3300
24,3301
24,3302
24,3303
24,3304
24,3305
24,3306
24,3307
25,434
25,435
25,436
25,437
25,438
25,439
25,440
25,441
25,442
25,443
25,444
25,445
25,446
25,447
25,448
25,449
25,450
25,451
25,452
25,453
25,454
25,455
25,456
25,457
25,458
26,1
26,2
26,3
26,4
26,5
26,6
26,7
26,8
26,9
26,10
26,11
26,13
26,15
26,16
26,17
26,18
26,19
26,20
26,21
26,22
26,23
26,61
27,1
27,2
27,3
27,4
27,5
27,6
27,7
27,8
27,9
27,10
27,11
27,13
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
28,1
28,2
28,3
28,4
28,5
28,6
28,7
28,8
28,9
28,10
28,11
28,13
28,15
28,16
28,17
28,18
28,19
28,20
28,21
28,22
28,23
28,61
28,3924
28,3925
28,3926
28,3927
28,3928
28,3929
28,3930
28,3931
28,3932
28,3933
28,3934
28,3935
28,3936
28,3937
28,3938
28,3939
28,3940
28,3941
28,3942
28,3943
28,3946
28,3947
28,3948
28,3949
28,3950
28,3951
28,3952
28,3953
28,3954
28,3955
28,3956
28,3957
28,3958
28,3959
28,3960
28,3961
28,3962
28,3963
28,3964
28,4005
28,4006
29,1
29,2
29,3
29,4
29,5
29,6
29,7
29,8
29,9
29,10
29,11
29,13
29,15
29,16
29,17
29,18
29,19
29,20
29,21
29,22
29,23
29,61
