TestNo,MutantNo
1,1
1,2
1,5
1,6
1,12
1,17
2,1
2,2
2,5
2,6
2,12
2,17
3,1091
3,1093
3,1094
3,1095
3,1096
3,1098
3,1099
3,1100
3,1101
3,1102
3,1103
3,1111
3,1114
3,1115
3,1116
3,1117
3,1119
3,1121
3,1122
3,1123
3,1124
3,1125
4,1108
4,1109
4,1112
5,1090
5,1091
5,1093
5,1094
5,1095
5,1096
5,1098
5,1099
5,1100
5,1101
5,1102
5,1103
5,1111
5,1114
5,1115
5,1116
5,1117
5,1119
5,1121
5,1122
5,1123
5,1124
5,1125
6,1108
6,1109
6,1112
7,3274
7,3275
7,3278
7,3279
7,3282
7,3291
7,3292
7,3293
7,3294
7,3295
7,3296
7,3300
7,3301
7,3302
7,3303
7,3304
7,3306
8,3192
8,3193
8,3195
8,3196
8,3197
8,3201
8,3202
8,3204
8,3205
8,3207
8,3209
8,3210
8,3211
8,3212
8,3213
8,3214
8,3215
8,3216
8,3217
9,1111
9,1114
9,1115
9,1116
9,1117
9,1119
9,1121
9,1123
9,1124
9,1125
10,352
10,353
10,354
10,356
10,3274
10,3275
10,3278
10,3279
10,3282
10,3291
10,3292
10,3293
10,3294
10,3295
10,3296
10,3300
10,3301
10,3302
10,3303
10,3304
10,3306
11,4142
11,4144
11,4149
11,4151
11,4152
11,4184
11,4185
11,4186
11,4187
12,4197
12,4199
12,4207
12,4209
12,4210
12,4214
12,4215
12,4282
12,4283
12,4286
12,4289
12,4291
12,4292
12,4293
12,4294
12,4295
12,4296
13,422
13,424
13,425
13,426
13,427
13,428
13,429
13,430
14,4197
14,4199
14,4207
14,4209
14,4210
14,4214
14,4215
14,4282
14,4283
14,4286
14,4289
14,4291
14,4292
14,4293
14,4294
14,4295
14,4296
15,3157
15,3158
15,3159
15,3160
15,3161
15,3163
15,3164
15,3166
15,3167
15,3171
15,3174
15,3177
15,3178
15,3179
15,3180
15,3181
15,3182
15,3184
15,3185
15,3186
15,3187
15,3188
15,3189
15,3190
16,352
16,353
16,354
16,3274
16,3275
16,3278
16,3279
16,3282
16,3291
16,3292
16,3293
16,3294
16,3295
16,3296
16,3300
16,3301
16,3302
16,3303
16,3304
16,3306
17,1
17,2
17,5
17,6
17,9
17,10
17,11
17,13
17,16
17,18
17,19
17,20
17,21
17,22
17,23
18,1
18,2
18,5
18,6
18,7
18,9
18,10
18,11
18,13
18,16
18,18
18,19
18,20
18,21
18,22
18,23
19,1
19,2
19,5
19,6
19,9
19,10
19,11
19,13
19,18
19,19
19,20
19,21
19,22
19,23
20,4142
20,4144
20,4149
20,4151
20,4152
20,4184
20,4185
20,4186
20,4187
21,1090
21,1091
21,1093
21,1094
21,1095
21,1096
21,1098
21,1099
21,1100
21,1101
21,1102
21,1103
21,1110
21,1114
21,1115
21,1116
21,1117
21,1119
21,1121
21,1122
21,1123
21,1124
21,1125
22,1179
22,1180
22,1190
22,1191
22,1192
22,1193
22,1194
22,1195
22,1196
22,1197
22,1198
22,1199
22,1200
22,1201
22,1202
22,1203
22,1206
22,1207
22,1208
22,1210
22,1211
22,1213
22,1214
22,1215
22,1216
22,1226
22,1228
22,1229
22,1231
22,1239
22,1240
22,1241
22,1242
23,1
23,2
23,5
23,6
23,7
23,9
23,10
23,11
23,12
23,16
23,18
23,19
23,20
23,21
23,22
23,23
24,3274
24,3275
24,3292
24,3293
24,3294
24,3295
24,3301
24,3302
24,3303
24,3304
24,3306
25,434
25,435
25,436
25,441
25,442
25,447
25,448
25,449
25,457
26,5
27,5
27,6
27,7
27,9
27,10
27,11
27,13
27,16
27,18
27,19
27,20
27,21
27,22
27,23
28,1
28,2
28,5
28,6
28,7
28,9
28,10
28,11
28,13
28,16
28,18
28,20
28,61
28,3929
28,3933
28,3938
28,3943
28,3949
28,3950
28,3951
28,3952
28,3953
28,3954
28,3955
28,3956
28,3957
28,3958
28,3959
28,3960
28,3961
28,3962
28,3963
28,3964
29,1
29,2
29,5
29,20
