MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,LIVE
4,LIVE
5,FAIL
6,FAIL
7,FAIL
8,LIVE
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
15,LIVE
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,FAIL
61,FAIL
351,LIVE
352,FAIL
353,FAIL
354,FAIL
355,LIVE
356,FAIL
358,LIVE
359,LIVE
360,LIVE
361,LIVE
362,LIVE
363,LIVE
364,LIVE
422,FAIL
423,LIVE
424,FAIL
425,FAIL
426,FAIL
427,FAIL
428,FAIL
429,FAIL
430,FAIL
434,FAIL
435,FAIL
436,FAIL
437,LIVE
438,LIVE
439,LIVE
440,LIVE
441,FAIL
442,FAIL
443,LIVE
444,LIVE
445,LIVE
446,LIVE
447,FAIL
448,FAIL
449,FAIL
450,LIVE
451,LIVE
452,LIVE
453,LIVE
454,LIVE
455,LIVE
456,LIVE
457,FAIL
458,LIVE
1090,FAIL
1091,FAIL
1092,LIVE
1093,FAIL
1094,FAIL
1095,FAIL
1096,FAIL
1097,LIVE
1098,FAIL
1099,FAIL
1100,FAIL
1101,FAIL
1102,FAIL
1103,FAIL
1108,FAIL
1109,FAIL
1110,FAIL
1111,FAIL
1112,FAIL
1113,LIVE
1114,FAIL
1115,FAIL
1116,FAIL
1117,FAIL
1118,LIVE
1119,FAIL
1120,LIVE
1121,FAIL
1122,FAIL
1123,FAIL
1124,FAIL
1125,FAIL
1179,FAIL
1180,FAIL
1181,LIVE
1188,LIVE
1189,LIVE
1190,FAIL
1191,FAIL
1192,FAIL
1193,FAIL
1194,FAIL
1195,FAIL
1196,FAIL
1197,FAIL
1198,FAIL
1199,FAIL
1200,FAIL
1201,FAIL
1202,FAIL
1203,FAIL
1204,LIVE
1205,LIVE
1206,FAIL
1207,FAIL
1208,FAIL
1209,LIVE
1210,FAIL
1211,FAIL
1212,LIVE
1213,FAIL
1214,FAIL
1215,FAIL
1216,FAIL
1217,LIVE
1218,LIVE
1219,LIVE
1220,LIVE
1221,LIVE
1222,LIVE
1223,LIVE
1224,LIVE
1225,LIVE
1226,FAIL
1227,LIVE
1228,FAIL
1229,FAIL
1230,LIVE
1231,FAIL
1232,LIVE
1238,LIVE
1239,FAIL
1240,FAIL
1241,FAIL
1242,FAIL
1251,LIVE
1265,LIVE
3157,FAIL
3158,FAIL
