TestNo,MutantNo
5,139
5,140
5,141
5,142
5,609
5,610
5,611
5,612
5,2514
5,2515
5,2516
5,2517
5,2518
5,2678
5,2679
5,2680
5,2829
5,2830
5,2831
5,2837
5,2838
5,2839
5,2840
5,2841
5,2842
5,2844
5,2845
5,2846
5,2847
5,2849
5,2850
5,2851
5,2852
5,2853
5,2854
5,2855
5,2856
5,2857
5,2858
5,2859
5,4163
5,4164
5,4165
5,4222
5,4223
5,4224
5,4225
5,4226
5,4227
5,4232
5,4245
5,4246
5,4247
5,4248
5,4249
5,4250
5,4251
5,4252
5,4253
5,4254
5,4255
5,4281
5,4282
5,4308
5,4309
5,4310
5,4311
5,4312
5,4313
5,4314
5,4315
5,4316
5,4317
5,4318
5,4607
5,4608
5,4609
5,4610
5,4611
5,4612
5,4613
5,4614
5,4615
5,4616
5,4617
5,4618
5,4619
5,4620
5,4621
5,4622
5,4623
5,4624
5,4625
5,4626
5,4627
5,4628
5,4629
5,4630
5,4631
5,4632
5,4633
5,4634
5,4635
5,4636
5,4637
5,4638
5,4639
5,4640
5,4653
5,4654
5,4655
5,4656
5,4657
5,4658
5,4659
5,4660
5,4661
5,4662
5,4663
5,4664
5,4665
5,4666
5,4667
5,4668
5,4669
5,4670
5,4671
5,4672
5,4673
5,4674
5,4675
5,4676
5,4677
5,4678
5,4679
5,4680
5,4681
5,4682
5,4683
5,4684
5,4685
5,4686
5,4687
5,4688
5,4734
5,4735
5,4736
5,4737
5,4738
5,4739
5,4740
5,4741
5,4742
5,4743
5,4744
5,4745
5,4746
5,4747
5,4748
5,4749
5,4750
5,4751
5,4752
5,4753
5,4754
5,4755
5,4756
5,4757
5,4758
5,4759
5,4779
5,4780
5,4794
5,4795
5,4796
5,4797
5,4798
5,4799
5,4800
5,4801
5,4802
5,4803
5,4804
5,4805
5,4806
5,4807
5,4808
5,4809
5,4810
5,4811
5,4812
5,4813
5,4814
5,4815
5,4816
5,4817
5,4818
5,4819
5,4820
5,4821
5,4822
5,4879
5,4880
5,4881
5,4882
5,4883
5,4884
5,4885
5,4886
5,4887
5,4888
5,4889
5,4890
5,4891
5,4892
5,4893
5,4894
5,4895
5,4896
5,4897
5,4898
5,4899
5,4900
5,4901
5,4902
5,4903
5,4904
5,4905
5,4906
5,4907
5,4908
5,4909
5,4910
5,4911
5,4912
5,4913
5,4914
5,4915
5,4916
5,4917
5,4918
5,4919
5,4920
5,4921
5,4922
5,4923
5,4924
5,4925
5,4926
5,4927
5,4928
5,4929
5,4930
5,4931
5,4932
5,4933
5,4934
5,4935
5,4936
5,4937
5,4938
5,4939
5,4940
5,4941
5,4942
5,4943
5,4944
5,4945
5,4946
5,4947
5,4948
5,4949
5,4950
5,5040
