TestNo,MutantNo
5,4165
5,4223
5,4226
5,4227
5,4245
5,4246
5,4247
5,4282
5,4309
5,4311
5,4312
5,4313
5,4315
5,4318
5,4607
5,4608
5,4610
5,4611
5,4612
5,4613
5,4614
5,4615
5,4616
5,4617
5,4618
5,4620
5,4629
5,4630
5,4631
5,4632
5,4633
5,4636
5,4638
5,4639
5,4640
5,4653
5,4655
5,4656
5,4658
5,4659
5,4660
5,4661
5,4662
5,4663
5,4664
5,4665
5,4666
5,4667
5,4668
5,4669
5,4670
5,4672
5,4673
5,4674
5,4675
5,4676
5,4677
5,4678
5,4679
5,4680
5,4681
5,4682
5,4683
5,4684
5,4686
5,4688
5,4734
5,4735
5,4736
5,4737
5,4738
5,4740
5,4741
5,4742
5,4743
5,4744
5,4745
5,4746
5,4748
5,4751
5,4755
5,4757
5,4758
5,4780
5,4794
5,4795
5,4796
5,4797
5,4798
5,4799
5,4800
5,4801
5,4802
5,4803
5,4804
5,4806
5,4807
5,4808
5,4809
5,4810
5,4811
5,4812
5,4813
5,4818
5,4819
5,4822
5,4879
5,4880
5,4881
5,4882
5,4883
5,4884
5,4885
5,4886
5,4887
5,4888
5,4889
5,4890
5,4891
5,4892
5,4893
5,4894
5,4895
5,4896
5,4897
5,4898
5,4899
5,4900
5,4901
5,4902
5,4903
5,4904
5,4905
5,4906
5,4907
5,4909
5,4910
5,4911
5,4912
5,4913
5,4915
5,4918
5,4920
5,4921
5,4922
5,4923
5,4924
5,4925
5,4926
5,4927
5,4928
5,4929
5,4930
5,4931
5,4932
5,4933
5,4934
5,4935
5,4936
5,4937
5,4938
5,4939
5,4940
5,4941
5,4942
5,4943
5,4944
5,4945
5,4946
5,4947
5,4948
5,4949
5,5040
5,5041
5,5042
5,5043
5,5046
5,5047
5,5049
5,5051
5,5053
5,5054
5,5057
5,5060
5,5061
5,5062
5,5063
5,5081
5,5083
5,5086
5,5094
5,5095
5,5097
5,5100
5,5101
5,5102
5,5103
5,5156
5,5157
5,5158
5,5159
5,5162
5,5244
5,5247
5,5251
5,5252
5,5253
5,5254
5,5255
5,5256
5,5257
5,5258
5,5259
5,5260
5,5261
5,5262
5,5263
5,5264
5,5267
5,5268
5,5269
5,5270
5,5272
5,5273
5,5276
5,5277
5,5278
5,5279
5,5280
5,5281
5,5283
5,5285
5,5286
5,5287
5,5289
5,5291
5,5294
5,5296
5,5297
5,5298
5,5301
5,5358
5,5359
5,5360
5,5361
5,5362
5,5363
5,5364
5,5365
5,5366
5,5368
5,5369
5,5370
5,5371
5,5373
5,5376
5,5377
5,5378
5,5379
5,5383
5,5384
5,5385
5,5386
5,5389
5,5392
5,5394
5,5397
5,5401
5,5402
5,5403
5,5404
5,5406
5,5408
5,5411
5,5419
5,5422
5,5423
5,5424
5,5425
5,5426
5,5428
5,5835
5,5844
5,5845
5,5846
5,5847
5,8250
6,4166
6,4167
6,4169
6,4170
6,4171
6,4172
6,4174
6,4177
6,4258
6,4259
6,4315
6,4318
6,4323
6,4324
6,4325
6,4345
6,4607
6,4608
6,4610
6,4613
6,4617
6,4618
6,5045
6,5047
6,5048
6,5049
6,5050
6,5051
6,5053
6,5054
6,5055
6,5060
6,5063
6,5072
6,5081
6,5083
6,5086
6,5094
6,5095
6,5097
6,5100
6,5101
6,5102
6,5103
6,5156
6,5157
6,5158
6,5159
6,5162
6,5244
6,5247
6,5250
6,5256
6,5265
6,5270
6,5271
6,5273
6,5276
6,5279
6,5284
6,5285
6,5286
6,5287
6,5288
6,5289
6,5290
6,5291
6,5292
6,5293
6,5294
6,5295
6,5296
6,5297
6,5298
6,5301
6,5358
6,5359
6,5360
6,5361
6,5362
6,5363
6,5364
6,5365
6,5366
6,5368
6,5369
6,5370
6,5371
6,5373
6,5376
6,5377
6,5378
6,5379
6,5383
6,5386
6,5389
6,5392
6,5394
6,5397
6,5401
6,5402
6,5403
6,5404
6,5406
6,5408
6,5411
6,5419
6,5422
6,5423
6,5424
6,5425
6,5426
6,5844
6,5845
6,5846
6,5847
6,8215
7,4163
7,4164
8,6538
8,6539
8,6540
11,5925
11,5927
11,5930
11,5933
11,5934
11,5935
11,5936
11,5939
11,5942
11,5944
11,5945
11,5946
11,5947
11,5959
11,5960
11,5962
11,5965
11,6036
11,6037
11,6039
11,6041
11,6043
11,6044
11,6047
11,6049
11,6052
11,6055
11,6057
11,6069
11,6070
11,6071
11,6075
11,6184
11,6185
11,6186
11,6187
11,6188
11,6189
11,6196
11,6198
11,6200
11,6201
11,6315
11,8216
12,4163
12,4164
12,4258
12,4259
12,4315
12,4318
12,4323
12,4324
12,4325
12,4328
12,4345
12,4607
12,4608
12,4610
12,4611
12,4612
12,4613
12,4614
12,4615
12,4616
12,4617
12,4618
12,5042
12,5044
12,5045
12,5047
12,5048
12,5049
12,5050
12,5051
12,5052
12,5053
12,5054
12,5055
12,5056
12,5057
12,5058
12,5059
12,5060
12,5061
12,5062
12,5063
12,5064
12,5072
12,5081
12,5083
12,5086
12,5094
12,5095
12,5097
12,5100
12,5101
12,5102
12,5103
12,5156
12,5157
12,5158
12,5159
12,5162
12,5240
12,5241
12,5242
12,5243
12,5244
12,5245
12,5247
12,5249
12,5250
12,5251
12,5252
12,5253
12,5254
12,5255
12,5256
12,5257
12,5258
12,5259
12,5260
12,5261
12,5262
12,5263
12,5264
12,5265
12,5266
12,5267
12,5268
12,5269
12,5270
12,5271
12,5272
12,5273
12,5274
12,5275
12,5277
12,5278
12,5279
12,5280
12,5281
12,5282
12,5283
12,5284
12,5285
12,5286
12,5287
12,5288
12,5289
12,5290
12,5291
12,5292
12,5293
12,5294
12,5295
12,5296
12,5297
12,5298
12,5301
12,5358
12,5359
12,5360
12,5361
12,5362
12,5363
12,5364
12,5365
12,5366
12,5367
12,5368
12,5369
12,5370
12,5371
12,5372
12,5373
12,5374
12,5375
12,5376
12,5377
12,5378
12,5379
12,5380
12,5381
12,5382
12,5383
12,5384
12,5385
12,5386
12,5387
12,5388
12,5389
12,5390
12,5391
12,5392
12,5393
12,5394
12,5395
12,5396
12,5397
12,5398
12,5399
12,5400
12,5401
12,5402
12,5403
12,5404
12,5405
12,5406
12,5407
12,5408
12,5409
12,5410
12,5411
12,5412
12,5413
12,5414
12,5415
12,5416
12,5417
