MutantNo,[FAIL | TIME | EXC | LIVE]
127,FAIL
128,FAIL
129,LIVE
130,LIVE
131,FAIL
132,FAIL
133,FAIL
134,LIVE
135,LIVE
136,FAIL
137,LIVE
138,LIVE
139,LIVE
140,LIVE
141,LIVE
142,LIVE
161,LIVE
163,LIVE
164,LIVE
165,LIVE
166,LIVE
167,LIVE
168,LIVE
169,FAIL
170,LIVE
171,LIVE
172,FAIL
173,LIVE
174,LIVE
175,LIVE
176,FAIL
179,FAIL
220,LIVE
221,LIVE
222,LIVE
223,LIVE
224,LIVE
225,LIVE
226,LIVE
227,LIVE
228,LIVE
229,LIVE
230,LIVE
231,LIVE
232,LIVE
233,LIVE
236,LIVE
237,LIVE
238,LIVE
239,LIVE
311,LIVE
312,FAIL
313,LIVE
314,FAIL
315,LIVE
515,LIVE
516,LIVE
517,LIVE
518,LIVE
609,LIVE
610,LIVE
611,LIVE
612,LIVE
681,LIVE
682,LIVE
683,LIVE
684,LIVE
719,LIVE
720,LIVE
761,LIVE
763,LIVE
1731,FAIL
1738,FAIL
2514,LIVE
2515,LIVE
2516,LIVE
2517,FAIL
2518,LIVE
2678,LIVE
2679,LIVE
2680,LIVE
2734,FAIL
2735,FAIL
2736,LIVE
2829,LIVE
2830,FAIL
2831,LIVE
2837,LIVE
2838,LIVE
2839,LIVE
2840,LIVE
2841,LIVE
2842,FAIL
2843,LIVE
2844,LIVE
2845,LIVE
2846,LIVE
2847,FAIL
2848,LIVE
2849,LIVE
2850,LIVE
2851,LIVE
2852,FAIL
2853,LIVE
2854,LIVE
2855,LIVE
2856,LIVE
2857,LIVE
2858,LIVE
2859,LIVE
2860,LIVE
3718,FAIL
3719,FAIL
3720,LIVE
3721,FAIL
3722,LIVE
3723,FAIL
3724,FAIL
3725,LIVE
3726,LIVE
3727,LIVE
3728,LIVE
3729,LIVE
3730,LIVE
3731,LIVE
3732,LIVE
3733,FAIL
3734,LIVE
3735,FAIL
3736,LIVE
3737,LIVE
3738,FAIL
3739,LIVE
3740,FAIL
3741,FAIL
3742,FAIL
3743,FAIL
3744,FAIL
3745,FAIL
3746,LIVE
3747,FAIL
3748,LIVE
3749,FAIL
3750,FAIL
3751,LIVE
3752,FAIL
3830,FAIL
3831,FAIL
3832,FAIL
3833,FAIL
3834,FAIL
3835,FAIL
3841,LIVE
3842,FAIL
3843,LIVE
3844,LIVE
3845,FAIL
3972,FAIL
3973,FAIL
3974,LIVE
3975,FAIL
3976,FAIL
3977,FAIL
3978,FAIL
3979,FAIL
3980,FAIL
3981,FAIL
3982,FAIL
4021,FAIL
4022,FAIL
4023,FAIL
4024,FAIL
4025,FAIL
4026,FAIL
4027,FAIL
4028,FAIL
4029,LIVE
4030,FAIL
4031,FAIL
4032,FAIL
4033,FAIL
4034,FAIL
4035,FAIL
4036,FAIL
4037,FAIL
4038,FAIL
4039,FAIL
4040,FAIL
4056,LIVE
4057,FAIL
4058,LIVE
4059,FAIL
4060,FAIL
4061,FAIL
4062,FAIL
4063,FAIL
4064,FAIL
4065,FAIL
4066,FAIL
4067,FAIL
4068,FAIL
4069,FAIL
4163,FAIL
4164,FAIL
4165,FAIL
4166,FAIL
4167,FAIL
4168,LIVE
4169,FAIL
4170,FAIL
4171,FAIL
4172,FAIL
4173,FAIL
4174,FAIL
4175,FAIL
4176,FAIL
4177,FAIL
4178,FAIL
4222,LIVE
4223,FAIL
4224,LIVE
4225,LIVE
4226,FAIL
4227,FAIL
4232,FAIL
4234,FAIL
4235,LIVE
4236,LIVE
4237,LIVE
4238,LIVE
4239,LIVE
4240,LIVE
4241,LIVE
4242,LIVE
4243,LIVE
4244,FAIL
4245,FAIL
4246,FAIL
4247,FAIL
4248,LIVE
4249,LIVE
4250,LIVE
4251,LIVE
4252,LIVE
4253,LIVE
4254,LIVE
4255,LIVE
4256,FAIL
4257,LIVE
4258,FAIL
4259,FAIL
4281,FAIL
4282,FAIL
4283,FAIL
4284,FAIL
4285,FAIL
4286,LIVE
4287,FAIL
4288,FAIL
4289,FAIL
4290,FAIL
4291,LIVE
4292,FAIL
4307,LIVE
4308,LIVE
4309,FAIL
4310,LIVE
4311,FAIL
4312,FAIL
4313,FAIL
4314,LIVE
4315,FAIL
4316,LIVE
4317,FAIL
4318,FAIL
4319,LIVE
4323,FAIL
4324,FAIL
4325,FAIL
4326,LIVE
4327,LIVE
4328,FAIL
4338,LIVE
4345,FAIL
4347,FAIL
4359,FAIL
4360,FAIL
4361,FAIL
4362,FAIL
4363,FAIL
4364,FAIL
4365,FAIL
4366,FAIL
4367,FAIL
4368,LIVE
4369,FAIL
4370,FAIL
4371,FAIL
4372,LIVE
4373,FAIL
4374,FAIL
4375,LIVE
4376,FAIL
4377,FAIL
4378,FAIL
4379,FAIL
4380,FAIL
4381,FAIL
4382,FAIL
4383,FAIL
4384,FAIL
4385,FAIL
4386,FAIL
4387,LIVE
4388,FAIL
4389,FAIL
4390,FAIL
4391,FAIL
4392,FAIL
4393,FAIL
4394,FAIL
4395,FAIL
4396,FAIL
4397,FAIL
4398,FAIL
4399,LIVE
4400,FAIL
4401,FAIL
4402,FAIL
4403,FAIL
4404,FAIL
4405,FAIL
4406,FAIL
4407,FAIL
4408,FAIL
4409,FAIL
4410,FAIL
4411,FAIL
4412,FAIL
4413,FAIL
4414,FAIL
4415,FAIL
4416,FAIL
4417,FAIL
4418,FAIL
4419,FAIL
4420,FAIL
4421,FAIL
4422,FAIL
4423,FAIL
4424,FAIL
4425,FAIL
4426,FAIL
4427,FAIL
4428,FAIL
4429,FAIL
4430,LIVE
4431,FAIL
4432,FAIL
4433,LIVE
4434,LIVE
4435,LIVE
4436,LIVE
4437,LIVE
4438,LIVE
4439,LIVE
4440,LIVE
4441,LIVE
4442,LIVE
4443,LIVE
4444,LIVE
4445,LIVE
4446,LIVE
4447,LIVE
4448,LIVE
4449,LIVE
4450,LIVE
4451,LIVE
4479,FAIL
4480,LIVE
4481,LIVE
4482,LIVE
4483,LIVE
4484,LIVE
4485,LIVE
4593,FAIL
4594,FAIL
4595,FAIL
4596,LIVE
4597,FAIL
4598,FAIL
4599,FAIL
4600,LIVE
4601,FAIL
4602,FAIL
4603,FAIL
4604,FAIL
4605,FAIL
4606,FAIL
4607,FAIL
4608,FAIL
4609,LIVE
4610,FAIL
4611,FAIL
4612,FAIL
4613,FAIL
4614,FAIL
4615,FAIL
4616,FAIL
4617,FAIL
4618,FAIL
4619,LIVE
4620,FAIL
4621,LIVE
4622,LIVE
4623,LIVE
4624,LIVE
4625,LIVE
4626,LIVE
4627,LIVE
4628,LIVE
4629,FAIL
4630,FAIL
4631,FAIL
4632,FAIL
4633,FAIL
4634,LIVE
4635,LIVE
4636,FAIL
4637,LIVE
4638,FAIL
4639,FAIL
4640,FAIL
4653,FAIL
4654,LIVE
4655,FAIL
4656,FAIL
4657,LIVE
4658,FAIL
4659,FAIL
4660,FAIL
4661,FAIL
4662,FAIL
4663,FAIL
4664,FAIL
4665,FAIL
4666,FAIL
4667,FAIL
4668,FAIL
4669,FAIL
4670,FAIL
4671,LIVE
4672,FAIL
4673,FAIL
4674,FAIL
4675,FAIL
4676,FAIL
4677,FAIL
4678,FAIL
4679,FAIL
4680,FAIL
4681,FAIL
4682,FAIL
4683,FAIL
4684,FAIL
4685,FAIL
4686,FAIL
4687,LIVE
4688,FAIL
4689,FAIL
4690,FAIL
4691,FAIL
4692,FAIL
4693,FAIL
4694,FAIL
4695,LIVE
4696,FAIL
4697,FAIL
4698,LIVE
4699,FAIL
4700,FAIL
4701,LIVE
4702,FAIL
4703,FAIL
4704,FAIL
4705,FAIL
4706,FAIL
4707,FAIL
4708,FAIL
4709,FAIL
4710,FAIL
4711,FAIL
4712,FAIL
4713,FAIL
4714,LIVE
4715,FAIL
4716,FAIL
4717,LIVE
4718,FAIL
4719,FAIL
4720,FAIL
4721,FAIL
4722,FAIL
4723,FAIL
4724,FAIL
4725,FAIL
4726,FAIL
4727,FAIL
4728,FAIL
4729,FAIL
4730,FAIL
4731,FAIL
4732,LIVE
4733,FAIL
4734,FAIL
4735,FAIL
4736,FAIL
4737,FAIL
4738,FAIL
4739,FAIL
4740,FAIL
4741,FAIL
4742,FAIL
4743,FAIL
4744,FAIL
4745,FAIL
4746,FAIL
4747,FAIL
4748,FAIL
4749,FAIL
4750,FAIL
4751,FAIL
4752,FAIL
4753,FAIL
4754,FAIL
4755,FAIL
4756,FAIL
4757,FAIL
4758,FAIL
4759,LIVE
4760,LIVE
4761,LIVE
4762,LIVE
4763,LIVE
4764,LIVE
4765,LIVE
4766,LIVE
4767,FAIL
4768,FAIL
4769,FAIL
4770,FAIL
4771,FAIL
4772,FAIL
4773,FAIL
4774,FAIL
4775,FAIL
4776,FAIL
4777,FAIL
4778,FAIL
4779,LIVE
4780,FAIL
4794,FAIL
4795,FAIL
4796,FAIL
4797,FAIL
4798,FAIL
4799,FAIL
4800,FAIL
4801,FAIL
4802,FAIL
4803,FAIL
4804,FAIL
4805,FAIL
4806,FAIL
4807,FAIL
4808,FAIL
4809,FAIL
4810,FAIL
4811,FAIL
4812,FAIL
4813,FAIL
4814,LIVE
4815,LIVE
4816,LIVE
4817,LIVE
4818,FAIL
4819,FAIL
4820,LIVE
4821,LIVE
