TestNo,TestName
1,com.github.krukow.clj_lang.test.AllTests[testEmptyVector]
2,com.github.krukow.clj_lang.test.AllTests[testIteratorFrom]
3,com.github.krukow.clj_lang.test.AllTests[testBadInvocCreateObjectArray]
4,com.github.krukow.clj_lang.test.AllTests[testEmptyMap]
5,com.github.krukow.clj_lang.test.PersistentHashMapTest[testIteratorFrom]
6,com.github.krukow.clj_lang.test.PersistentHashMapTest[testBadInvocCreateObjectArray]
7,com.github.krukow.clj_lang.test.PersistentHashMapTest[testEmptyMap]
8,com.github.krukow.clj_lang.test.PersistentVectorTest[testEmptyVector]
9,com.github.krukow.clj_lang.test.AllTests[testCreateMapOfQextendsKQextendsV]
10,com.github.krukow.clj_lang.test.AllTests[testNullMap]
11,com.github.krukow.clj_lang.test.PersistentHATTrieTest[doesNotContainNotAdded]
12,com.github.krukow.clj_lang.test.PersistentHashMapTest[testCreateMapOfQextendsKQextendsV]
13,com.github.krukow.clj_lang.test.PersistentHashMapTest[testNullMap]
14,com.github.krukow.clj_lang.test.AllTests[testCreateObjectArray]
15,com.github.krukow.clj_lang.test.PersistentHashMapTest[testCreateObjectArray]
16,com.github.krukow.clj_lang.test.AllTests[testEmptyVector]
17,com.github.krukow.clj_lang.test.PersistentHashSetTest[testEmptyVector]
18,com.github.krukow.clj_lang.test.PersistentHATTrieTest[testIterator]
19,com.github.krukow.clj_lang.test.PersistentNonHashMapsTest[testArrayMap]
20,com.github.krukow.clj_lang.test.PersistentHATTrieTest[testSmallTrie]
21,com.github.krukow.clj_lang.test.PersistentHashMapTest[testRandomIterator]
22,com.github.krukow.clj_lang.test.AllTests[testRandomIterator]
23,com.github.krukow.clj_lang.test.PersistentVectorTest[testVectorMap]
24,com.github.krukow.clj_lang.test.AllTests[testVectorMap]
25,com.github.krukow.clj_lang.test.PersistentNonHashMapsTest[testStructMap]
26,com.github.krukow.clj_lang.test.AllTests[testRandomReverseIterator]
27,com.github.krukow.clj_lang.test.PersistentHashMapTest[testRandomReverseIterator]
28,com.github.krukow.clj_lang.test.AllTests[testIterator]
29,com.github.krukow.clj_lang.test.PersistentVectorTest[testIterator]
30,com.github.krukow.clj_lang.test.PersistentHashSetTest[testIterator]
31,com.github.krukow.clj_lang.test.AllTests[testIterator]
32,com.github.krukow.clj_lang.test.PersistentHashMapTest[testIterator]
33,com.github.krukow.clj_lang.test.AllTests[testIterator]
