TestNo,MutantNo
1,1
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,27
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
2,2
2,3
2,28
2,29
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,54
3,60
3,61
3,64
3,66
3,67
3,68
3,69
3,70
114,1000
115,1273
116,1000
117,1000
117,1017
117,1019
117,1024
117,1265
118,72
118,2708
118,3034
118,3036
118,3037
120,2507
120,2509
120,2511
120,2522
120,2524
120,2706
120,2956
120,2957
120,2958
120,2959
120,2961
120,2962
120,2963
120,2964
120,2965
120,2966
120,2968
120,2969
120,2970
120,2971
120,2972
120,2973
120,2975
120,2977
120,2978
120,2980
120,2981
120,2982
120,2983
120,2985
120,2986
120,2987
122,2709
122,2710
122,2711
122,2712
122,2713
122,2714
122,2716
122,2717
122,2718
122,2719
122,2720
122,2722
122,2723
122,2724
122,2725
122,2727
122,2728
122,2729
123,236
123,237
123,238
123,239
123,240
123,241
123,242
123,243
123,244
123,245
123,246
124,126
124,127
124,128
124,129
124,130
124,131
124,132
124,133
124,134
124,135
124,136
125,362
125,363
125,365
126,366
127,364
128,217
128,218
128,219
128,220
128,222
128,223
129,227
129,228
129,229
129,230
129,231
129,232
129,233
130,230
130,234
130,235
130,282
130,285
131,353
131,354
131,355
131,356
132,297
133,96
133,98
133,99
133,100
133,101
133,126
133,127
133,128
133,129
133,130
133,131
133,132
133,133
133,134
133,135
133,136
133,1051
133,1052
133,1054
133,1058
133,1060
133,1061
133,1063
133,1081
133,1082
133,1083
133,1087
133,1091
133,1092
133,1093
133,1095
133,1097
133,2535
134,126
134,129
134,156
135,247
135,249
135,250
135,252
135,253
135,254
135,255
135,256
136,221
136,224
136,225
137,362
137,363
137,365
138,82
138,83
138,85
138,86
138,87
138,90
138,126
138,127
138,128
138,129
139,126
139,151
139,155
139,159
139,161
139,265
139,268
139,269
139,270
141,357
141,358
141,360
141,361
142,1002
142,1005
143,77
143,78
143,79
143,80
143,81
143,82
143,83
143,85
143,86
143,87
143,91
143,92
143,93
143,94
143,95
143,126
143,127
143,128
143,129
143,130
143,131
143,132
143,133
143,134
143,135
143,136
144,96
144,97
144,98
144,99
144,100
144,101
144,126
144,127
144,128
144,129
144,130
144,131
144,132
144,133
144,134
144,135
144,136
144,1051
144,1052
144,1054
144,1058
144,1060
144,1061
144,1063
144,1081
144,1082
144,1083
144,1087
144,1091
144,1092
144,1093
144,1095
144,1097
146,126
146,127
146,128
146,129
146,130
146,131
146,132
146,133
146,134
146,135
146,136
146,172
146,173
146,174
146,175
146,176
147,393
148,416
148,417
148,418
148,419
148,420
148,421
148,422
148,423
148,424
148,425
150,342
150,343
151,126
151,138
151,141
153,126
153,129
153,299
153,300
153,301
153,303
153,304
153,305
153,306
153,308
153,309
153,312
153,314
153,315
153,317
153,319
153,321
153,322
153,323
154,180
154,181
154,183
154,184
154,185
154,186
154,187
154,2706
155,312
155,315
155,331
156,321
156,323
157,77
157,80
157,81
157,82
157,83
157,85
157,86
157,87
157,89
157,126
157,127
157,128
157,129
157,130
157,131
157,132
157,133
157,134
157,135
157,136
158,77
158,78
158,82
158,83
158,85
158,86
158,87
158,90
158,126
158,127
158,128
158,129
158,130
158,131
158,132
158,133
158,134
158,135
158,136
159,103
159,104
159,105
159,106
159,107
159,108
159,111
159,112
159,113
159,114
159,115
160,119
160,120
160,121
160,122
160,123
160,124
160,125
162,126
162,151
162,155
162,159
162,161
162,274
162,277
163,299
163,300
163,301
163,303
163,304
163,305
163,306
163,308
163,309
164,299
164,300
164,301
164,303
164,304
164,305
164,306
164,308
164,309
165,188
165,189
165,191
165,192
165,193
165,194
165,2885
165,3029
167,77
167,126
167,129
167,139
167,140
168,382
168,383
168,384
168,2143
168,2144
168,2145
168,2146
168,8021
168,8023
168,8031
168,8069
168,8072
168,8079
168,8090
168,8096
168,8141
168,8142
168,8145
168,8148
168,8149
168,8150
168,8152
168,8153
168,8154
168,8166
168,8168
168,8185
168,8190
168,8199
169,168
169,169
169,170
169,171
169,172
169,173
169,177
169,178
169,179
169,1007
169,1008
169,1009
169,1051
169,1052
169,1054
169,1058
169,1060
169,1061
169,1063
170,1273
171,88
172,287
172,288
172,289
172,290
172,291
173,278
173,279
173,280
173,281
173,282
173,283
173,284
173,285
174,77
174,79
174,82
174,83
174,85
174,89
174,90
174,91
174,92
174,93
174,94
174,95
174,96
174,98
174,99
174,100
174,101
174,126
174,128
174,131
174,134
174,151
174,155
174,159
174,161
174,1051
174,1052
174,1054
174,1058
174,1060
174,1061
174,1063
174,1081
174,1082
174,1083
174,1087
174,1091
174,1092
174,1093
174,1095
174,1097
174,2535
175,1000
176,367
176,368
176,369
176,370
176,371
176,372
176,373
176,374
176,375
176,377
176,378
176,379
177,257
177,258
177,259
177,260
177,261
178,162
179,336
179,337
179,340
179,341
180,349
180,350
180,351
180,352
181,221
181,224
181,225
182,191
182,194
182,3029
183,344
183,345
183,347
183,348
184,217
184,218
184,219
184,220
184,222
184,223
184,226
184,2903
186,361
187,366
188,77
188,78
188,79
188,80
188,81
188,83
188,85
188,89
188,91
188,92
188,93
188,94
188,95
188,96
188,98
188,99
188,100
188,101
188,126
188,127
188,128
188,130
188,131
188,133
188,134
188,135
188,136
188,151
188,155
188,159
188,161
188,1051
188,1052
188,1054
188,1058
188,1060
188,1061
188,1063
188,1081
188,1082
188,1083
188,1087
188,1091
188,1092
188,1093
188,1095
188,1097
188,2535
189,415
189,3600
189,3602
189,3603
189,3605
189,3606
189,3607
189,3608
189,3609
189,3610
189,3611
189,3612
189,3615
189,3616
189,3617
189,3618
189,3620
189,3621
189,3622
189,3623
189,3624
189,3625
189,3626
189,3627
189,3629
189,3630
189,3631
189,3632
189,3633
189,3634
189,3635
189,3636
189,3637
189,3638
189,3639
189,3640
189,3641
189,3643
189,3644
189,3645
189,3646
189,3647
189,3648
189,3649
189,3651
189,3652
189,3653
189,3654
189,3655
189,3656
189,3657
189,3658
189,3659
189,3660
189,3661
189,3662
189,3663
189,3665
189,3666
189,3667
189,3668
189,3669
189,3671
189,3672
189,3673
189,3674
189,3676
189,3677
189,3678
189,3680
189,3681
189,3682
189,3683
189,3684
189,3685
189,3686
189,3687
189,3688
189,3689
189,3690
189,3691
189,3692
189,3693
189,3694
189,3695
189,3696
189,3697
189,3698
189,3699
189,3700
189,3701
189,3702
189,3703
189,3705
189,3706
189,3707
189,3708
189,3709
190,336
190,337
190,338
190,339
191,126
191,151
191,155
191,159
191,161
192,312
192,315
195,209
195,210
195,211
195,212
195,214
195,215
195,216
195,3029
196,565
197,362
197,363
197,365
197,366
198,364
199,445
203,2944
203,2948
203,2949
205,2667
205,2943
207,472
207,473
207,477
207,480
208,466
208,467
208,477
208,480
209,470
209,471
209,477
209,480
210,460
211,463
211,3335
211,3338
211,3341
211,3342
211,3345
211,3347
211,3350
211,3351
211,3352
211,3359
211,3360
211,3361
211,3362
211,3363
211,3364
211,3365
211,3366
211,3367
211,3368
211,3369
211,3370
211,3415
211,3416
213,3038
213,3040
213,3041
213,3042
213,3043
214,3038
215,3038
215,3039
216,3038
216,3039
220,562
220,563
220,564
221,565
222,510
225,597
225,599
225,600
225,601
225,602
225,605
225,610
225,615
225,616
225,617
225,618
225,619
225,620
225,622
225,623
225,624
225,625
225,626
225,627
225,630
225,634
225,635
225,636
225,637
226,509
226,511
227,513
227,514
227,515
227,1051
227,1052
227,1054
227,1058
227,1060
227,1061
227,1081
227,1082
227,1083
227,1087
227,1091
227,1095
227,1097
227,1259
228,581
228,582
228,583
228,584
228,585
228,586
228,588
228,596
228,2696
228,2698
228,2701
228,8233
228,8239
228,8240
228,8256
228,8258
228,8259
228,8260
228,8261
228,8262
228,8264
228,8265
228,8267
228,8268
228,8269
228,8270
228,8271
228,8272
228,8273
228,8274
228,8276
228,8279
228,8281
228,8283
228,8284
228,8285
228,8287
228,8288
228,8289
228,8291
228,8292
228,8293
228,8294
228,8295
228,8296
228,8297
228,8298
228,8299
228,8300
228,8301
228,8302
228,8305
228,8310
228,8315
228,8317
228,8318
228,8320
228,8321
228,8322
228,8323
228,8324
228,8330
228,8333
228,8335
228,8336
228,8337
228,8338
228,8339
228,8340
228,8341
228,8342
228,8343
228,8344
228,8345
228,8346
228,8347
228,8348
228,8349
228,8350
228,8351
228,8352
228,8353
228,8354
228,8355
228,8356
228,8357
228,8358
228,8359
228,8360
228,8361
228,8362
228,8363
228,8364
228,8365
228,8367
228,8368
228,8370
228,8371
228,8372
228,8373
228,8374
228,8375
228,8376
228,8377
228,8378
228,8379
228,8380
228,8381
228,8382
228,8384
228,8385
228,8404
228,8408
228,8410
228,8411
228,8412
228,8413
228,8414
228,8415
228,8416
228,8417
228,8418
228,8419
228,8420
228,8421
228,8422
228,8423
228,8424
228,8425
228,8426
228,8427
228,8428
228,8429
228,8430
228,8431
228,8433
228,8434
228,8435
228,8436
228,8437
228,8438
228,8439
228,8440
228,8441
228,8443
228,8444
228,8445
228,8446
228,8447
228,8448
228,8449
228,8450
228,8451
228,8452
228,8453
228,8454
228,8455
228,8457
228,8460
228,8461
228,8462
228,8463
228,8464
228,8465
228,8466
228,8467
228,8468
228,8469
228,8470
228,8471
228,8473
228,8474
228,8476
228,8477
228,8478
228,8479
228,8481
228,8482
228,8484
228,8487
228,8489
228,8490
228,8491
228,8492
228,8493
228,8494
228,8495
228,8496
228,8497
228,8498
228,8499
228,8500
228,8501
228,8502
228,8503
228,8504
228,8505
228,8506
228,8507
228,8508
228,8509
228,8510
228,8511
228,8512
228,8513
228,8514
228,8515
228,8516
228,8517
228,8518
228,8519
228,8520
228,8521
228,8522
228,8523
228,8524
228,8525
228,8526
228,8527
228,8528
228,8529
228,8530
228,8531
228,8532
228,8533
228,8535
228,8536
228,8537
228,8538
228,8539
228,8540
228,8543
228,8562
228,8563
228,8565
228,8566
228,8567
228,8568
228,8569
228,8570
228,8571
228,8572
228,8573
228,8574
228,8575
228,8576
228,8577
228,8578
228,8579
228,8580
228,8581
228,8582
228,8583
228,8584
228,8585
228,8586
228,8587
228,8588
228,8589
228,8590
228,8591
228,8592
228,8593
228,8594
228,8595
228,8596
228,8598
228,8599
228,8600
228,8601
228,8602
228,8603
228,8605
228,8606
228,8608
228,8610
228,8611
228,8612
228,8613
228,8614
228,8615
228,8616
228,8617
228,8618
228,8620
228,8621
228,8622
228,8623
228,8624
228,8625
228,8628
228,8629
228,8632
228,8633
228,8635
228,8636
228,8638
228,8639
228,8642
228,8644
228,8645
228,8646
228,8648
228,8649
228,8650
228,8651
228,8652
228,8653
228,8655
228,8656
228,8657
228,8659
228,8660
228,8671
228,8675
228,8677
228,8678
228,8680
228,8682
228,8685
228,8686
228,8689
228,8691
228,8692
228,8693
228,8695
228,8696
228,8698
228,8701
228,8706
228,8708
228,8711
228,8715
228,8716
228,8717
228,8720
228,8724
228,8725
228,8726
228,8727
228,8728
228,8729
228,8730
228,8731
228,8732
228,8734
228,8736
228,8738
228,8739
228,8740
228,8741
228,8742
228,8743
228,8745
228,8746
228,8747
228,8748
228,8749
228,8750
228,8751
228,8752
229,509
229,510
229,511
230,504
231,126
231,151
231,155
231,159
231,161
231,274
231,277
232,505
233,510
235,517
235,518
235,519
235,520
235,522
235,523
235,524
235,527
235,528
235,530
235,531
235,532
235,533
235,534
235,543
236,544
236,545
236,546
236,547
236,548
236,549
236,550
236,551
236,552
236,553
236,554
236,558
236,559
236,560
236,561
237,566
237,567
237,569
237,570
237,571
237,573
237,575
237,576
237,577
237,578
237,579
237,580
237,2706
238,703
238,705
238,707
238,709
238,710
238,711
238,772
238,774
239,703
239,707
239,708
239,711
239,772
239,774
240,827
241,27
241,31
241,32
241,33
241,35
241,36
241,37
241,38
241,702
241,703
241,712
241,716
241,717
241,721
241,724
241,725
241,726
241,727
241,728
241,731
241,732
241,761
241,764
241,767
241,768
241,770
241,771
241,772
241,774
241,775
241,776
242,27
242,31
242,32
242,33
242,35
242,36
242,37
242,38
242,704
242,705
242,712
242,716
242,717
242,721
242,724
242,725
242,726
242,727
242,728
242,731
242,732
242,760
242,762
242,763
242,765
242,766
242,767
242,768
242,770
242,771
242,772
242,774
242,775
242,776
243,705
243,707
243,708
243,711
243,772
243,774
244,705
245,27
245,31
245,32
245,33
245,35
245,36
245,37
245,38
245,704
245,705
245,712
245,716
245,717
245,721
245,724
245,725
245,726
245,727
245,728
245,731
245,732
245,762
245,765
245,766
245,768
245,770
245,771
245,772
245,774
245,775
245,776
246,27
246,31
246,32
246,33
246,35
246,36
246,37
246,38
246,702
246,703
246,712
246,716
246,717
246,721
246,724
246,725
246,726
246,727
246,728
246,731
246,732
246,764
246,767
246,768
246,770
246,771
246,772
246,774
246,775
246,776
247,27
247,31
247,32
247,33
247,35
247,36
247,37
247,38
247,704
247,705
247,712
247,716
247,717
247,720
247,724
247,725
247,726
247,727
247,730
247,733
247,734
247,736
247,737
247,738
247,741
247,742
247,762
247,765
247,766
247,768
247,770
247,771
247,772
247,774
247,775
247,776
248,27
248,31
248,32
248,33
248,35
248,36
248,37
248,38
248,702
248,703
248,712
248,716
248,717
248,720
248,724
248,725
248,726
248,727
248,730
248,733
248,734
248,736
248,737
248,738
