TestNo,TestName
1,org.apache.commons.collections4.ArrayStackTest[testPushPeekPop]
2,org.apache.commons.collections4.ArrayStackTest[testNewStack]
3,org.apache.commons.collections4.ArrayStackTest[testSearch]
4,org.apache.commons.collections4.ArrayStackTest[testListHashCode]
5,org.apache.commons.collections4.ArrayStackTest[testListGetByIndex]
6,org.apache.commons.collections4.ArrayStackTest[testUnsupportedSet]
7,org.apache.commons.collections4.ArrayStackTest[testListListIterator]
8,org.apache.commons.collections4.ArrayStackTest[testFullListCompatibility]
9,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testListHashCode]
10,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testUnsupportedSet]
11,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testListListIterator]
12,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testListListIteratorByIndex]
13,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testEmptyListSerialization]
14,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testFullListSerialization]
15,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testEmptyListCompatibility]
16,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testFullListCompatibility]
17,org.apache.commons.collections4.list.AbstractListTest$BulkTestSubList[testListSubListFailFastOnAdd]
18,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testRemoveThenSet]
19,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testWalkForwardAndBack]
20,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testAddThenRemove]
21,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testAddThenSet]
22,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testEmptyListIteratorIsIndeedEmpty]
23,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testAdd]
24,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testSet]
25,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testEmptyIterator]
26,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testFullIterator]
27,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testRemove]
28,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testObjectEqualsSelf]
29,org.apache.commons.collections4.list.AbstractListTest$TestListIterator[testEqualsNull]
