TestNo,MutantNo
1,324
1,343
1,346
1,352
1,353
1,359
1,366
1,1486
1,1490
1,1491
1,1492
1,1494
1,1496
1,1497
1,1500
1,1503
1,1505
1,1516
1,1518
1,1519
1,1520
1,1522
1,1524
1,1525
1,1526
1,1575
1,1579
1,1582
1,1586
1,1591
1,1594
1,1595
1,1596
1,1605
1,1617
1,1621
1,1622
1,1628
1,1631
1,1636
1,1642
1,1643
1,1644
1,1645
1,1648
1,1650
1,1662
1,1673
1,1675
1,1676
1,1677
1,1678
1,1679
1,1680
1,1681
1,1682
1,1683
1,1684
1,1685
1,1686
1,1687
1,1688
1,1690
1,1691
1,1692
1,1693
1,1694
1,1695
1,1696
1,1697
1,1698
1,1700
1,1701
1,1702
1,1703
1,1704
1,1705
1,1706
1,1707
1,1708
1,1709
1,1710
1,1711
1,1714
1,1715
1,1716
1,1717
1,1721
1,1723
1,1724
1,1725
1,1727
1,1729
1,1730
1,1731
1,1732
1,1733
1,1735
1,1738
1,1742
1,1744
1,1745
1,1746
1,1747
1,1749
1,1750
1,1751
1,1752
1,3924
1,3926
1,3965
1,3987
1,5347
1,5348
1,5349
1,5350
1,5351
1,5352
1,5353
1,5354
1,5355
1,5356
1,5357
1,5358
1,5359
1,5360
1,5361
1,5362
1,5363
1,5364
1,5365
1,5366
1,9053
1,9054
2,324
2,343
2,352
2,353
2,359
2,366
2,1486
2,1490
2,1491
2,1492
2,1494
2,1496
2,1497
2,1500
2,1503
2,1505
2,1519
2,1522
2,1524
2,1525
2,1526
2,1575
2,1579
2,1582
2,1586
2,1591
2,1595
2,1596
2,1598
2,1599
2,1600
2,1601
2,1602
2,1603
2,1606
2,1608
2,1612
2,1615
2,1618
2,1619
2,1714
2,1715
2,1716
2,1717
2,1721
2,1722
2,1723
2,1724
2,1725
2,1727
2,1729
2,1730
2,1731
2,1732
2,1733
2,1735
2,1738
2,1742
2,1744
2,1745
2,1746
2,1747
2,1749
2,1750
2,1752
2,1753
2,3924
2,3926
2,3965
2,5347
2,5348
2,5349
2,5350
2,5351
2,5352
2,5353
2,5354
2,5355
2,5356
2,5357
2,5358
2,5359
2,5360
2,5361
2,5362
2,5363
2,5364
2,5365
2,5366
2,9053
2,9054
3,324
3,343
3,346
3,352
3,353
3,359
3,366
3,1486
3,1490
3,1491
3,1492
3,1494
3,1496
3,1497
3,1500
3,1502
3,1503
3,1504
3,1505
3,1519
3,1522
3,1523
3,1524
3,1525
3,1526
3,1575
3,1579
3,1582
3,1586
3,1591
3,1595
3,1596
3,1598
3,1599
3,1601
3,1602
3,1603
3,1606
3,1608
3,1612
3,1615
3,1618
3,1619
3,1714
3,1715
3,1716
3,1721
3,1722
3,1723
3,1724
3,1725
3,1726
3,1727
3,1728
3,1729
3,1730
3,1731
3,1732
3,1733
3,1738
3,1742
3,1744
3,1745
3,1746
3,1747
3,1748
3,1749
3,1750
3,1751
3,1752
3,1753
3,1754
3,3924
3,3926
3,3965
3,5347
3,5348
3,5350
3,5351
3,5352
3,5353
3,5354
3,5355
3,5356
3,5357
3,5358
3,5359
3,5360
3,5362
3,5363
3,5364
3,5365
3,5366
3,9053
3,9054
4,324
4,343
4,346
4,352
4,353
4,359
4,366
4,1490
4,1491
4,1494
4,1497
4,1505
4,1516
4,1517
4,1518
4,1519
4,1520
4,1522
4,1523
4,1524
4,1525
4,1526
4,1575
4,1592
4,1593
4,3924
4,3926
4,3965
4,5347
4,5348
4,5349
4,5350
4,5351
4,5352
4,5353
4,5354
4,5355
4,5356
4,5357
4,5358
