MutantNo,[FAIL | TIME | EXC | LIVE]
324,FAIL
325,LIVE
326,LIVE
327,LIVE
328,LIVE
329,LIVE
330,LIVE
331,LIVE
332,LIVE
333,LIVE
334,LIVE
335,LIVE
336,LIVE
337,LIVE
338,LIVE
339,LIVE
340,LIVE
341,LIVE
342,LIVE
343,FAIL
344,LIVE
345,LIVE
346,FAIL
347,LIVE
348,LIVE
349,LIVE
350,LIVE
351,LIVE
352,FAIL
353,FAIL
354,LIVE
355,LIVE
356,LIVE
357,LIVE
358,LIVE
359,FAIL
360,LIVE
361,LIVE
362,LIVE
363,LIVE
364,LIVE
365,LIVE
366,FAIL
367,LIVE
368,LIVE
369,LIVE
370,LIVE
371,LIVE
372,LIVE
373,LIVE
374,LIVE
397,LIVE
398,LIVE
399,LIVE
400,LIVE
401,LIVE
402,LIVE
403,LIVE
404,LIVE
405,LIVE
406,LIVE
407,LIVE
564,LIVE
565,LIVE
566,LIVE
567,LIVE
568,LIVE
569,LIVE
570,LIVE
571,LIVE
572,LIVE
573,LIVE
574,LIVE
575,LIVE
576,LIVE
577,LIVE
578,LIVE
579,LIVE
580,LIVE
581,LIVE
582,LIVE
583,LIVE
584,LIVE
585,LIVE
586,LIVE
587,LIVE
588,LIVE
589,LIVE
590,LIVE
591,LIVE
592,LIVE
593,LIVE
1486,FAIL
1487,LIVE
1488,LIVE
1489,FAIL
1490,FAIL
1491,FAIL
1492,FAIL
1493,LIVE
1494,FAIL
1495,LIVE
1496,FAIL
1497,FAIL
1498,LIVE
1499,LIVE
1500,FAIL
1501,LIVE
1502,FAIL
1503,FAIL
1504,FAIL
1505,FAIL
1506,LIVE
1507,LIVE
1508,LIVE
1509,LIVE
1510,LIVE
1511,LIVE
1512,LIVE
1513,LIVE
1514,LIVE
1515,LIVE
1516,FAIL
1517,FAIL
1518,FAIL
1519,FAIL
1520,FAIL
1521,LIVE
1522,FAIL
1523,FAIL
1524,FAIL
1525,FAIL
1526,FAIL
1527,LIVE
1528,LIVE
1529,LIVE
1530,LIVE
1531,LIVE
1532,LIVE
1533,LIVE
1534,LIVE
1535,LIVE
1536,LIVE
1537,LIVE
1538,LIVE
1539,LIVE
1540,LIVE
1541,LIVE
1542,LIVE
1543,LIVE
1544,LIVE
1545,LIVE
1546,LIVE
1547,LIVE
1548,LIVE
1549,LIVE
1550,LIVE
1551,LIVE
1552,LIVE
1553,LIVE
1554,LIVE
1555,LIVE
1556,LIVE
1557,LIVE
1558,LIVE
1559,LIVE
1560,LIVE
1561,LIVE
1562,LIVE
1563,LIVE
1564,LIVE
1565,LIVE
1566,LIVE
1567,LIVE
1568,LIVE
1569,LIVE
1570,LIVE
1571,LIVE
1572,LIVE
1573,LIVE
1574,LIVE
1575,FAIL
1576,LIVE
1577,LIVE
1578,LIVE
1579,FAIL
1580,LIVE
1581,LIVE
1582,FAIL
1583,LIVE
1584,LIVE
1585,LIVE
1586,FAIL
1587,LIVE
1588,LIVE
1589,LIVE
1590,LIVE
1591,FAIL
1592,FAIL
1593,FAIL
1594,FAIL
1595,FAIL
1596,FAIL
1597,LIVE
1598,FAIL
1599,FAIL
1600,FAIL
1601,FAIL
1602,FAIL
1603,FAIL
1604,LIVE
1605,FAIL
1606,FAIL
1607,LIVE
1608,FAIL
1609,LIVE
1610,LIVE
1611,LIVE
1612,FAIL
1613,LIVE
1614,LIVE
1615,FAIL
1616,LIVE
1617,FAIL
1618,FAIL
1619,FAIL
1620,FAIL
1621,FAIL
1622,FAIL
1623,LIVE
1624,FAIL
1625,FAIL
1626,FAIL
1627,FAIL
1628,FAIL
1629,FAIL
1630,LIVE
1631,FAIL
1632,FAIL
1633,FAIL
1634,FAIL
1635,LIVE
1636,FAIL
1637,LIVE
1638,LIVE
1639,LIVE
1640,LIVE
1641,LIVE
1642,FAIL
1643,FAIL
1644,FAIL
1645,FAIL
1646,LIVE
1647,LIVE
1648,FAIL
1649,LIVE
1650,FAIL
1651,LIVE
1652,LIVE
1660,LIVE
1661,LIVE
1662,FAIL
1663,LIVE
1671,LIVE
1672,LIVE
1673,FAIL
1674,LIVE
1675,FAIL
1676,FAIL
1677,FAIL
1678,FAIL
1679,FAIL
1680,FAIL
1681,FAIL
1682,FAIL
1683,FAIL
1684,FAIL
1685,FAIL
1686,FAIL
1687,FAIL
1688,FAIL
1689,LIVE
1690,FAIL
1691,FAIL
1692,FAIL
1693,FAIL
1694,FAIL
1695,FAIL
1696,FAIL
1697,FAIL
1698,FAIL
1699,LIVE
1700,FAIL
1701,FAIL
1702,FAIL
1703,FAIL
1704,FAIL
1705,FAIL
1706,FAIL
1707,FAIL
1708,FAIL
1709,FAIL
1710,FAIL
1711,FAIL
1714,FAIL
1715,FAIL
1716,FAIL
1717,FAIL
1718,LIVE
1719,LIVE
1720,LIVE
1721,FAIL
1722,FAIL
1723,FAIL
1724,FAIL
1725,FAIL
1726,FAIL
1727,FAIL
1728,FAIL
1729,FAIL
1730,FAIL
1731,FAIL
1732,FAIL
1733,FAIL
1734,LIVE
1735,FAIL
1736,LIVE
1737,LIVE
1738,FAIL
1739,LIVE
1740,LIVE
1741,LIVE
1742,FAIL
1743,LIVE
1744,FAIL
1745,FAIL
1746,FAIL
1747,FAIL
1748,FAIL
1749,FAIL
1750,FAIL
1751,FAIL
1752,FAIL
1753,FAIL
1754,FAIL
3750,FAIL
3751,FAIL
3752,FAIL
3753,FAIL
3754,LIVE
3755,FAIL
3756,FAIL
3757,LIVE
3758,LIVE
3759,LIVE
3760,FAIL
3761,FAIL
3762,FAIL
3763,FAIL
3764,FAIL
3765,FAIL
3766,FAIL
3767,FAIL
3768,FAIL
3769,LIVE
3770,FAIL
3771,FAIL
3772,FAIL
3923,LIVE
3924,FAIL
3925,LIVE
3926,FAIL
3927,LIVE
3928,LIVE
3937,LIVE
3938,LIVE
3939,LIVE
3940,LIVE
3941,LIVE
3942,LIVE
3943,LIVE
3944,LIVE
3945,LIVE
3946,LIVE
3964,LIVE
3965,FAIL
3966,LIVE
3967,LIVE
3968,LIVE
3969,LIVE
3970,LIVE
3971,LIVE
3972,LIVE
3973,LIVE
3974,LIVE
3975,LIVE
3976,LIVE
3977,LIVE
3978,LIVE
3979,LIVE
3980,LIVE
3981,LIVE
3982,LIVE
3983,LIVE
3984,LIVE
3985,LIVE
3986,LIVE
3987,FAIL
3988,LIVE
3989,LIVE
3990,LIVE
3991,LIVE
3992,LIVE
3993,LIVE
3994,LIVE
3995,LIVE
3996,LIVE
3997,LIVE
3998,LIVE
5347,FAIL
5348,FAIL
5349,FAIL
5350,FAIL
5351,FAIL
5352,FAIL
5353,FAIL
5354,FAIL
5355,FAIL
5356,FAIL
5357,FAIL
5358,FAIL
5359,FAIL
5360,FAIL
5361,FAIL
5362,FAIL
5363,FAIL
5364,FAIL
5365,FAIL
5366,FAIL
5367,FAIL
5368,FAIL
5369,FAIL
5370,FAIL
5371,FAIL
5372,FAIL
5373,FAIL
5374,FAIL
5375,FAIL
5376,FAIL
5377,FAIL
5378,FAIL
5379,FAIL
5380,FAIL
5381,FAIL
5382,FAIL
5383,FAIL
5384,FAIL
5385,FAIL
5386,FAIL
5387,FAIL
5388,FAIL
5389,FAIL
5390,FAIL
5391,FAIL
5392,FAIL
5393,FAIL
5394,FAIL
5395,FAIL
5396,FAIL
5397,FAIL
5398,FAIL
5399,FAIL
5400,FAIL
5401,FAIL
5402,FAIL
5403,FAIL
5404,FAIL
5405,FAIL
5406,FAIL
5407,FAIL
5408,FAIL
5409,FAIL
5410,FAIL
5411,FAIL
5412,FAIL
5413,FAIL
5414,FAIL
5415,FAIL
5416,FAIL
5417,FAIL
5418,FAIL
5419,FAIL
5420,FAIL
5421,FAIL
6678,FAIL
6679,FAIL
6738,FAIL
6739,FAIL
6740,FAIL
6741,FAIL
6742,FAIL
6743,FAIL
6744,FAIL
6745,FAIL
6746,FAIL
6747,FAIL
6748,FAIL
6749,FAIL
6750,FAIL
6751,FAIL
6752,FAIL
6753,FAIL
6754,FAIL
6755,FAIL
6756,FAIL
6757,FAIL
6758,FAIL
6759,FAIL
6760,FAIL
6761,FAIL
6777,FAIL
6778,FAIL
6779,FAIL
6780,FAIL
6781,FAIL
6782,FAIL
6783,FAIL
6784,FAIL
6785,FAIL
6786,FAIL
6787,FAIL
6788,FAIL
6789,FAIL
6790,FAIL
6791,FAIL
6792,FAIL
6793,FAIL
6794,FAIL
6795,FAIL
6796,FAIL
6797,FAIL
6798,FAIL
6799,FAIL
6800,FAIL
6851,FAIL
6852,FAIL
6853,FAIL
6854,FAIL
6855,FAIL
6856,FAIL
6857,FAIL
6858,FAIL
6859,FAIL
6860,FAIL
6861,FAIL
6862,FAIL
6863,FAIL
6864,FAIL
6865,FAIL
6866,FAIL
6867,FAIL
6868,FAIL
6869,FAIL
6870,FAIL
6871,FAIL
6872,FAIL
6874,FAIL
6875,FAIL
6876,FAIL
6877,FAIL
6878,FAIL
6879,FAIL
6880,FAIL
6881,FAIL
6882,FAIL
6883,FAIL
6884,FAIL
6885,FAIL
6886,FAIL
6887,FAIL
6888,FAIL
6889,FAIL
9053,FAIL
9054,FAIL
