CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
121326,1,1,134,413,413,134,107,26,1,678,413
225891,2,1,14,348,348,148,179,44,2,664,761
335462,3,1,7,348,348,155,254,63,3,657,1109
421792,4,1,3,269,269,158,289,78,3,654,1378
439546,5,2,18,69,69,176,296,91,3,636,1447
478912,6,3,16,71,71,192,309,94,3,620,1518
596801,7,16,10,354,354,202,385,114,4,610,1872
651470,8,19,7,69,69,209,387,119,5,603,1941
1540409,9,23,174,224,224,383,387,236,84,429,2165
1996050,10,25,8,77,77,391,387,294,103,421,2242
3771558,11,604,117,308,308,508,387,585,120,304,2550
3960353,12,2660,37,38,38,545,387,586,157,267,2588
