TestNo,TestName
1,com.music.LengthTest[lengthToNextDownBeatSevenEightsTest]
2,com.music.LengthTest[lengthToNextDownBeatEightSixteenthsTest]
3,com.music.LengthTest[lengthToNextDownBeatFourQuartersTest]
4,com.music.LengthTest[lengthToNextDownBeatSimpleMetreTest]
5,com.music.LengthTest[retrogradeTest]
6,com.music.websocket.GameTest[derivedMetreTest]
7,com.music.LengthTest[lengthToNextDownBeatSixEightsTest]
8,com.music.websocket.GameTest[gameInitializedTest]
9,com.music.websocket.GameTest[gameStartedTest]
10,com.music.websocket.GameTest[playerJoinedTest]
11,com.music.websocket.GameTest[gameFinishedTest]
12,com.music.SentimentAnalyzerTest[testSentimentAnalyzer]
