TestNo,MutantNo
1,13
1,14
1,15
1,16
1,107
1,108
1,109
1,111
1,112
1,113
1,114
1,115
1,116
1,117
1,118
1,119
1,120
1,121
1,122
1,123
1,124
1,135
1,136
1,137
1,138
1,139
1,140
1,141
1,142
1,143
1,152
1,153
1,154
1,155
1,159
1,160
1,161
1,162
1,163
1,164
1,165
1,166
1,167
1,168
1,169
1,170
1,173
1,174
1,175
1,176
1,177
1,178
1,179
1,180
1,181
1,182
1,183
1,184
1,185
1,186
1,187
1,188
1,189
1,190
1,191
1,192
1,195
2,107
2,108
2,109
2,110
2,111
2,112
2,113
3,13
3,14
3,15
3,16
3,107
3,108
3,109
3,111
3,112
3,113
3,114
3,115
3,116
3,117
3,118
3,119
3,120
3,121
3,122
3,123
3,124
3,125
3,126
3,127
3,128
3,129
3,152
3,153
3,154
3,155
3,159
3,160
3,161
3,162
3,163
3,164
3,165
3,166
3,167
3,168
3,169
3,170
3,173
3,174
3,175
3,176
3,177
3,178
3,179
3,180
3,181
3,182
3,183
3,184
3,185
3,186
3,187
3,188
3,189
3,190
3,191
3,192
3,195
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,10
4,13
4,14
4,15
4,16
4,46
4,48
4,49
4,50
4,51
4,52
4,54
4,55
4,56
4,57
4,58
4,59
4,62
4,63
4,64
4,65
4,70
4,71
4,72
4,73
4,74
4,75
4,76
4,77
4,78
4,79
4,80
4,81
4,82
4,89
4,90
4,99
4,100
4,101
4,102
4,103
4,104
4,107
4,108
4,109
4,110
4,111
4,112
4,113
4,114
4,115
4,116
4,117
4,118
4,119
4,120
4,121
4,122
4,123
4,124
4,125
4,126
4,127
4,128
4,129
4,146
4,147
4,152
4,153
4,154
4,155
4,156
4,157
4,158
4,159
4,160
4,161
4,162
4,163
4,164
4,165
4,166
4,167
4,168
4,169
4,170
4,173
4,174
4,175
4,176
4,177
4,178
4,179
4,180
4,181
4,182
4,183
4,184
4,185
4,186
4,187
4,188
4,189
4,190
4,191
4,192
4,195
5,107
5,108
5,109
5,110
5,111
5,112
5,113
6,107
6,108
6,109
6,110
6,111
6,112
6,113
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,13
7,14
7,15
7,16
7,17
7,19
7,20
7,21
7,22
7,25
7,26
7,27
7,28
7,30
7,31
7,32
7,33
7,34
7,35
7,36
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,45
7,89
7,90
7,91
7,92
7,93
7,94
7,107
7,108
7,109
7,111
7,112
7,113
7,114
7,115
7,116
7,117
7,118
7,119
7,120
7,121
7,122
7,123
7,124
7,135
7,136
7,137
7,138
7,146
7,147
7,148
7,152
7,153
7,154
7,155
7,159
7,160
7,161
7,162
7,163
7,164
7,165
7,166
7,167
7,168
7,169
7,170
7,173
7,174
7,175
7,176
7,177
7,178
7,179
7,180
7,181
7,182
7,183
7,184
7,185
7,186
7,187
7,188
7,189
7,190
7,191
7,192
7,195
8,107
8,108
8,109
8,110
8,111
8,112
8,113
9,107
9,108
9,109
9,111
9,112
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,10
10,13
10,14
10,15
10,16
10,46
10,48
10,49
10,50
10,51
10,52
10,54
10,55
10,56
10,57
10,58
10,59
10,62
10,63
10,66
10,67
10,69
10,70
10,71
10,72
10,73
10,74
10,75
10,76
10,77
10,78
10,79
10,80
10,81
10,82
10,89
10,90
10,99
10,100
10,101
10,102
10,103
10,104
10,107
10,108
10,109
10,110
10,111
10,112
10,113
10,114
10,115
10,116
10,117
10,118
10,119
10,120
10,121
10,122
10,123
10,124
10,125
10,126
10,127
10,128
10,129
10,146
10,147
10,152
10,153
10,154
10,155
10,156
10,157
10,158
10,159
10,160
10,161
10,162
10,163
10,164
10,165
10,166
10,167
10,168
10,169
10,170
10,173
10,174
10,175
10,176
10,177
10,178
10,179
10,180
10,181
10,182
10,183
10,184
10,185
10,186
10,187
10,188
10,189
10,190
10,191
10,192
10,195
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,13
11,14
11,15
11,16
11,17
11,19
11,20
11,21
11,22
11,25
11,26
11,27
11,28
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,39
11,40
11,41
11,42
11,43
11,45
11,89
11,90
11,91
11,92
11,93
11,94
11,107
11,108
11,109
11,111
11,112
11,113
11,114
11,115
11,116
11,117
11,118
11,119
11,120
11,121
11,122
11,123
11,124
11,135
11,136
11,137
11,138
11,146
11,147
11,148
11,152
11,153
11,154
11,155
11,159
11,160
11,161
11,162
11,163
11,164
11,165
11,166
11,167
11,168
11,169
11,170
11,173
11,174
11,175
11,176
11,177
11,178
11,179
11,180
11,181
11,182
11,183
11,184
11,185
11,186
11,187
11,188
11,189
11,190
11,191
11,192
11,195
12,89
13,89
13,90
14,107
14,108
14,109
14,111
14,112
14,113
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,12
15,13
15,14
15,15
15,16
15,84
15,85
15,86
15,87
15,88
15,89
15,90
15,107
15,108
15,109
15,111
15,112
15,113
15,114
15,115
15,116
15,117
15,149
15,150
15,151
15,152
15,153
15,154
15,155
15,156
15,157
15,158
15,159
15,160
15,161
15,162
15,163
15,164
15,165
15,166
15,167
15,168
15,169
15,170
15,173
15,174
15,175
15,176
15,177
15,178
15,179
15,180
15,181
15,182
15,183
15,184
15,185
15,186
15,187
15,188
15,189
15,190
15,191
15,192
15,195
16,13
16,14
16,15
16,16
16,107
16,108
16,109
16,111
16,112
16,113
16,114
16,115
16,116
16,117
16,152
16,153
16,154
16,155
16,159
16,160
16,161
16,162
16,163
16,164
16,165
16,166
16,167
16,168
16,169
16,170
16,173
16,174
16,175
16,176
16,177
16,178
16,179
16,180
16,181
16,182
16,183
16,184
16,185
16,186
16,187
16,188
16,189
16,190
16,191
16,192
16,194
17,13
17,14
17,15
17,16
17,107
17,108
17,109
17,111
17,112
17,113
17,114
17,115
17,116
17,117
17,152
17,153
17,154
17,155
17,159
17,160
17,161
17,162
17,163
17,164
17,165
17,166
17,167
17,168
17,169
17,170
17,173
17,174
17,175
17,176
17,177
17,178
17,179
17,180
17,181
17,182
17,183
17,184
17,185
17,186
17,187
17,188
17,189
17,190
17,191
17,192
17,194
18,13
18,14
18,15
18,16
18,107
18,108
18,109
18,111
18,112
18,113
18,114
18,115
18,116
18,117
18,152
18,153
18,154
18,155
18,159
18,160
18,161
18,162
18,163
18,164
18,165
18,166
18,167
18,168
18,169
18,170
18,173
18,174
18,175
18,176
18,177
18,178
18,179
18,180
18,181
18,182
18,183
18,184
18,185
18,186
18,187
18,188
18,189
18,190
18,191
18,192
18,193
19,13
19,14
19,15
19,16
19,107
19,108
19,109
19,111
19,112
19,113
19,114
19,115
19,116
19,117
19,152
19,153
19,154
19,155
19,159
19,160
19,161
19,162
19,163
19,164
19,165
19,166
19,167
19,168
19,169
19,170
19,173
19,174
19,175
19,176
19,177
19,178
19,179
19,180
19,181
19,182
19,183
19,184
19,185
19,186
19,187
19,188
19,189
19,190
19,191
19,192
19,193
20,13
20,14
20,15
20,16
20,152
20,153
20,154
20,155
20,156
20,157
20,158
20,159
20,160
20,161
20,162
20,163
20,164
20,165
20,166
20,167
20,168
20,169
20,170
20,171
20,172
20,173
20,174
20,175
20,176
20,177
20,178
