TestNo,TestName
1,org.ebaysf.web.cors.CORSFilterTest[testCheckActualRequestTypeMethodPOSTNotSimpleHeaders]
2,org.ebaysf.web.cors.CORSFilterTest[testJoinPipeSeparator]
3,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeEmptyHeaders]
4,org.ebaysf.web.cors.CORSFilterTest[testDoFilterPreflightAnyOrigin]
5,org.ebaysf.web.cors.CORSFilterTest[testJoinOneNullElement]
6,org.ebaysf.web.cors.CORSFilterTest[testJoinSepNull]
7,org.ebaysf.web.cors.CORSFilterTest[testDoFilterSimpleHEAD]
8,org.ebaysf.web.cors.CORSFilterTest[testJoin]
9,org.ebaysf.web.cors.CORSFilterTest[testJoinAllNullElements]
10,org.ebaysf.web.cors.CORSFilterTest[testDoFilterPreflightWithoutCredentialsAndSpecificOrigin]
11,org.ebaysf.web.cors.CORSFilterTest[testDoFilterSimpleAnyOriginAndSupportsCredentials]
12,org.ebaysf.web.cors.CORSFilterTest[testDecorateCORSPropertiesNullRequestValidCORSRequestType]
13,org.ebaysf.web.cors.CORSFilterTest[testDecorateCORSPropertiesValidRequestNullRequestType]
14,org.ebaysf.web.cors.CORSFilterTest[testJoinSingleElement]
15,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeOriginNotAllowed]
16,org.ebaysf.web.cors.CORSFilterTest[testCheckInvalidCRLF1]
17,org.ebaysf.web.cors.CORSFilterTest[testCheckInvalidCRLF2]
18,org.ebaysf.web.cors.CORSFilterTest[testCheckInvalidCRLF3]
19,org.ebaysf.web.cors.CORSFilterTest[testCheckInvalidCRLF4]
20,org.ebaysf.web.cors.CORSFilterTest[testWithStringParserEmpty]
21,org.ebaysf.web.cors.CORSFilterTest[testJoinAllEmptyElements]
22,org.ebaysf.web.cors.CORSFilterTest[testDecorateCORSPropertiesCORSRequestTypeInvalidCORS]
23,org.ebaysf.web.cors.CORSFilterTest[testInitDefaultFilterConfig]
24,org.ebaysf.web.cors.CORSFilterTest[testDoFilterPreflightNegativeMaxAge]
25,org.ebaysf.web.cors.CORSFilterTest[testDoFilterPreflightInvalidOrigin]
26,org.ebaysf.web.cors.CORSFilterTest[testDecorateCORSPropertiesCORSRequestTypeNotCORS]
27,org.ebaysf.web.cors.CORSFilterTest[testCheckInvalidOriginNotAllowedSubdomain]
28,org.ebaysf.web.cors.CORSFilterTest[testWithFilterConfig]
29,org.ebaysf.web.cors.CORSFilterTest[testJoinElementsNull]
30,org.ebaysf.web.cors.CORSFilterTest[testCheckActualRequestType]
31,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeUnsupportedRequestHeaders]
32,org.ebaysf.web.cors.CORSFilterTest[testInValidOriginEncodedCRLF1]
33,org.ebaysf.web.cors.CORSFilterTest[testInValidOriginEncodedCRLF2]
34,org.ebaysf.web.cors.CORSFilterTest[testInValidOriginEncodedCRLF3]
35,org.ebaysf.web.cors.CORSFilterTest[testCheckForPortVariance]
36,org.ebaysf.web.cors.CORSFilterTest[testDecorateCORSPropertiesNullRequestNullCORSRequestType]
37,org.ebaysf.web.cors.CORSFilterTest[testInValidOriginCRLF]
38,org.ebaysf.web.cors.CORSFilterTest[testDoFilterInvalidCORSOriginNotAllowed]
39,org.ebaysf.web.cors.CORSFilterTest[testDoFilterSimpleSpecificHeader]
40,org.ebaysf.web.cors.CORSFilterTest[testInitInvalidFilterConfig]
41,org.ebaysf.web.cors.CORSFilterTest[testDestroy]
42,org.ebaysf.web.cors.CORSFilterTest[testDoFilterNullRequestResponse]
43,org.ebaysf.web.cors.CORSFilterTest[testCheckSimpleRequestTypeAnyOrigin]
44,org.ebaysf.web.cors.CORSFilterTest[testDoFilterSimpleAnyOriginAndSupportsCredentialsDisabled]
45,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestType]
46,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeNoHeaders]
47,org.ebaysf.web.cors.CORSFilterTest[testValidOrigin]
48,org.ebaysf.web.cors.CORSFilterTest[testDoFilterNullRequestNullResponse]
49,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeAnyOriginNoWithCredentials]
50,org.ebaysf.web.cors.CORSFilterTest[testDoFilterNullOrigin]
51,org.ebaysf.web.cors.CORSFilterTest[testCheckNotCORSRequestTypeEmptyOrigin]
52,org.ebaysf.web.cors.CORSFilterTest[testDoFilterSimpleWithExposedHeaders]
53,org.ebaysf.web.cors.CORSFilterTest[testCheckForSchemeVariance]
54,org.ebaysf.web.cors.CORSFilterTest[testDoFilterSimplePOST]
55,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeEmptyACRM]
56,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeInvalidRequestMethod]
57,org.ebaysf.web.cors.CORSFilterTest[testDoFilterPreflight]
58,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeNoACRM]
59,org.ebaysf.web.cors.CORSFilterTest[testWithFilterConfigInvalidPreflightAge]
60,org.ebaysf.web.cors.CORSFilterTest[testNotPreflight]
61,org.ebaysf.web.cors.CORSFilterTest[testCheckRequestTypeNull]
62,org.ebaysf.web.cors.CORSFilterTest[testDoFilterPreflightWithCredentials]
63,org.ebaysf.web.cors.CORSFilterTest[testCheckPreFlightRequestTypeUnsupportedRequestMethod]
64,org.ebaysf.web.cors.CORSFilterTest[testCheckInvalidRequestMethod]
65,org.ebaysf.web.cors.CORSFilterTest[testWithStringParserNull]
66,org.ebaysf.web.cors.CORSFilterTest[testCheckSimpleRequestType]
67,org.ebaysf.web.cors.CORSFilterTest[testDoFilterRequestNullResponse]
68,org.ebaysf.web.cors.CORSFilterTest[testDecorateRequestDisabled]
69,org.ebaysf.web.cors.CORSFilterTest[testCheckInvalidOrigin]
70,org.ebaysf.web.cors.CORSFilterTest[testNotSimple]
71,org.ebaysf.web.cors.CORSFilterTest[testDoFilterSimpleGET]
72,org.ebaysf.web.cors.CORSFilterTest[testCheckNullRequestMethod]
