TestNo,MutantNo
1,73
1,74
1,75
1,76
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
5,1
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,37
5,38
5,42
5,43
5,45
5,46
5,47
5,48
5,49
5,50
5,51
5,52
5,53
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
5,67
5,68
5,69
5,70
5,71
5,72
5,73
5,74
5,75
5,76
5,77
5,78
5,79
5,82
5,83
5,89
5,90
5,91
5,92
5,93
5,94
5,96
5,97
5,99
5,100
5,102
5,103
5,104
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,18
6,19
6,20
6,21
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,28
7,29
8,1
8,2
8,3
8,4
8,5
8,6
8,7
8,8
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
9,37
9,38
9,42
9,43
9,53
9,54
9,55
9,56
9,57
9,58
9,59
9,60
9,61
9,67
9,68
9,69
9,70
9,72
9,73
9,74
9,75
9,76
9,77
9,78
9,79
9,82
9,83
9,89
9,90
9,91
9,92
9,93
9,94
9,96
9,97
9,99
9,100
9,102
9,103
9,104
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,16
10,17
10,30
10,31
10,32
11,73
11,74
11,75
11,76
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,14
13,15
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,12
14,13
14,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,37
14,38
14,42
14,43
14,45
14,46
14,47
14,48
14,49
14,50
14,51
14,52
14,53
14,54
14,55
14,56
14,57
14,58
14,59
14,60
14,61
14,62
14,67
14,68
14,69
14,70
14,71
14,72
14,73
14,74
14,75
14,76
14,77
14,78
14,79
14,82
14,83
14,89
14,90
14,91
14,92
14,93
14,94
14,96
14,97
14,99
14,100
14,102
14,103
14,104
15,37
15,38
15,42
15,43
15,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
15,67
15,68
15,69
15,70
15,72
15,73
15,74
15,75
15,76
15,77
15,78
15,79
15,82
15,83
15,89
15,90
15,91
15,92
15,93
15,94
15,96
15,97
15,99
15,100
15,102
15,103
15,104
