TestNo,TestName
1,com.hubspot.dropwizard.guice.HK2LinkerTest[explicitGuiceBindingsAreBridgedToHk2]
2,com.hubspot.dropwizard.guice.InjectedResourcesTest[shouldGetJitMessage]
3,com.hubspot.dropwizard.guice.AutoConfigTest[addInjectableHealthChecks]
4,com.hubspot.dropwizard.guice.AutoConfigTest[interfaceResourcesNotAdded]
5,com.hubspot.dropwizard.guice.InjectedIntegrationTest[shouldGetJitMessage]
6,com.hubspot.dropwizard.guice.AutoConfigTest[addProviders]
7,com.hubspot.dropwizard.guice.AutoConfigTest[addTasks]
8,com.hubspot.dropwizard.guice.AutoConfigTest[addManaged]
9,com.hubspot.dropwizard.guice.GuiceBundleTest[serviceLocatorIsAvaliable]
10,com.hubspot.dropwizard.guice.AutoConfigTest[addBundlesDuringBootStrap]
11,com.hubspot.dropwizard.guice.HK2LinkerTest[jitGuiceBindingsAreBridgedToHk2]
12,com.hubspot.dropwizard.guice.InjectedResourcesTest[shouldGetExplicitMessage]
13,com.hubspot.dropwizard.guice.AutoConfigTest[addResources]
14,com.hubspot.dropwizard.guice.InjectedIntegrationTest[shouldGetExplicitMessage]
15,com.hubspot.dropwizard.guice.GuiceBundleTest[createsInjectorWhenInit]
