TestNo,MutantNo
1,50
1,52
1,53
1,54
1,55
1,57
1,59
1,70
1,71
1,72
1,73
1,77
1,96
1,97
1,98
1,99
1,102
1,535
1,536
1,537
1,538
1,540
1,541
1,542
1,543
1,544
1,545
1,546
1,547
1,548
1,549
1,550
1,551
1,554
1,555
1,556
1,557
1,558
1,559
1,560
1,561
1,562
1,565
1,566
1,567
1,568
1,569
1,570
1,571
1,574
1,576
1,579
1,583
1,585
1,590
1,593
1,596
1,598
1,599
1,600
1,601
1,603
1,605
1,610
1,611
1,612
1,614
1,615
1,616
1,617
1,618
1,619
1,620
1,624
1,625
1,626
1,629
1,630
1,631
1,632
1,633
1,634
1,635
1,636
1,637
1,638
1,639
1,640
1,641
1,642
1,643
1,644
1,646
1,647
1,648
1,649
1,650
1,651
1,652
1,656
1,665
1,666
1,673
1,674
1,675
1,677
1,678
1,679
1,680
1,681
1,683
1,684
1,685
1,686
1,691
1,698
1,701
1,702
1,703
1,704
1,705
1,706
1,707
1,708
1,709
1,710
1,711
1,712
1,713
1,714
1,715
1,716
1,718
1,720
1,721
1,722
1,723
1,725
1,726
1,729
1,734
1,735
1,736
1,737
1,738
1,739
1,740
1,741
1,742
1,744
1,745
1,748
1,749
1,756
1,759
1,760
1,761
1,767
1,768
1,2205
1,2208
1,2216
1,2219
2,50
2,52
2,53
2,54
2,55
2,57
2,59
2,70
2,71
2,72
2,73
2,74
2,77
2,96
2,97
2,98
2,99
2,102
2,536
2,537
2,538
2,540
2,541
2,542
2,543
2,544
2,545
2,549
2,553
2,756
2,759
2,760
2,761
2,767
2,768
2,2240
2,2242
2,2243
2,2244
2,2245
2,2246
2,2247
2,2250
2,2251
2,2252
2,2253
2,2254
2,2255
2,2256
2,2257
2,2258
2,2259
2,2260
2,2262
2,2263
2,2264
2,2265
2,2266
2,2267
2,2268
2,2269
2,2270
2,2271
2,2272
2,2273
3,50
3,52
3,53
3,54
3,55
3,57
3,59
3,70
3,71
3,72
3,73
3,77
3,96
3,97
3,98
3,99
3,102
3,535
3,536
3,537
3,538
3,540
3,541
3,542
3,543
3,544
3,545
3,546
3,547
3,548
3,549
3,550
3,551
3,554
3,555
3,556
3,557
3,558
3,559
3,560
3,561
3,562
3,565
3,566
3,567
3,568
3,569
3,570
3,573
3,576
3,578
3,579
3,580
3,581
3,583
3,585
3,590
3,593
3,596
3,598
3,599
3,600
3,601
3,603
3,605
3,610
3,611
3,612
3,614
3,615
3,616
3,617
3,618
3,619
3,620
3,624
3,625
3,626
3,629
3,630
3,631
3,632
3,633
3,634
3,635
3,636
3,637
3,638
3,639
3,640
3,641
3,642
3,643
3,644
3,646
3,647
3,648
3,649
3,650
3,651
3,652
3,656
3,665
3,666
3,673
3,674
3,675
3,676
3,677
3,678
3,679
3,681
3,682
3,683
3,684
3,685
3,686
3,691
3,698
3,701
3,702
3,703
3,704
3,705
3,706
3,707
3,708
3,709
3,710
3,711
3,712
3,713
3,714
3,715
3,716
3,718
3,720
3,721
3,722
3,723
3,725
3,726
3,729
3,734
3,735
3,736
3,737
3,738
3,739
3,740
3,741
3,742
3,744
3,745
3,748
3,749
3,756
3,759
3,760
3,761
3,767
3,768
3,2205
3,2208
3,2216
3,2219
4,96
4,97
4,98
4,99
4,102
4,139
4,147
4,149
4,151
4,152
4,153
4,154
4,159
4,160
4,161
4,162
4,163
4,164
4,165
4,166
4,167
4,172
4,173
4,174
4,175
4,176
4,177
4,179
4,180
4,181
4,182
4,183
4,184
4,185
4,190
4,191
4,192
4,194
4,195
4,196
4,197
4,198
4,216
4,217
4,218
4,220
4,221
4,222
4,224
4,225
4,226
4,227
4,228
4,229
4,230
4,231
4,232
4,233
4,234
4,236
4,238
4,240
4,257
4,259
4,264
4,266
4,267
4,268
4,269
4,270
4,271
4,273
4,275
4,276
4,277
4,278
4,279
4,280
4,282
4,283
4,284
4,285
4,286
4,287
4,288
4,289
4,290
4,295
4,296
4,298
4,300
4,302
4,321
4,322
4,332
4,333
4,334
4,337
4,339
4,340
4,342
4,343
4,344
4,347
4,348
4,352
4,355
4,356
4,357
4,363
4,366
4,369
4,370
4,371
4,377
5,96
5,97
5,98
5,99
5,102
5,139
5,147
5,149
5,156
5,158
5,164
5,165
5,166
5,167
5,172
5,173
5,174
5,175
5,176
5,178
5,198
5,329
5,330
5,331
5,349
6,216
6,217
6,219
6,230
6,231
6,234
6,235
6,236
6,238
6,240
6,257
6,259
6,265
6,270
6,271
6,273
6,275
6,276
6,277
6,278
6,279
6,281
6,292
6,294
6,298
6,300
6,302
6,329
6,330
6,331
6,348
6,349
6,352
6,355
6,356
6,357
6,363
6,366
6,369
6,370
6,371
6,377
7,50
7,52
7,53
7,54
7,55
7,57
7,59
7,77
7,96
7,97
7,98
7,99
7,102
7,394
7,395
7,396
7,399
7,402
7,403
7,404
7,410
7,411
7,1125
7,1126
7,1127
7,1128
7,1129
7,1130
7,1131
7,1133
7,1135
7,1297
7,1300
7,1301
7,1302
7,1308
7,1311
7,1314
7,1315
7,1316
7,1322
7,1325
7,1328
7,1329
7,1330
7,1336
7,2240
7,2242
7,2243
7,2244
7,2245
7,2246
7,2247
7,2250
7,2251
7,2252
7,2253
7,2254
7,2255
7,2256
7,2257
7,2258
7,2259
7,2260
7,2262
7,2263
7,2264
7,2265
7,2266
7,2267
7,2268
7,2269
7,2270
7,2271
7,2272
7,2273
8,1071
8,1072
8,1073
8,1074
8,1075
8,1076
8,1077
8,1078
8,1079
8,1080
8,1081
8,1082
8,1089
8,1090
8,1091
8,1094
8,1095
8,1096
8,1097
8,1098
8,1099
8,1100
8,1101
8,1102
8,1104
8,1105
8,1106
8,1108
8,1109
8,1110
8,1111
8,1112
8,1113
8,1114
8,1115
8,1116
8,1117
8,1118
8,1119
8,1120
8,1121
8,1122
8,1123
8,1124
9,1039
9,1040
9,1043
9,1044
9,1045
9,1046
9,1048
9,1049
9,1050
10,1038
10,1039
10,1041
10,1043
10,1044
10,1045
10,1047
10,1048
10,1049
10,1050
10,1051
10,1070
11,1042
12,972
12,973
12,974
12,975
12,976
12,977
12,978
12,979
12,980
12,981
12,983
12,984
12,985
12,986
12,987
12,988
12,989
12,990
12,991
12,992
12,993
12,995
12,996
12,997
12,998
12,999
12,1000
12,1003
12,1004
12,1005
12,1007
12,1008
12,1011
12,1013
12,1018
12,1021
12,1022
12,1023
12,1029
12,1038
12,1039
