TestNo,MutantNo
1,32
1,35
1,37
1,39
1,42
1,44
1,45
1,46
2,32
2,35
2,37
2,39
2,42
2,44
2,45
2,46
3,32
3,35
3,37
3,39
3,42
3,44
3,45
3,46
4,32
4,35
4,37
4,39
4,42
4,44
4,45
4,46
5,47
5,48
5,97
5,629
5,1490
5,27299
5,29536
6,97
6,629
6,1490
6,2612
6,27299
6,31248
6,31249
7,97
7,629
7,1490
7,2612
7,27299
7,31248
7,31249
8,97
8,629
8,1490
8,2612
8,27299
8,31248
8,31249
9,12
9,17
9,22
9,28
9,32
9,35
9,37
9,39
9,42
9,44
9,45
9,46
10,6
10,39359
10,39363
10,39366
10,39368
10,39370
10,39373
10,39375
10,39376
10,39377
10,39378
13,97
13,629
13,1490
13,2612
13,27299
13,31248
13,31249
14,97
14,629
14,1490
14,27299
14,29536
