TestNo,TestName
1,com.evernote.auth.EvernoteAuthTest[testExtractWebApiUrl]
2,com.evernote.auth.EvernoteAuthTest[testExtractNoteStoreUrl]
3,com.evernote.auth.EvernoteAuthTest[testExtractUserId]
4,com.evernote.auth.EvernoteAuthTest[testExtractToken]
5,com.evernote.clients.BusinessNoteStoreClientTest[testCreateNotebook]
6,com.evernote.clients.LinkedNoteStoreClientTest[testListNotebooks]
7,com.evernote.clients.LinkedNoteStoreClientTest[testCreateNote]
8,com.evernote.clients.LinkedNoteStoreClientTest[testGetCorrespondingNotebook]
9,com.evernote.auth.EvernoteAuthTest[testParseOAuthResponse]
10,com.evernote.clients.ClientFactoryTest[testGenerateUserAgent]
11,com.evernote.clients.UserStoreClientTest[testWrappedMethods]
12,com.evernote.clients.NoteStoreClientTest[testWrappedMethods]
13,com.evernote.clients.LinkedNoteStoreClientTest[testIsNotebookWritable]
14,com.evernote.clients.BusinessNoteStoreClientTest[testListNotebooks]
