TestNo,MutantNo
1,8752
1,8753
1,8758
1,8759
1,8760
1,8761
1,8762
1,8763
1,8764
1,8765
1,8766
1,8767
1,8768
1,8769
1,8770
1,8771
1,8772
1,8773
2,8752
2,8753
2,8758
2,8759
2,8760
2,8761
3,8752
3,8753
3,8758
3,8759
3,8760
3,8761
3,8762
3,8763
3,8764
3,8765
3,8766
3,8767
3,8768
3,8769
3,8770
3,8771
4,8752
4,8753
4,8758
4,8759
4,8760
4,8761
4,8762
4,8763
4,8764
4,8765
4,8766
4,8767
4,8768
4,8769
5,8752
5,8753
5,8758
5,8759
5,8776
5,8777
5,8778
5,8779
5,8780
5,8781
6,8752
6,8753
6,8758
6,8759
6,8760
6,8761
6,8762
6,8763
6,8764
6,8765
7,8752
7,8753
7,8758
7,8759
7,8776
7,8777
7,8778
7,8779
10,8752
10,8753
10,8758
10,8759
10,8760
10,8761
10,8762
10,8763
11,8752
11,8753
11,8758
11,8759
11,8776
11,8777
11,8778
11,8779
11,8780
11,8781
12,4864
12,4865
13,725
13,726
13,727
13,728
13,729
13,730
13,731
13,732
13,733
13,741
13,825
13,826
13,827
13,1137
13,1138
13,1642
13,1643
13,4301
13,4302
13,8677
13,9035
13,9036
13,9059
13,9060
13,9061
13,9137
13,9138
13,9139
13,9140
13,9141
13,9142
13,9143
13,9144
13,9145
13,10178
13,10179
13,10180
13,10181
13,10182
13,10186
13,10187
13,10188
13,10189
13,10193
13,10194
13,10195
13,10196
14,725
14,726
14,727
14,728
14,729
14,730
14,731
14,732
14,733
14,741
14,825
14,826
14,827
14,1137
14,1138
14,1642
14,1643
14,4301
14,4302
14,8677
14,9035
14,9036
14,9059
14,9060
14,9061
14,9137
14,9138
14,9139
14,9140
14,9141
14,9142
14,9143
14,9144
14,9145
14,10178
14,10179
14,10180
14,10181
14,10182
14,10183
14,10184
14,10185
14,10186
14,10187
14,10188
14,10189
14,10193
14,10194
14,10195
14,10196
15,725
15,726
15,727
15,728
15,729
15,730
15,731
15,732
15,733
15,741
15,825
15,826
15,827
15,1137
15,1138
15,1642
15,1643
15,4301
15,4302
15,4321
15,4322
15,4324
15,4325
15,4341
15,4342
15,4343
15,4344
15,4345
15,4347
15,4348
15,4349
15,4350
15,4356
15,4357
15,4361
15,4362
15,4365
15,4366
15,4447
15,4502
15,4510
15,4511
15,4512
15,4513
15,4514
15,4515
15,4516
15,4517
15,4528
15,4529
15,4530
15,4531
15,4532
15,4533
15,4535
15,4536
15,4537
15,4538
15,4539
15,4540
15,4864
15,4865
15,8677
15,9035
15,9036
15,9059
15,9060
15,9061
15,9137
15,9138
15,9139
15,9140
15,9141
15,9142
15,9143
15,9144
15,9145
15,10253
15,10254
15,10255
15,10256
15,10257
15,10258
15,10259
15,10260
15,10261
15,10262
15,10263
15,10264
15,10265
15,10266
15,10267
15,10268
15,10269
15,10270
15,10271
15,10272
15,10273
15,10274
15,10275
15,10276
15,10277
15,10278
15,10279
15,10280
15,10281
15,10282
15,10283
15,10284
