MutantNo,[FAIL | TIME | EXC | LIVE]
17,FAIL
18,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
53,FAIL
54,FAIL
55,FAIL
56,FAIL
57,FAIL
58,FAIL
59,FAIL
60,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
75,FAIL
76,LIVE
77,LIVE
78,FAIL
79,LIVE
80,FAIL
81,LIVE
82,LIVE
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
725,FAIL
726,FAIL
727,FAIL
728,FAIL
729,FAIL
730,FAIL
731,FAIL
732,FAIL
733,FAIL
741,FAIL
816,FAIL
825,FAIL
826,FAIL
827,FAIL
1137,FAIL
1138,FAIL
1642,FAIL
1643,FAIL
1864,FAIL
1865,FAIL
1866,FAIL
1901,FAIL
1904,FAIL
2651,FAIL
2652,FAIL
2653,FAIL
2654,FAIL
2655,FAIL
2656,FAIL
2691,FAIL
2692,FAIL
2693,FAIL
2694,FAIL
2695,FAIL
2696,FAIL
2697,FAIL
2698,FAIL
2699,FAIL
2700,FAIL
2701,FAIL
2702,FAIL
2703,FAIL
2704,FAIL
2705,FAIL
3115,FAIL
3116,FAIL
3117,FAIL
3118,FAIL
3119,LIVE
3120,FAIL
3121,FAIL
3122,LIVE
3123,LIVE
3124,LIVE
3125,FAIL
3126,LIVE
3127,LIVE
3128,LIVE
3129,FAIL
3447,FAIL
3448,FAIL
3449,FAIL
3450,FAIL
3489,FAIL
3490,FAIL
3491,FAIL
3492,FAIL
3493,FAIL
3494,FAIL
3495,FAIL
3496,FAIL
3497,FAIL
3498,FAIL
4301,FAIL
4302,FAIL
4321,FAIL
4322,FAIL
4324,FAIL
4325,FAIL
4341,FAIL
4342,FAIL
4343,FAIL
4344,FAIL
4345,FAIL
4347,FAIL
4348,FAIL
4349,FAIL
4350,FAIL
4356,FAIL
4357,FAIL
4361,FAIL
4362,FAIL
4365,FAIL
4366,FAIL
4447,FAIL
4502,FAIL
4510,FAIL
4511,FAIL
4512,FAIL
4513,FAIL
4514,FAIL
4515,FAIL
4516,FAIL
4517,FAIL
4528,FAIL
4529,FAIL
4530,FAIL
4531,FAIL
4532,FAIL
4533,FAIL
4535,FAIL
4536,FAIL
4537,FAIL
4538,FAIL
4539,FAIL
4540,FAIL
4562,FAIL
4563,FAIL
4593,FAIL
4692,FAIL
4693,FAIL
4694,FAIL
4695,FAIL
4696,FAIL
4699,LIVE
4701,LIVE
4702,LIVE
4703,LIVE
4704,FAIL
4705,LIVE
4706,FAIL
4708,FAIL
4710,FAIL
4712,FAIL
4714,FAIL
