CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
154,1,1,22,38,38,22,0,22,0,1017,38
226,2,1,0,21,21,22,0,24,0,1017,59
288,3,1,1,21,21,23,0,26,0,1016,80
400,4,1,13,32,32,36,11,29,0,1003,112
510,5,1,0,32,32,36,19,34,0,1003,144
559,6,1,1,12,12,37,21,38,0,1002,156
594,7,1,1,12,12,38,23,42,0,1001,168
659,8,1,0,22,22,38,31,43,0,1001,190
739,9,1,2,24,24,40,39,46,0,999,214
832,10,1,1,31,31,41,45,52,0,998,245
849,11,1,1,5,5,42,45,53,0,997,250
27621,12,1,242,633,633,284,65,276,13,755,883
62016,13,1,96,744,744,380,110,565,31,659,1627
96139,14,1,0,744,744,380,155,854,49,659,2371
119766,15,1,0,552,552,380,161,1059,57,659,2923
135997,16,1,12,421,421,392,163,1234,65,647,3344
153161,17,1,0,421,421,392,165,1409,73,647,3765
163412,18,1,20,289,289,412,175,1520,74,627,4054
174685,19,1,14,303,303,426,190,1640,75,613,4357
186401,20,1,2,306,306,428,205,1760,76,611,4663
212082,21,1,26,525,525,454,218,1931,81,585,5188
230845,22,1,7,525,525,461,220,2118,88,578,5713
252404,23,1,4,524,524,465,224,2281,88,574,6237
281917,24,1,9,587,587,474,224,2510,103,565,6824
303858,25,1,24,441,441,498,250,2651,111,541,7265
321519,26,1,0,441,441,498,275,2784,119,541,7706
341744,27,1,2,529,529,500,287,2969,126,539,8235
371992,28,1,6,659,659,506,300,3240,141,533,8894
398490,29,1,0,545,545,506,309,3462,154,533,9439
421682,30,1,2,590,590,508,339,3692,168,531,10029
457289,31,1,0,739,739,508,385,3968,189,531,10768
489583,32,1,0,637,637,508,408,4184,202,531,11405
508114,33,1,0,385,385,508,418,4316,207,531,11790
526736,34,1,2,537,537,510,425,4524,214,529,12327
561629,35,1,1,724,724,511,461,4787,231,528,13051
601811,36,1,18,763,763,529,515,5075,255,510,13814
646559,37,1,0,763,763,529,569,5363,279,510,14577
680026,38,1,0,774,774,529,627,5674,307,510,15351
715741,39,1,0,735,735,529,668,5955,328,510,16086
757747,40,1,5,746,746,534,689,6235,356,505,16832
791780,41,1,0,601,601,534,710,6473,369,505,17433
812592,42,1,15,499,499,549,717,6648,376,490,17932
844281,43,1,1,744,744,550,762,6923,397,489,18676
882526,44,1,3,763,763,553,816,7221,421,486,19439
921826,45,1,2,763,763,555,870,7528,445,484,20202
944471,46,1,0,583,583,555,887,7745,458,484,20785
954255,47,1,0,289,289,555,897,7856,459,484,21074
965021,48,1,0,303,303,555,917,7969,460,484,21377
975913,49,1,0,303,303,555,932,8089,461,484,21680
987031,50,1,2,292,292,557,933,8213,462,482,21972
999299,51,1,0,292,292,557,934,8337,463,482,22264
1009442,52,1,0,240,240,557,935,8437,463,482,22504
1020226,53,1,0,240,240,557,938,8537,463,482,22744
1043460,54,1,2,432,432,559,948,8582,463,480,23176
1059571,55,1,1,432,432,560,958,8628,463,479,23608
1075157,56,1,0,432,432,560,968,8673,463,479,24040
1094245,57,1,0,464,464,560,976,8731,463,479,24504
1114659,58,1,0,451,451,560,979,8780,463,479,24955
1147392,59,1,21,640,640,581,1016,8998,477,458,25595
1185153,60,1,11,641,641,592,1029,9240,490,447,26236
1210229,61,1,1,599,599,593,1038,9479,501,446,26835
1235416,62,1,0,624,624,593,1047,9724,514,446,27459
1256305,63,1,0,484,484,593,1051,9884,514,446,27943
1292152,64,1,0,699,699,593,1061,10157,532,446,28642
1292422,65,1,0,10,10,593,1061,10157,532,446,28652
1292750,66,1,4,10,10,597,1061,10161,532,442,28662
1319071,67,1,4,486,486,601,1065,10331,532,438,29148
1347989,68,1,1,617,617,602,1084,10556,542,437,29765
1365643,69,1,3,524,524,605,1094,10748,549,434,30289
1386009,70,1,9,530,530,614,1108,10940,556,425,30819
1414195,71,1,0,599,599,614,1116,11178,566,425,31418
1441362,72,1,7,519,519,621,1128,11383,578,418,31937
1483338,73,1,14,731,731,635,1144,11663,597,404,32668
1500477,74,1,0,503,503,635,1151,11866,604,404,33171
1523775,75,1,0,569,569,635,1159,12075,616,404,33740
1547330,76,1,0,530,530,635,1167,12275,624,404,34270
1575514,77,1,0,569,569,635,1176,12485,636,404,34839
1604005,78,1,0,519,519,635,1188,12692,648,404,35358
1636213,79,1,3,689,689,638,1206,12949,666,401,36047
1664218,80,1,0,692,692,638,1220,13211,682,401,36739
1689559,81,1,0,562,562,638,1234,13449,694,401,37301
1718201,82,1,0,583,583,638,1249,13687,707,401,37884
1745174,83,1,0,491,491,638,1258,13901,718,401,38375
1773143,84,1,0,496,496,638,1270,14120,732,401,38871
1791878,85,1,0,496,496,638,1282,14339,746,401,39367
1812081,86,1,0,480,480,638,1290,14544,757,401,39847
1840319,87,1,0,613,613,638,1299,14771,770,401,40460
1864120,88,1,0,482,482,638,1307,14974,781,401,40942
1892300,89,1,0,529,529,638,1314,15190,788,401,41471
1922472,90,1,1,620,620,639,1334,15417,802,400,42091
1933902,91,1,2,404,404,641,1340,15571,802,398,42495
1943178,92,1,8,284,284,649,1361,15678,804,390,42779
1943862,93,1,8,35,35,657,1369,15679,804,382,42814
1962840,94,1,0,486,486,657,1371,15842,809,382,43300
1991082,95,1,0,615,615,657,1391,16073,822,382,43915
2026506,96,1,0,715,715,657,1410,16349,839,382,44630
2030735,97,1,1,121,121,658,1410,16360,839,381,44751
2061435,98,1,2,707,707,660,1429,16616,857,379,45458
2075311,99,1,0,418,418,660,1431,16788,865,379,45876
2102548,100,1,2,652,652,662,1448,17054,881,377,46528
2117857,101,1,0,396,396,662,1448,17106,881,377,46924
2150174,102,1,26,676,676,688,1457,17350,893,351,47600
2169506,103,1,5,402,402,693,1457,17407,893,346,48002
2184965,104,1,4,419,419,697,1459,17585,902,342,48421
2198391,105,1,4,419,419,701,1461,17765,910,338,48840
2213170,106,1,4,419,419,705,1463,17943,918,334,49259
2228583,107,1,3,419,419,708,1465,18121,926,331,49678
2245513,108,1,3,419,419,711,1467,18299,934,328,50097
2267620,109,1,0,495,495,711,1474,18471,939,328,50592
2286466,110,1,0,419,419,711,1476,18649,947,328,51011
2319158,111,1,0,727,727,711,1499,18912,965,328,51738
2336064,112,1,0,523,523,711,1506,19100,972,328,52261
2355601,113,1,5,564,564,716,1508,19318,980,323,52825
2369590,114,1,0,409,409,716,1514,19477,981,323,53234
2380272,115,1,0,277,277,716,1531,19582,983,323,53511
2401648,116,1,0,448,448,716,1555,19721,992,323,53959
2413470,117,1,0,282,282,716,1567,19828,994,323,54241
2444988,118,1,0,719,719,716,1595,20101,1012,323,54960
2460028,119,1,2,459,459,718,1595,20303,1021,321,55419
2480600,120,1,0,566,566,718,1595,20545,1030,321,55985
2499295,121,1,0,463,463,718,1595,20757,1039,321,56448
2529461,122,1,0,657,657,718,1598,20985,1053,321,57105
2566864,123,1,2,752,752,720,1598,21271,1073,319,57857
2593771,124,1,0,746,746,720,1611,21562,1091,319,58603
2613890,125,1,6,564,564,726,1619,21778,1099,313,59167
2636306,126,1,0,564,564,726,1619,21994,1107,313,59731
2654166,127,1,0,419,419,726,1621,22178,1115,313,60150
2676633,128,1,3,524,524,729,1623,22378,1122,310,60674
2698356,129,1,4,567,567,733,1623,22597,1131,306,61241
2720915,130,1,2,586,586,735,1636,22837,1151,304,61827
2742266,131,1,8,533,533,743,1646,23030,1164,296,62360
2760203,132,1,1,456,456,744,1653,23195,1171,295,62816
2763787,133,1,1,121,121,745,1656,23205,1171,294,62937
2773546,134,1,1,263,263,746,1656,23248,1171,293,63200
2783708,135,1,0,263,263,746,1656,23291,1171,293,63463
2794123,136,1,0,263,263,746,1657,23334,1171,293,63726
2820719,137,1,0,525,525,746,1669,23505,1177,293,64251
2835766,138,1,0,495,495,746,1676,23673,1182,293,64746
2854490,139,1,0,545,545,746,1703,23885,1189,293,65291
2875160,140,1,0,529,529,746,1720,24063,1194,293,65820
2897178,141,1,0,529,529,746,1737,24242,1199,293,66349
2921953,142,1,0,529,529,746,1749,24434,1206,293,66878
2949377,143,1,0,555,555,746,1770,24645,1216,293,67433
2968575,144,1,0,570,570,746,1797,24862,1225,293,68003
2989867,145,1,0,570,570,746,1824,25075,1234,293,68573
3013838,146,1,0,570,570,746,1851,25288,1243,293,69143
3017231,147,1,1,120,120,747,1854,25303,1243,292,69263
3034235,148,1,0,385,385,747,1864,25435,1248,292,69648
3034790,149,1,1,21,21,748,1868,25435,1248,291,69669
