TestNo,TestName
1,com.jakewharton.fliptables.FlipTableTest[headerNewlineFirstLineShort]
2,com.jakewharton.fliptables.FlipTableTest[rowColumnMismatchThrowsWhenMore]
3,com.jakewharton.fliptables.FlipTableTest[nullDataThrows]
4,com.jakewharton.fliptables.FlipTableTest[nullHeadersThrows]
5,com.jakewharton.fliptables.FlipTableTest[empty]
6,com.jakewharton.fliptables.FlipTableTest[emptyHeadersThrows]
7,com.jakewharton.fliptables.FlipTableConvertersTest[emptyObjects]
8,com.jakewharton.fliptables.FlipTableTest[dataNewlineFirstLineShort]
9,com.jakewharton.fliptables.FlipTableTest[emptyWide]
10,com.jakewharton.fliptables.FlipTableTest[emptyThinTwoColumns]
11,com.jakewharton.fliptables.FlipTableTest[simple]
12,com.jakewharton.fliptables.FlipTableTest[emptyThinOneColumn]
13,com.jakewharton.fliptables.FlipTableTest[headerNewlineFirstLineLong]
14,com.jakewharton.fliptables.FlipTableConvertersTest[emptyIterator]
15,com.jakewharton.fliptables.FlipTableConvertersTest[simpleResultSet]
16,com.jakewharton.fliptables.FlipTableConvertersTest[simpleObjects]
17,com.jakewharton.fliptables.FlipTableTest[nested]
18,com.jakewharton.fliptables.FlipTableConvertersTest[emptyResultSet]
19,com.jakewharton.fliptables.FlipTableTest[rowColumnMismatchThrowsWhenLess]
20,com.jakewharton.fliptables.FlipTableTest[dataNewlineFirstLineLong]
21,com.jakewharton.fliptables.FlipTableConvertersTest[simpleIterator]
