CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
451,1,1,4,12,12,4,0,4,0,477,12
2364,2,1,22,81,81,26,7,23,0,455,93
5735,3,1,19,138,138,45,23,50,0,436,231
7926,4,1,0,81,81,45,30,69,0,436,312
11706,5,1,0,138,138,45,46,96,0,436,450
12742,6,1,10,52,52,55,55,112,0,426,502
15466,7,1,26,119,119,81,71,138,0,400,621
25393,8,1,78,247,247,159,143,170,8,322,868
25448,9,1,3,6,6,162,146,170,8,319,874
25508,10,1,1,4,4,163,147,170,8,318,878
29605,11,2,16,123,123,179,160,203,12,302,1001
30537,12,2,5,42,42,184,167,216,12,297,1043
30627,13,2,0,15,15,184,175,216,12,297,1058
33918,14,3,0,138,138,184,190,240,12,297,1196
37113,15,3,0,138,138,184,205,264,12,297,1334
45226,16,4,22,207,207,206,237,294,18,275,1541
45263,17,5,0,6,6,206,239,296,18,275,1547
46038,18,16,8,36,36,214,244,307,18,267,1583
48207,19,18,10,82,82,224,258,325,18,257,1665
50610,20,19,3,69,69,227,267,332,18,254,1734
52740,21,19,0,82,82,227,281,350,18,254,1816
54670,22,19,0,66,66,227,281,358,18,254,1882
58300,23,20,1,139,139,228,297,381,18,253,2021
61780,24,20,1,128,128,229,312,401,18,252,2149
62884,25,25,2,41,41,231,314,410,18,250,2190
66712,26,25,2,111,111,233,329,430,18,248,2301
71001,27,25,26,107,107,259,352,447,18,222,2408
78607,28,26,4,183,183,263,414,479,22,218,2591
87505,29,26,0,178,178,263,448,506,26,218,2769
96678,30,26,3,167,167,266,488,525,32,215,2936
111630,31,27,3,247,247,269,558,557,40,212,3183
122714,32,27,4,194,194,273,604,590,44,208,3377
137412,33,29,25,226,226,298,677,617,50,183,3603
147683,34,31,0,171,171,298,681,639,57,183,3774
160017,35,34,0,187,187,298,692,673,65,183,3961
