MutantNo,[FAIL | TIME | EXC | LIVE]
34,LIVE
35,LIVE
36,LIVE
37,LIVE
38,FAIL
39,LIVE
40,LIVE
41,LIVE
42,LIVE
43,FAIL
44,LIVE
45,LIVE
46,FAIL
47,FAIL
48,FAIL
49,FAIL
50,LIVE
52,LIVE
57,FAIL
58,FAIL
59,FAIL
60,FAIL
61,FAIL
62,LIVE
63,LIVE
64,LIVE
65,FAIL
66,LIVE
67,LIVE
68,FAIL
69,LIVE
70,LIVE
71,FAIL
72,LIVE
73,LIVE
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,LIVE
81,FAIL
82,FAIL
83,LIVE
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,LIVE
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,LIVE
106,LIVE
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,FAIL
116,FAIL
117,LIVE
118,LIVE
119,LIVE
120,LIVE
121,LIVE
122,LIVE
123,LIVE
124,LIVE
125,LIVE
126,FAIL
127,LIVE
128,FAIL
129,FAIL
130,LIVE
131,FAIL
132,FAIL
133,LIVE
134,FAIL
135,LIVE
136,FAIL
137,LIVE
138,FAIL
139,LIVE
140,FAIL
141,LIVE
142,FAIL
143,LIVE
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,LIVE
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,FAIL
164,FAIL
165,FAIL
166,LIVE
167,LIVE
168,LIVE
169,LIVE
170,LIVE
171,LIVE
172,LIVE
173,FAIL
184,LIVE
185,LIVE
186,FAIL
187,FAIL
188,LIVE
189,LIVE
192,FAIL
193,LIVE
194,LIVE
203,LIVE
204,FAIL
205,LIVE
214,FAIL
215,FAIL
216,LIVE
217,FAIL
218,LIVE
219,FAIL
220,FAIL
221,LIVE
222,FAIL
224,LIVE
242,FAIL
243,FAIL
244,FAIL
245,LIVE
246,FAIL
247,LIVE
248,LIVE
249,LIVE
250,LIVE
251,FAIL
252,LIVE
259,LIVE
260,LIVE
261,LIVE
262,LIVE
263,LIVE
264,FAIL
266,FAIL
267,LIVE
268,LIVE
270,LIVE
271,LIVE
272,LIVE
273,LIVE
275,LIVE
276,LIVE
277,LIVE
278,LIVE
279,LIVE
280,LIVE
282,LIVE
283,LIVE
284,LIVE
285,LIVE
286,LIVE
287,FAIL
288,FAIL
289,LIVE
290,LIVE
291,FAIL
292,LIVE
293,LIVE
294,FAIL
295,FAIL
296,FAIL
303,LIVE
316,LIVE
317,FAIL
318,LIVE
319,LIVE
320,LIVE
321,LIVE
322,LIVE
323,LIVE
324,LIVE
325,LIVE
326,FAIL
327,LIVE
328,LIVE
329,LIVE
330,LIVE
331,FAIL
332,LIVE
333,LIVE
334,LIVE
335,LIVE
336,LIVE
337,LIVE
338,FAIL
339,LIVE
340,LIVE
341,LIVE
342,LIVE
343,LIVE
344,LIVE
345,LIVE
346,FAIL
347,FAIL
348,LIVE
349,LIVE
350,LIVE
351,LIVE
353,LIVE
355,LIVE
447,FAIL
448,LIVE
449,LIVE
450,LIVE
451,LIVE
452,LIVE
453,FAIL
454,FAIL
455,LIVE
456,FAIL
457,LIVE
458,LIVE
459,FAIL
460,LIVE
461,FAIL
462,LIVE
