TestNo,TestName
1,org.graylog2.GelfMessageMutabilityTest[testMutability]
2,org.graylog2.GelfMessageTest[concatByteArrayTest]
3,org.graylog2.GelfMessageTest[testInvalidLevelMessage]
4,org.graylog2.log.GelfAppenderTest[checkExtendedInformation]
5,org.graylog2.log.GelfAppenderTest[disableExtendedInformation]
6,org.graylog2.GelfMessageTest[testSimpleMessage]
7,org.graylog2.GelfMessageTest[testEmptyShortMessage]
8,org.graylog2.log.GelfAppenderTest[handleNDC]
9,org.graylog2.log.GelfAppenderTest[handleMDCTransform]
10,org.graylog2.log.GelfAppenderTest[ensureHostnameForMessage]
11,org.graylog2.GelfMessageTest[testAdditionalFields]
12,org.graylog2.log.GelfAppenderTest[handleMDC]
13,org.graylog2.log.GelfAppenderTest[testTcpUdpUrls]
14,org.graylog2.GelfMessageMutabilityTest[testJavaImmutableMap]
15,org.graylog2.logging.GelfHandlerTest[testSetAdditionalField]
16,org.graylog2.GelfMessageTest[testAdditionalFieldsIds]
17,org.graylog2.GelfUDPSenderTest[testReopenOfChannel]
18,org.graylog2.log.GelfAppenderTest[handleNullInAppend]
19,org.graylog2.GelfMessageMutabilityTest[testGuavaImmutableMaps]
20,org.graylog2.GelfMessageTest[testSendLongMessage]
