TestNo,MutantNo
1,77
1,78
1,80
1,82
1,164
1,165
1,166
1,169
1,170
1,171
1,177
2,133
2,136
2,139
2,143
2,146
2,149
2,164
2,165
2,166
2,169
2,170
2,171
2,177
2,234
2,236
2,237
2,238
2,312
2,314
2,317
2,319
2,340
2,342
2,344
2,347
2,350
2,354
2,356
2,358
2,361
2,364
2,459
2,461
2,463
2,465
2,534
2,536
2,538
2,540
2,544
2,545
2,546
2,551
2,554
2,596
2,597
2,599
2,605
2,606
2,608
2,627
2,629
2,630
2,640
2,648
2,653
2,661
2,670
2,672
2,677
2,679
2,681
2,683
2,688
2,690
2,692
2,694
2,699
2,701
2,703
2,705
2,710
2,712
2,714
2,720
2,722
2,724
2,726
2,751
2,762
2,768
3,234
3,236
3,267
4,164
4,165
4,166
4,169
4,170
4,171
4,177
4,234
4,236
4,243
4,257
4,258
4,447
4,459
4,461
4,463
4,465
4,475
4,478
4,479
4,510
4,511
4,513
4,515
4,518
4,521
4,522
4,523
4,524
4,527
4,529
4,532
4,796
4,798
4,802
5,234
5,236
5,555
5,557
5,558
5,559
5,560
5,561
5,562
5,565
5,566
5,567
5,568
5,569
5,570
5,571
5,572
5,573
5,574
5,575
5,577
5,578
5,579
5,580
5,581
5,582
5,583
5,584
5,585
5,586
5,587
5,588
6,164
6,165
6,166
6,169
6,170
6,171
6,177
6,234
6,236
6,241
6,242
6,243
6,252
6,253
6,255
6,257
6,258
6,259
6,260
6,261
6,262
6,385
6,386
6,387
6,388
6,390
6,391
6,394
6,396
6,397
6,398
6,400
6,401
6,403
6,405
6,407
6,410
6,413
6,417
6,419
6,421
6,424
6,427
6,432
6,433
6,434
6,435
6,436
6,437
6,438
6,439
6,440
6,441
6,442
6,443
6,444
6,446
6,447
6,448
6,449
6,450
6,451
6,454
6,455
6,456
6,457
6,459
6,461
6,463
6,465
6,466
6,467
6,468
6,469
6,470
6,471
6,475
6,476
6,477
6,478
6,498
6,499
6,500
6,501
6,502
6,510
6,511
6,512
6,513
6,514
6,515
6,516
6,517
6,518
6,519
6,520
6,521
