TestNo,MutantNo
1,300
1,301
1,302
1,303
1,304
1,305
2,300
2,301
2,302
2,303
2,304
2,305
3,300
3,301
3,302
3,303
3,304
3,305
4,301
5,300
5,301
5,302
5,303
5,304
5,305
6,45
6,48
6,50
6,53
6,61
6,63
6,72
7,45
7,48
7,50
7,53
7,61
7,63
8,45
8,48
8,50
8,53
8,61
8,63
9,45
9,48
9,50
9,53
9,61
9,63
10,45
10,48
10,50
10,53
10,55
10,61
10,63
11,45
11,48
11,50
11,53
11,59
11,61
11,63
12,45
12,48
12,50
12,53
12,57
12,61
12,63
13,45
13,48
13,50
13,53
13,61
13,63
14,45
14,48
14,50
14,53
14,61
14,63
14,68
15,45
15,48
15,50
15,53
15,61
15,63
15,66
16,45
16,48
16,50
16,53
16,57
16,61
16,63
17,300
17,301
17,302
17,303
17,304
17,305
18,155
18,156
18,157
18,159
18,160
18,161
18,162
18,163
18,164
18,165
18,166
18,167
18,168
18,271
18,272
18,273
18,274
18,275
18,276
18,277
18,279
18,280
18,281
18,282
18,284
18,285
18,286
18,287
18,288
18,289
18,290
18,291
18,292
18,293
18,300
18,301
18,303
18,304
18,305
19,306
19,307
19,308
19,309
19,310
19,311
19,312
20,271
20,272
20,273
20,274
20,275
20,276
20,277
20,279
20,280
20,281
20,282
20,284
20,285
20,286
20,287
20,288
20,289
20,290
20,291
20,292
20,300
20,301
20,303
20,304
20,305
21,45
21,48
21,50
21,53
21,61
21,63
21,74
22,48
22,53
22,61
22,63
