CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
107,1,1,6,6,6,6,3,3,0,98,6
286,2,1,0,6,6,6,6,6,0,98,12
463,3,1,0,6,6,6,9,9,0,98,18
491,4,1,0,2,2,6,9,10,0,98,20
620,5,2,0,6,6,6,12,13,0,98,26
5894,6,3,7,41,41,13,12,20,0,91,67
10918,7,3,0,41,41,13,12,26,0,91,108
15538,8,3,0,41,41,13,13,31,0,91,149
20219,9,3,0,41,41,13,13,37,0,91,190
24585,10,3,1,41,41,14,13,44,0,90,231
29252,11,3,1,41,41,15,13,51,0,89,272
33987,12,4,1,41,41,16,13,58,0,88,313
39283,13,4,0,41,41,16,13,64,0,88,354
44526,14,4,1,41,41,17,13,71,0,87,395
50028,15,4,1,41,41,18,13,78,0,86,436
54895,16,4,0,41,41,18,13,85,0,86,477
54956,17,4,0,6,6,18,16,88,0,86,483
56752,18,4,34,45,45,52,42,98,3,52,528
56811,19,4,7,7,7,59,49,98,3,45,535
57639,20,19,0,31,31,59,63,108,4,45,566
62022,21,112,1,41,41,60,64,114,4,44,607
68389,22,191,0,52,52,60,64,118,4,44,659
