TestNo,TestName
1,de.kopis.glacier.printers.HumanReadableSizeTest[sanitizeKilobytes]
2,de.kopis.glacier.printers.HumanReadableSizeTest[sanitizeMegabytes]
3,de.kopis.glacier.printers.HumanReadableSizeTest[sanitizeGigabytes]
4,de.kopis.glacier.printers.HumanReadableSizeTest[sanitizeMissingSizeIndicator]
5,de.kopis.glacier.printers.HumanReadableSizeTest[sanitizeBytes]
6,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasActionOptionCalculateHash]
7,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasRequiredVaultOptionWithName]
8,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[acceptsShortcutForVaultOption]
9,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasRequiredEndpointOptionWithUrl]
10,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasActionOptionUpload]
11,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasActionOptionDownload]
12,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasActionOptionListInventoryWithJobId]
13,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasOptionalCredentialsOptionWithFile]
14,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasActionOptionDeleteVault]
15,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasActionOptionCreateVault]
16,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasActionOptionListInventory]
17,de.kopis.glacier.printers.HumanReadableSizeTest[sanitizeKilTerabytes]
18,de.kopis.glacier.printers.VaultInventoryPrinterTest[testPrintInventoryListing]
19,de.kopis.glacier.printers.VaultPrinterTest[testPrintVault]
20,de.kopis.glacier.printers.VaultInventoryPrinterTest[printArchiveSize]
21,de.kopis.glacier.parsers.GlacierUploaderOptionParserTest[hasActionOptionDeleteArchive]
22,de.kopis.glacier.commands.UploadMultipartArchiveCommandTest[parsesFilesWithWhitespaceSuccessfully]
