CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
450,1,1,21,33,33,21,21,0,0,569,33
852,2,1,0,33,33,21,40,0,0,569,66
1346,3,1,32,41,41,53,72,0,0,537,107
8908,4,3,139,461,461,192,145,92,2,398,568
11429,5,3,31,192,192,223,187,132,2,367,760
17849,6,4,6,472,472,229,253,224,4,361,1232
25197,7,4,15,474,474,244,356,317,6,346,1706
33955,8,5,45,509,509,289,436,447,8,301,2215
41297,9,6,9,400,400,298,486,548,10,292,2615
50549,10,6,11,476,476,309,562,643,12,281,3091
62495,11,10,8,518,518,317,623,775,13,273,3609
74608,12,12,8,476,476,325,732,879,15,265,4085
88315,13,14,9,491,491,334,805,981,17,256,4576
117298,14,43,3,515,515,337,889,1116,19,253,5091
131138,15,45,0,529,529,337,1004,1246,21,253,5620
190983,16,175,20,418,418,357,1131,1337,23,233,6038
