MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
7,FAIL
82,LIVE
83,FAIL
84,LIVE
85,LIVE
86,LIVE
87,FAIL
214,FAIL
217,FAIL
218,FAIL
219,FAIL
220,FAIL
221,LIVE
231,FAIL
232,FAIL
233,LIVE
234,FAIL
235,FAIL
249,LIVE
250,FAIL
251,FAIL
252,FAIL
253,FAIL
254,FAIL
255,LIVE
256,FAIL
257,FAIL
258,FAIL
259,FAIL
260,LIVE
261,LIVE
262,FAIL
263,LIVE
264,FAIL
265,FAIL
266,FAIL
267,FAIL
268,LIVE
269,FAIL
270,FAIL
271,FAIL
272,FAIL
273,LIVE
274,FAIL
275,FAIL
276,FAIL
277,FAIL
278,FAIL
279,LIVE
280,LIVE
281,FAIL
282,LIVE
283,LIVE
284,FAIL
285,FAIL
286,LIVE
287,LIVE
288,LIVE
289,LIVE
290,LIVE
291,LIVE
292,FAIL
293,FAIL
294,FAIL
295,FAIL
296,LIVE
297,FAIL
298,FAIL
299,LIVE
300,FAIL
301,FAIL
302,LIVE
303,FAIL
304,FAIL
305,FAIL
306,FAIL
307,LIVE
308,FAIL
309,FAIL
310,LIVE
311,LIVE
312,LIVE
313,LIVE
314,LIVE
315,LIVE
355,FAIL
356,FAIL
357,LIVE
358,LIVE
359,FAIL
396,LIVE
397,LIVE
455,FAIL
456,FAIL
457,FAIL
458,FAIL
459,FAIL
460,FAIL
461,FAIL
462,FAIL
463,FAIL
464,FAIL
465,FAIL
466,FAIL
467,LIVE
468,FAIL
469,FAIL
470,LIVE
471,FAIL
472,FAIL
473,FAIL
474,FAIL
475,FAIL
476,FAIL
477,FAIL
478,FAIL
479,FAIL
480,FAIL
481,LIVE
482,FAIL
483,FAIL
484,LIVE
485,FAIL
486,LIVE
487,FAIL
488,FAIL
489,FAIL
490,LIVE
491,FAIL
492,LIVE
493,FAIL
494,FAIL
495,FAIL
496,LIVE
497,FAIL
498,FAIL
499,FAIL
500,FAIL
501,FAIL
502,FAIL
503,FAIL
504,FAIL
505,FAIL
506,LIVE
507,FAIL
508,FAIL
509,LIVE
510,FAIL
511,FAIL
512,FAIL
513,FAIL
514,LIVE
515,LIVE
516,FAIL
517,FAIL
518,FAIL
547,FAIL
548,FAIL
549,FAIL
550,FAIL
551,FAIL
552,FAIL
553,FAIL
554,FAIL
555,FAIL
556,FAIL
557,FAIL
558,FAIL
559,LIVE
560,LIVE
590,LIVE
591,LIVE
592,LIVE
593,LIVE
594,LIVE
595,FAIL
596,FAIL
597,LIVE
598,LIVE
599,FAIL
600,LIVE
606,LIVE
610,FAIL
628,LIVE
629,FAIL
630,LIVE
631,FAIL
632,FAIL
633,LIVE
634,LIVE
635,LIVE
636,FAIL
637,LIVE
638,FAIL
639,FAIL
640,LIVE
641,FAIL
642,FAIL
643,FAIL
644,LIVE
716,FAIL
717,FAIL
838,FAIL
839,LIVE
840,LIVE
841,LIVE
842,FAIL
843,FAIL
844,FAIL
845,FAIL
846,FAIL
847,FAIL
848,FAIL
931,FAIL
964,FAIL
965,FAIL
966,FAIL
967,FAIL
969,LIVE
980,FAIL
981,LIVE
982,FAIL
983,LIVE
984,LIVE
985,LIVE
990,FAIL
991,FAIL
