CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
2543,1,3,11,14,14,11,6,5,0,217,14
4469,2,3,3,12,12,14,8,6,0,214,26
9357,3,3,6,17,17,20,14,7,1,208,43
41277,4,5,99,153,153,119,72,46,3,109,196
72826,5,7,8,154,154,127,134,85,5,101,350
89381,6,7,0,17,17,127,138,86,6,101,367
89415,7,37,2,2,2,129,138,88,6,99,369
89908,8,136,2,6,6,131,139,89,6,97,375
92002,9,189,1,14,14,132,147,89,6,96,389
93872,10,195,0,12,12,132,149,90,6,96,401
94183,11,201,0,2,2,132,149,90,6,96,403
95148,12,202,5,6,6,137,154,90,6,91,409
128275,13,204,4,163,163,141,216,128,8,87,572
131161,14,229,11,14,14,152,227,128,8,76,586
