TestNo,MutantNo
1,6
1,47
1,147
1,150
1,154
2,3
2,47
2,152
2,155
2,242
3,47
3,151
3,155
3,166
3,167
3,168
3,169
3,170
3,171
3,242
4,47
4,162
5,47
5,59
5,63
5,66
5,67
5,68
5,69
5,70
5,71
5,72
5,73
5,74
5,75
5,76
5,77
5,78
5,79
5,80
5,81
5,82
5,83
5,85
5,86
5,88
5,92
5,93
5,98
5,99
5,100
5,108
5,111
5,113
5,114
5,115
5,116
5,117
5,118
5,242
6,46
7,119
7,122
7,124
7,134
7,135
7,145
8,60
8,61
8,62
8,65
8,99
8,100
8,108
8,111
8,113
8,114
8,115
8,116
8,117
8,118
9,119
9,122
9,124
9,133
9,145
10,63
10,66
10,67
10,68
10,69
10,70
10,71
10,72
10,73
10,74
10,75
10,76
10,77
10,78
10,79
10,80
10,81
10,82
10,83
10,85
10,86
10,88
10,92
10,93
10,98
10,99
10,100
10,108
10,111
10,113
10,114
10,115
10,116
10,117
10,118
11,47
11,59
11,60
11,63
11,66
11,67
11,68
11,69
11,70
11,71
11,72
11,73
11,74
11,75
11,76
11,77
11,78
11,79
11,80
11,81
11,82
11,83
11,85
11,86
11,87
11,88
11,90
11,91
11,92
11,93
11,98
11,99
11,100
11,108
11,111
11,113
11,114
11,115
11,116
11,117
11,118
11,242
12,47
12,151
12,155
12,242
13,243
14,47
14,121
14,124
14,133
14,140
14,141
14,142
14,143
14,144
14,145
15,4
15,47
15,152
15,155
15,166
15,168
15,169
15,170
15,171
15,242
16,47
16,121
16,124
16,133
16,140
16,141
16,142
16,143
16,144
16,145
17,60
17,63
17,66
17,67
17,68
17,69
17,70
17,71
17,72
17,73
17,74
17,75
17,76
17,77
17,78
17,79
17,80
17,81
17,82
17,83
17,85
17,86
17,87
17,88
17,90
17,91
17,92
17,93
17,98
17,99
17,100
17,108
17,111
17,113
17,114
17,115
17,116
17,117
17,118
18,121
18,123
18,125
18,126
18,127
18,128
18,129
18,130
18,131
18,132
18,140
18,141
18,142
18,143
18,144
18,145
19,60
19,61
19,62
19,65
19,99
19,100
19,102
19,103
19,104
19,105
19,106
19,107
19,110
19,118
20,1
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,18
20,21
20,31
20,32
20,33
20,35
20,37
20,42
20,44
20,45
20,46
20,197
20,201
20,202
20,208
20,238
20,247
20,248
20,249
20,250
20,252
20,253
20,256
20,257
20,258
20,259
20,262
20,263
20,266
20,268
20,270
20,271
20,272
20,273
20,280
20,281
21,1
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,18
21,21
21,31
21,32
21,33
21,35
21,37
21,42
21,44
21,45
21,46
21,197
21,201
21,202
21,208
21,238
21,247
21,248
21,249
21,257
21,259
21,262
21,263
21,266
21,268
21,270
21,271
21,272
21,273
21,280
21,281
21,282
22,224
22,225
22,227
22,230
22,234
22,235
22,236
23,119
23,122
23,124
23,133
23,145
24,47
24,162
24,172
24,173
24,174
24,175
24,176
24,177
25,1
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,18
25,21
25,31
25,32
25,33
25,35
25,37
25,42
25,44
25,45
25,46
25,201
25,208
25,238
25,247
25,262
25,263
25,265
25,269
25,280
25,281
26,1
26,2
26,8
26,9
26,10
26,11
26,12
26,13
26,14
26,15
26,16
26,18
26,21
26,31
26,32
26,33
26,38
26,39
26,45
26,46
26,204
26,206
26,212
26,213
26,217
26,220
26,221
26,224
26,225
26,227
26,230
26,234
26,235
26,236
26,238
28,5
28,47
28,147
28,150
28,154
29,1
29,2
29,8
29,9
29,10
29,11
29,12
29,13
29,14
29,15
29,16
29,18
29,21
29,31
29,32
29,33
29,34
29,45
29,46
29,202
29,211
29,213
29,217
29,218
29,238
30,1
30,8
30,9
30,10
30,11
30,12
30,13
30,14
30,15
30,16
30,18
30,21
30,31
30,32
30,33
30,35
30,37
30,41
30,42
30,44
30,45
30,46
30,194
30,195
30,196
30,197
30,201
30,202
30,208
30,238
30,247
30,248
30,249
30,257
30,259
30,262
30,263
30,266
30,268
30,270
30,271
30,272
30,273
30,280
30,281
31,1
31,8
31,9
31,10
31,11
31,12
31,13
31,14
31,15
31,16
31,18
31,21
31,31
31,32
31,33
31,38
31,39
31,45
31,46
31,198
31,200
31,202
31,219
31,221
31,224
31,225
31,227
31,230
31,234
31,235
31,236
31,238
32,1
32,2
32,8
32,9
32,10
32,11
32,12
32,13
32,14
32,15
32,16
32,18
32,21
32,31
32,32
32,33
32,36
32,45
32,46
32,202
32,203
32,210
32,212
32,213
32,217
32,238
32,239
33,1
33,2
33,8
33,9
33,10
33,11
33,12
33,13
33,14
33,15
33,16
33,18
33,21
33,31
33,32
33,33
33,35
33,45
33,46
33,201
33,202
33,207
33,208
33,209
33,212
33,213
33,217
33,238
33,239
34,1
34,8
34,9
34,10
34,11
34,12
34,13
34,14
34,15
34,16
34,18
34,21
34,31
34,32
34,33
34,35
34,40
34,45
34,46
34,178
34,179
34,181
34,182
34,183
34,186
34,190
34,191
34,192
34,201
34,202
34,208
34,238
34,246
35,1
35,8
35,9
35,10
35,11
35,12
35,13
35,14
35,15
35,16
35,18
35,21
35,31
35,32
35,33
35,35
35,37
35,42
35,44
35,45
35,46
35,197
35,201
35,202
35,208
35,238
35,247
35,248
35,249
35,257
35,259
35,262
35,263
35,264
35,266
35,268
35,272
35,273
35,275
35,279
35,280
35,281
35,283
36,1
36,8
36,9
36,10
36,11
36,12
36,13
36,14
36,15
36,16
36,18
36,21
36,23
36,31
36,32
36,33
36,35
36,37
36,42
36,44
36,45
36,46
36,197
36,201
36,202
36,208
36,238
36,239
36,247
36,248
36,249
36,257
36,259
36,262
36,263
36,264
36,266
36,268
36,270
36,271
36,272
36,273
36,275
36,279
36,280
36,281
