MutantNo,[FAIL | TIME | EXC | LIVE]
350,FAIL
351,LIVE
352,FAIL
353,LIVE
354,FAIL
355,LIVE
388,FAIL
389,FAIL
390,LIVE
391,LIVE
392,FAIL
393,LIVE
394,LIVE
395,LIVE
396,FAIL
397,FAIL
398,LIVE
399,LIVE
400,FAIL
401,FAIL
402,LIVE
585,FAIL
586,FAIL
594,FAIL
595,FAIL
596,FAIL
597,FAIL
598,FAIL
599,FAIL
600,FAIL
601,FAIL
602,FAIL
603,FAIL
604,FAIL
605,FAIL
606,FAIL
607,FAIL
608,FAIL
609,FAIL
610,LIVE
611,FAIL
612,FAIL
613,LIVE
614,LIVE
615,FAIL
617,LIVE
618,FAIL
619,LIVE
620,FAIL
621,LIVE
622,LIVE
623,LIVE
624,LIVE
625,LIVE
626,LIVE
627,LIVE
628,LIVE
629,LIVE
630,LIVE
