TestNo,MutantNo
1,28
1,32
1,40
1,44
1,48
1,52
1,56
1,60
1,64
1,66
1,68
1,70
1,72
1,74
1,76
1,78
1,80
1,82
1,84
1,86
1,88
1,90
1,92
1,94
1,96
1,102
1,105
1,120
1,123
1,124
1,144
1,147
1,158
1,191
1,192
1,194
1,247
1,320
1,465
2,28
2,32
2,40
2,44
2,48
2,52
2,56
2,60
2,64
2,66
2,68
2,70
2,72
2,74
2,76
2,78
2,80
2,82
2,84
2,86
2,88
2,90
2,92
2,94
2,96
2,102
2,105
2,120
2,123
2,124
2,144
2,147
2,158
2,191
2,196
2,199
2,204
2,206
2,208
2,247
2,320
2,465
3,137
4,27
4,28
4,32
4,40
4,44
4,48
4,52
4,56
4,60
4,64
4,66
4,68
4,70
4,72
4,73
4,74
4,76
4,78
4,80
4,82
4,84
4,86
4,88
4,90
4,92
4,94
4,96
4,102
4,105
4,111
4,113
4,118
4,119
4,120
4,121
4,123
4,125
4,126
4,127
4,128
4,129
4,144
4,145
4,147
4,148
4,149
4,151
4,153
4,155
4,158
4,182
4,186
4,188
4,190
4,191
4,193
4,205
4,213
4,217
4,221
4,225
4,229
4,233
4,237
4,241
4,245
4,247
4,249
4,320
4,465
5,318
5,320
6,317
6,320
7,319
7,320
8,289
8,290
8,291
8,292
8,293
8,294
8,295
8,306
8,309
8,310
8,311
8,313
8,315
8,320
9,289
9,290
9,291
9,292
9,293
9,294
9,295
9,306
9,311
9,315
9,320
10,318
10,320
10,330
10,331
10,332
10,333
10,334
10,335
10,336
10,353
10,356
10,357
10,358
10,360
10,362
11,320
11,330
11,331
11,332
11,333
11,334
11,335
11,336
11,353
11,358
11,362
11,465
12,320
12,364
12,365
12,372
12,381
12,386
12,389
12,390
13,289
13,290
13,291
13,292
13,293
13,294
13,295
13,306
13,309
13,310
13,311
13,313
13,315
13,320
14,289
14,290
14,291
14,292
14,293
14,294
14,295
14,306
14,311
14,315
14,320
15,289
15,290
15,291
15,292
15,293
15,294
15,295
15,309
15,310
15,311
15,313
15,315
15,320
15,465
16,289
16,290
16,291
16,292
16,293
16,294
16,295
16,306
16,311
16,315
16,320
17,425
17,429
17,433
17,435
17,436
18,425
18,429
18,431
18,432
19,425
19,429
19,433
19,437
19,438
20,445
20,449
20,451
20,452
