TestNo,TestName
1,io.github.benas.jpopulator.impl.PopulatorImplTest[testExclusionViaAnnotation]
2,io.github.benas.jpopulator.impl.PopulatorImplTest[excludedFieldsShouldNotBePopulated]
3,io.github.benas.jpopulator.impl.PopulatorImplTest[whenThenSpecifiedNumberOfBeansToGenerateIsNegativeThenShouldThrowAnIllegalArgumentException]
4,io.github.benas.jpopulator.impl.PopulatorImplTest[generatedBeanShouldBeCorrectlyPopulated]
5,io.github.benas.jpopulator.randomizers.DateRangeRandomizerTest[whenSpecifiedMaxDateIsNullThenThrowIllegalArgumentException]
6,io.github.benas.jpopulator.randomizers.DateRangeRandomizerTest[whenSpecifiedMinDateIsNullThenThrowIllegalArgumentException]
7,io.github.benas.jpopulator.randomizers.DateRangeRandomizerTest[whenSpecifiedMinDateIsAfterMaxDateThenThrowIllegalArgumentException]
8,io.github.benas.jpopulator.randomizers.ListRandomizerTest[maxElementsShouldBeGreaterThanOrEqualToOne]
9,io.github.benas.jpopulator.randomizers.ListRandomizerTest[minElementsShouldBePositive]
10,io.github.benas.jpopulator.randomizers.MapRandomizerTest[maxElementsShouldBeGreaterThanOrEqualToOne]
11,io.github.benas.jpopulator.randomizers.MapRandomizerTest[minElementsShouldBePositive]
12,io.github.benas.jpopulator.randomizers.NumericStringRandomizerTest[generatedStringShouldBeNumber]
13,io.github.benas.jpopulator.randomizers.QueueRandomizerTest[maxElementsShouldBeGreaterThanOrEqualToOne]
14,io.github.benas.jpopulator.randomizers.QueueRandomizerTest[minElementsShouldBePositive]
15,io.github.benas.jpopulator.randomizers.SetRandomizerTest[maxElementsShouldBeGreaterThanOrEqualToOne]
16,io.github.benas.jpopulator.randomizers.SetRandomizerTest[minElementsShouldBePositive]
17,io.github.benas.jpopulator.randomizers.validation.MaxValueRandomizerTest[testGenerateLongType]
18,io.github.benas.jpopulator.randomizers.validation.MaxValueRandomizerTest[testGenerateIntegerType]
19,io.github.benas.jpopulator.randomizers.validation.MaxValueRandomizerTest[testGenerateBigIntegerType]
20,io.github.benas.jpopulator.randomizers.validation.MinValueRandomizerTest[testGenerateIntegerType]
21,io.github.benas.jpopulator.randomizers.validation.MinValueRandomizerTest[testGenerateBigIntegerType]
22,io.github.benas.jpopulator.impl.PopulatorImplTest[finalFieldsShouldNotBePopulated]
23,io.github.benas.jpopulator.randomizers.MapRandomizerTest[maxElementsShouldBeGreaterThanOrEqualToMinElements]
24,io.github.benas.jpopulator.randomizers.NumericStringRandomizerTest[shouldThrowIllegalArgumentExceptionIfMinValueIsGreaterThanMaxValue]
25,io.github.benas.jpopulator.randomizers.validation.MaxValueRandomizerTest[testGenerateDoubleType]
26,io.github.benas.jpopulator.randomizers.validation.MaxValueRandomizerTest[testGenerateByteType]
