TestNo,MutantNo
1,7
1,9
1,10
1,11
1,12
1,13
1,14
1,16
1,17
1,18
1,19
1,20
1,21
1,59
1,60
1,62
1,65
2,7
2,9
2,10
2,11
2,12
2,13
2,14
2,16
2,17
2,18
2,19
2,62
2,63
2,65
3,7
3,9
3,10
3,11
3,12
3,13
3,14
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,52
3,53
3,54
3,55
3,56
3,57
3,59
3,62
3,65
4,7
4,9
4,10
4,11
4,12
4,13
4,14
4,16
4,17
4,18
4,19
4,20
4,21
4,22
4,23
4,52
4,59
4,62
4,65
5,7
5,9
5,10
5,11
5,12
5,13
5,14
5,16
5,17
5,18
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,52
5,59
5,62
5,64
5,65
6,7
6,9
6,10
6,11
6,12
6,13
6,14
6,16
6,17
6,18
6,19
6,20
6,21
6,59
6,60
6,62
6,65
7,7
7,9
7,10
7,11
7,12
7,13
7,14
7,16
7,17
7,18
7,19
7,20
7,21
7,59
7,60
7,62
7,65
8,7
8,9
8,10
8,11
8,12
8,13
8,14
8,16
8,17
8,18
8,19
8,62
8,63
8,65
9,7
9,9
9,10
9,11
9,12
9,13
9,14
9,16
9,17
9,18
9,19
9,20
9,62
9,63
9,65
10,7
10,9
10,10
10,11
10,12
10,13
10,14
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,52
10,53
10,54
10,55
10,56
10,57
10,59
10,62
10,65
11,7
11,9
11,10
11,11
11,12
11,13
11,14
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,52
11,59
11,62
11,64
11,65
12,76
12,77
12,78
12,79
12,80
12,81
12,82
12,83
12,84
12,85
12,86
12,87
12,88
12,89
12,137
12,138
12,139
12,140
12,141
12,142
12,143
12,144
12,145
12,146
13,76
13,77
13,78
13,79
13,80
13,81
13,82
13,83
13,84
13,85
13,86
13,87
13,88
13,89
13,147
14,76
14,77
14,78
14,79
14,80
14,81
14,82
14,83
14,84
14,85
14,86
14,87
14,88
14,89
14,90
14,91
14,92
14,93
14,94
14,95
14,96
14,97
14,98
14,99
15,76
15,77
15,78
15,79
15,80
15,81
15,82
15,83
15,84
15,85
15,86
15,87
15,88
15,89
15,115
15,116
15,119
15,120
15,121
15,122
15,123
15,124
15,125
15,126
15,127
15,128
