TestNo,MutantNo
1,14
1,21
2,14
2,19
3,14
3,22
3,54
3,57
4,14
4,23
5,14
5,25
6,14
6,21
7,14
7,21
8,14
8,19
9,14
9,20
10,14
10,22
10,54
10,57
11,14
11,25
12,81
12,86
12,140
12,144
13,81
13,86
13,147
14,81
14,86
14,98
15,81
15,86
15,124
15,127
15,128
15,129
15,132
15,135
16,81
16,86
16,156
17,81
17,86
17,148
18,81
18,86
18,137
18,142
18,146
19,81
19,86
19,150
19,153
19,155
20,81
20,86
20,158
21,81
21,86
21,145
22,78
22,79
22,82
22,84
23,81
23,86
24,81
24,86
24,98
25,81
25,86
26,81
26,86
26,97
27,81
27,86
27,108
27,110
27,112
27,114
28,14
28,21
29,14
29,20
30,14
30,23
31,7
31,9
31,12
31,13
31,14
31,15
31,17
31,18
31,26
31,52
31,62
31,64
31,67
31,68
31,69
31,70
31,72
31,73
31,74
31,75
32,8
32,11
32,13
32,14
32,15
32,17
32,18
32,28
32,34
32,40
32,47
32,50
32,52
32,62
32,64
32,67
32,68
32,69
32,70
32,72
32,73
32,74
32,75
33,7
33,9
33,12
33,13
33,14
33,15
33,17
33,18
33,26
33,52
33,62
33,64
33,67
33,68
33,69
33,70
33,72
33,73
33,74
33,75
34,10
34,13
34,14
34,15
34,17
34,18
34,28
34,34
34,40
34,47
34,50
34,52
34,62
34,64
34,67
34,68
34,69
34,70
34,72
34,73
34,74
34,75
35,81
35,86
35,90
35,93
36,81
36,86
36,108
36,109
36,110
36,111
36,112
36,113
36,114
37,81
37,86
37,121
37,124
37,125
37,126
37,130
37,134
38,8
38,11
38,13
38,14
38,15
38,18
38,27
38,28
38,34
38,40
38,47
38,49
38,51
38,52
38,62
38,64
38,67
38,68
38,69
38,70
38,72
38,73
38,74
38,75
38,81
38,86
38,87
38,94
38,95
38,96
38,99
38,100
38,101
38,102
38,103
38,108
38,109
38,110
38,111
38,112
38,113
38,114
38,117
38,118
38,119
38,120
38,123
38,136
38,139
38,143
38,146
39,7
39,9
39,12
39,13
39,14
39,15
39,17
39,18
39,26
39,52
39,62
39,63
39,64
39,67
39,68
39,69
39,70
39,72
39,73
39,74
39,75
40,7
40,9
40,12
40,13
40,14
40,15
40,17
40,18
40,26
40,52
40,62
40,63
40,64
40,67
40,68
40,69
40,70
40,72
40,73
40,74
40,75
41,7
41,9
41,12
41,13
41,14
41,15
41,17
41,18
41,26
41,52
41,62
41,64
41,67
41,68
41,69
41,70
41,72
41,73
41,74
41,75
42,8
42,11
42,13
42,14
42,15
42,17
42,18
42,28
42,34
42,40
42,47
42,50
42,52
42,62
42,64
42,67
42,68
42,69
42,70
42,72
42,73
42,74
42,75
43,7
43,9
43,12
43,13
43,14
43,15
43,17
43,18
43,26
43,52
43,62
43,64
43,67
43,68
43,69
43,70
43,72
43,73
43,74
43,75
44,10
44,13
44,14
44,15
44,17
44,18
44,28
44,34
44,40
44,47
44,50
44,52
44,62
44,64
44,67
44,68
44,69
44,70
44,72
44,73
44,74
44,75
45,7
45,9
45,12
45,13
45,14
45,15
45,17
45,18
45,26
45,52
45,55
45,62
45,64
45,67
45,68
45,69
45,70
45,72
45,73
45,74
45,75
46,7
46,9
46,12
46,13
46,14
46,15
46,17
46,18
46,26
46,52
46,55
46,62
46,64
46,67
46,68
46,69
46,70
46,72
46,73
46,74
46,75
47,7
47,9
47,12
47,13
47,14
47,15
47,17
47,18
47,19
47,20
47,21
47,22
47,23
47,24
47,25
47,26
47,52
47,62
47,64
47,65
47,66
47,67
47,68
47,69
47,70
47,72
47,73
47,74
47,75
48,7
48,9
48,12
48,13
48,14
48,15
48,17
48,18
48,26
48,52
48,62
48,67
48,68
48,69
48,70
48,72
48,73
48,74
48,75
49,7
49,9
49,12
49,13
49,14
49,15
49,17
49,18
49,26
49,52
49,62
49,63
49,64
49,67
49,68
49,69
49,70
49,72
49,73
49,74
49,75
50,7
50,9
50,12
50,13
50,14
50,15
50,17
50,18
50,26
50,52
50,62
50,63
50,64
50,67
50,68
50,69
50,70
50,72
50,73
50,74
50,75
51,7
51,9
51,12
51,13
51,14
51,15
51,17
51,18
51,26
51,52
51,53
51,56
51,62
51,64
51,67
51,68
51,69
51,70
51,72
51,73
51,74
51,75
52,7
52,9
52,12
52,13
52,14
52,15
52,17
52,18
52,21
52,26
52,52
52,55
52,62
52,64
52,67
52,68
52,69
52,70
52,72
52,73
52,74
52,75
53,7
53,9
53,12
53,13
53,14
53,15
53,17
53,18
53,26
53,52
53,53
53,56
53,62
53,64
53,67
53,68
53,69
53,70
53,72
53,73
53,74
53,75
54,7
54,9
54,12
54,13
54,14
54,15
54,17
54,18
54,26
54,52
54,55
54,62
54,64
54,67
54,68
54,69
54,70
54,72
54,73
54,74
54,75
55,7
55,9
55,12
55,13
55,14
55,15
55,17
55,18
55,19
55,20
55,21
55,22
55,23
55,24
55,25
55,26
55,52
55,62
55,64
55,65
55,66
55,67
55,68
55,69
55,70
55,72
55,73
55,74
55,75
56,7
56,9
56,12
56,13
56,14
56,15
56,17
56,18
56,26
56,52
56,62
56,67
56,68
56,69
56,70
56,72
56,73
56,74
56,75
57,7
57,9
57,12
57,13
57,14
57,15
57,18
57,26
57,52
57,62
57,64
57,67
57,68
57,69
57,70
57,72
57,73
57,74
57,75
57,81
57,86
57,87
57,94
57,95
57,96
57,99
57,100
57,101
57,102
57,103
57,108
57,109
57,110
57,111
57,112
57,113
57,114
57,117
57,118
57,119
57,120
57,123
57,136
57,139
57,143
57,146
58,7
58,9
58,12
58,13
58,14
58,15
58,18
58,26
58,52
58,62
58,64
58,67
58,68
58,69
58,70
58,72
58,73
58,74
58,75
58,81
58,86
58,87
58,94
58,95
58,96
58,99
58,100
58,101
58,102
58,103
58,108
58,109
58,110
58,111
58,112
58,113
58,114
58,117
58,118
58,119
58,120
58,123
58,136
58,139
58,143
58,146
59,7
59,9
59,12
59,13
59,14
59,15
59,18
59,26
59,52
59,62
59,64
59,67
59,68
59,69
59,70
59,72
59,73
59,74
59,75
59,81
59,86
59,87
59,94
59,95
59,96
59,99
59,100
59,101
59,102
59,103
59,108
59,109
59,110
59,111
59,112
59,113
59,114
59,117
59,118
59,119
59,120
59,123
59,136
59,139
59,143
59,146
60,8
60,11
60,13
60,14
60,15
60,18
60,27
60,28
60,29
60,30
60,35
60,36
60,37
60,38
60,39
60,41
60,42
60,43
60,44
60,45
60,46
60,48
60,50
60,52
60,62
60,64
60,67
60,68
60,69
60,70
60,72
60,73
60,74
60,75
60,81
60,86
60,87
60,94
60,95
60,96
60,99
60,100
60,101
60,102
60,103
60,108
60,109
60,110
60,111
60,112
60,113
60,114
60,124
60,127
60,128
60,129
60,132
60,135
60,139
60,143
60,146
61,7
61,9
61,12
61,13
61,14
61,15
61,17
61,18
61,26
61,52
61,62
61,63
61,64
61,67
61,68
61,69
61,70
61,72
61,73
61,74
61,75
62,7
62,9
62,12
62,13
62,14
62,15
62,17
62,18
62,26
62,52
62,53
62,56
62,62
62,64
62,67
62,68
62,69
62,70
62,72
62,73
62,74
62,75
63,7
63,9
63,12
63,13
63,14
63,15
63,17
63,18
63,26
63,52
63,62
63,63
63,64
63,67
63,68
63,69
63,70
63,72
63,73
63,74
63,75
64,8
64,11
64,28
64,52
64,62
64,64
64,67
65,81
65,86
65,149
65,151
66,7
66,9
66,12
66,13
66,14
66,15
66,18
66,26
66,52
66,62
66,64
66,67
66,68
66,69
66,70
66,72
66,73
66,74
66,75
66,81
66,86
66,87
66,94
66,95
66,96
66,99
66,100
66,101
66,102
66,103
