TestNo,TestName
1,com.auth0.jwt.JWTSignerTest[shouldFailExpectStringOrURICollection2]
2,com.auth0.jwt.JWTSignerTest[shouldFailExpectStringOrURI1]
3,com.auth0.jwt.JWTSignerTest[shouldFailExpectIntDate1]
4,com.auth0.jwt.JWTSignerTest[shouldFailExpectIntDate2]
5,com.auth0.jwt.JWTSignerTest[shouldFailExpectString]
6,com.auth0.jwt.JWTSignerTest_Bytes[shouldFailExpectStringOrURICollection2]
7,com.auth0.jwt.JWTSignerTest_Bytes[shouldFailExpectStringOrURICollection3]
8,com.auth0.jwt.JWTSignerTest_Bytes[shouldFailExpectStringOrURI1]
9,com.auth0.jwt.JWTSignerTest_Bytes[shouldFailExpectStringOrURI2]
10,com.auth0.jwt.JWTSignerTest_Bytes[shouldFailExpectIntDate1]
11,com.auth0.jwt.JWTSignerTest_Bytes[shouldFailExpectString]
12,com.auth0.jwt.JWTVerifierTest[shouldFailIssuer]
13,com.auth0.jwt.JWTVerifierTest[shouldVerifyNullAudience]
14,com.auth0.jwt.JWTVerifierTest[shouldFailOn1Segments]
15,com.auth0.jwt.JWTVerifierTest[shouldVerifyExpiration]
16,com.auth0.jwt.JWTVerifierTest[shouldFailAudience]
17,com.auth0.jwt.JWTVerifierTest[shouldVerifyAudienceWhenNotFoundInClaimsSet]
18,com.auth0.jwt.JWTVerifierTest[shouldVerifyIssuerWhenNotFoundInClaimsSet]
19,com.auth0.jwt.JWTVerifierTest[shouldVerifyAudience]
20,com.auth0.jwt.JWTVerifierTest[shouldFailIfAlgorithmIsNotSupported]
21,com.auth0.jwt.JWTVerifierTest[shouldVerifyIssuer]
22,com.auth0.jwt.JWTVerifierTest[constructorShouldFailOnEmptySecret]
23,com.auth0.jwt.JWTVerifierTest[shouldFailOnEmptyStringToken]
24,com.auth0.jwt.JWTVerifierTest[shouldFailOn2Segments]
25,com.auth0.jwt.JWTVerifierTest[shouldFailIfAlgorithmIsNotSetOnToken]
26,com.auth0.jwt.JWTVerifierTest[shouldFailOn4Segments]
27,com.auth0.jwt.JWTVerifierTest[shouldFailOnInvalidSignature]
28,com.auth0.jwt.JWTSignerTest[shouldFailExpectStringOrURICollection3]
29,com.auth0.jwt.JWTSignerTest[shouldFailExpectStringOrURI2]
30,com.auth0.jwt.JWTSignerTest_Bytes[shouldFailExpectIntDate2]
31,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignEmptyTwoParams]
32,com.auth0.jwt.JWTSignerTest_Bytes[shouldOptionsNone]
33,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignEmpty]
34,com.auth0.jwt.JWTSignerTest_Bytes[shouldOptionsAlgorithm]
35,com.auth0.jwt.JWTVerifierTest[shouldFailOnNullToken]
36,com.auth0.jwt.JWTVerifierTest[shouldVerifySignature]
37,com.auth0.jwt.JWTVerifierTest[shouldFailWhenExpired1SecondAgo]
38,com.auth0.jwt.RoundtripTest[shouldOptionsJti]
39,com.auth0.jwt.JWTSignerTest[shouldSignStringOrURI1]
40,com.auth0.jwt.JWTSignerTest[shouldSignStringOrURI3]
41,com.auth0.jwt.JWTSignerTest[shouldSignEmptyTwoParams]
42,com.auth0.jwt.JWTSignerTest[shouldOptionsNone]
43,com.auth0.jwt.JWTSignerTest[shouldSignEmpty]
44,com.auth0.jwt.JWTSignerTest[shouldOptionsAlgorithm]
45,com.auth0.jwt.JWTSignerTest[shouldSignIntDate1]
46,com.auth0.jwt.JWTSignerTest[shouldSignIntDate3]
47,com.auth0.jwt.JWTSignerTest[shouldSignNullEqualsMissing]
48,com.auth0.jwt.JWTSignerTest[shouldSignString]
49,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignStringOrURI1]
50,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignStringOrURI3]
51,com.auth0.jwt.JWTSignerTest_Bytes[bytes_shouldSignIntDate2]
52,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignIntDate1]
53,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignIntDate2]
54,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignIntDate3]
55,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignNullEqualsMissing]
56,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignString]
57,com.auth0.jwt.RoundtripTest[shouldString]
58,com.auth0.jwt.RoundtripTest[shouldEmpty]
59,com.auth0.jwt.RoundtripTest[shouldBoolean]
60,com.auth0.jwt.RoundtripTest[shouldOptionsTimestamps]
61,com.auth0.jwt.JWTSignerTest[shouldSignStringOrURI2]
62,com.auth0.jwt.JWTSignerTest[shouldSignIntDate2]
63,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignStringOrURI2]
64,com.auth0.jwt.JWTSignerTest_Bytes[shouldOptionsAll]
65,com.auth0.jwt.JWTVerifierTest[shouldVerifyArrayAudience]
66,com.auth0.jwt.RoundtripTest[shouldLong]
67,com.auth0.jwt.RoundtripTest[shouldOptionsIat]
68,com.auth0.jwt.JWTVerifierTest[shouldFailArrayAudience]
69,com.auth0.jwt.JWTSignerTest_Bytes[bytes_shouldSignIntDate1]
70,com.auth0.jwt.RoundtripTest[shouldShort]
71,com.auth0.jwt.JWTSignerTest[shouldOptionsAll]
72,com.auth0.jwt.JWTSignerTest_Bytes[shouldFailExpectStringOrURICollection1]
73,com.auth0.jwt.JWTSignerTest[shouldFailExpectStringOrURICollection1]
74,com.auth0.jwt.JWTVerifierTest[decodeAndParse]
75,com.auth0.jwt.RoundtripTest[shouldObject]
76,com.auth0.jwt.JWTVerifierTest[shouldWorkIfAlgorithmIsSupported]
77,com.auth0.jwt.JWTSignerTest_Bytes[shouldSignStringOrURICollection]
78,com.auth0.jwt.JWTSignerTest[shouldSignStringOrURICollection]
