TestNo,TestName
1,com.fasterxml.uuid.EthernetAddressTest[testClone]
2,com.fasterxml.uuid.EthernetAddressTest[testToString]
3,com.fasterxml.uuid.EthernetAddressTest[testCompareTo]
4,com.fasterxml.uuid.EthernetAddressTest[testLongEthernetAddressConstructor]
5,com.fasterxml.uuid.EthernetAddressTest[testToByteArrayDestOffset]
6,com.fasterxml.uuid.EthernetAddressTest[testToByteArray]
7,com.fasterxml.uuid.EthernetAddressTest[testEquals]
8,com.fasterxml.uuid.EthernetAddressTest[testStringEthernetAddressConstructor]
9,com.fasterxml.uuid.EthernetAddressTest[testValueOfByteArray]
10,com.fasterxml.uuid.EthernetAddressTest[testToLong]
11,com.fasterxml.uuid.EthernetAddressTest[testValueOfIntArray]
12,com.fasterxml.uuid.EthernetAddressTest[testValueOfLong]
13,com.fasterxml.uuid.UUIDComparatorTest[testIntComp]
14,com.fasterxml.uuid.UUIDTest[testToByteArrayDest]
15,com.fasterxml.uuid.UUIDTest[testDefaultUUIDConstructor]
16,com.fasterxml.uuid.UUIDTest[testToString]
17,com.fasterxml.uuid.UUIDTest[testGetNullUUID]
18,com.fasterxml.uuid.UUIDTest[testGetType]
19,com.fasterxml.uuid.UUIDTest[testValueOfString]
20,com.fasterxml.uuid.UUIDTest[testAsByteArray]
21,com.fasterxml.uuid.UUIDTest[testStringUUIDConstructor]
22,com.fasterxml.uuid.UUIDTest[testHashCode]
23,com.fasterxml.uuid.UUIDTest[testIsNullUUID]
24,com.fasterxml.uuid.UUIDTest[testToByteArray]
25,com.fasterxml.uuid.UUIDTest[testEquals]
26,com.fasterxml.uuid.UUIDTest[testByteArrayUUIDConstructor]
27,com.fasterxml.uuid.EthernetAddressTest[testByteArrayEthernetAddressConstructor]
28,com.fasterxml.uuid.EthernetAddressTest[testToByteArrayDest]
29,com.fasterxml.uuid.EthernetAddressTest[testAsByteArray]
30,com.fasterxml.uuid.UUIDComparatorTest[testLongComp]
31,com.fasterxml.uuid.UUIDTest[testToByteArrayDestOffset]
32,com.fasterxml.uuid.UUIDComparatorTest[testSorting]
33,com.fasterxml.uuid.UUIDTest[testCompareTo]
34,com.fasterxml.uuid.EthernetAddressTest[testValueOfString]
35,com.fasterxml.uuid.EthernetAddressTest[testFromInterface]
36,com.fasterxml.uuid.SimpleGenerationTest[testIssue5]
37,com.fasterxml.uuid.UUIDTimerTest[testSecureRandomUUIDTimerConstructor]
38,com.fasterxml.uuid.EthernetAddressTest[testBogus]
39,com.fasterxml.uuid.UUIDGeneratorTest[testGetDummyAddress]
40,com.fasterxml.uuid.UUIDGeneratorTest[testGenerateTimeBasedUUID]
41,com.fasterxml.uuid.UUIDGeneratorTest[testGenerateRandomBasedUUID]
42,com.fasterxml.uuid.UUIDTimerTest[testGetTimestamp]
43,com.fasterxml.uuid.UUIDGeneratorTest[testGenerateNameBasedUUIDNameSpaceNameAndMessageDigest]
44,com.fasterxml.uuid.UUIDGeneratorTest[testGenerateNameBasedUUIDNameSpaceAndName]
45,com.fasterxml.uuid.UUIDGeneratorTest[testGenerateTimeBasedUUIDWithEthernetAddress]
