TestNo,MutantNo
1,3
1,14
1,24
1,39
1,41
1,44
1,121
1,169
1,200
1,416
1,418
1,419
1,420
1,421
1,429
1,433
1,434
2,3
2,14
2,24
2,39
2,41
2,44
2,121
2,169
2,200
2,416
2,419
2,420
2,421
2,429
2,433
2,434
3,2
3,3
3,5
3,14
3,15
3,24
3,38
3,39
3,41
3,42
3,43
3,44
3,131
3,182
3,193
3,196
3,200
3,416
3,423
3,429
3,433
3,434
4,3
4,15
4,417
4,423
4,430
4,433
5,3
5,14
5,24
5,39
5,41
5,44
5,121
5,169
5,200
5,406
5,407
5,409
5,410
5,411
5,416
5,418
5,419
5,420
5,421
5,429
5,433
5,434
6,3
6,14
6,15
6,24
6,38
6,39
6,41
6,42
6,43
6,44
6,121
6,131
6,169
6,174
6,175
6,193
6,196
6,200
6,391
6,416
6,418
6,419
6,420
6,421
6,423
6,428
6,429
6,433
6,434
